MJD;Magnitude;Error;Facility;Filter;Observer
53568.68622;17.78;0.25;CRTS;CRTS(CL);CRTS
53568.69272;17.8;0.25;CRTS;CRTS(CL);CRTS
53568.69955;17.81;0.26;CRTS;CRTS(CL);CRTS
53568.70616;17.75;0.26;CRTS;CRTS(CL);CRTS
53590.71915;17.48;0.21;CRTS;CRTS(CL);CRTS
53590.73197;17.6;0.23;CRTS;CRTS(CL);CRTS
53590.74387;17.63;0.23;CRTS;CRTS(CL);CRTS
53590.75589;17.53;0.22;CRTS;CRTS(CL);CRTS
53609.76497;17.56;0.23;CRTS;CRTS(CL);CRTS
53609.77599;17.69;0.24;CRTS;CRTS(CL);CRTS
53609.78728;17.72;0.25;CRTS;CRTS(CL);CRTS
53609.7983;17.47;0.22;CRTS;CRTS(CL);CRTS
53628.5534;17.79;0.19;CRTS;CRTS(CL);CRTS
53628.56157;18.0;0.26;CRTS;CRTS(CL);CRTS
53654.39493;17.71;0.22;CRTS;CRTS(CL);CRTS
53654.40159;17.72;0.22;CRTS;CRTS(CL);CRTS
53654.40821;17.69;0.21;CRTS;CRTS(CL);CRTS
53654.41485;17.66;0.21;CRTS;CRTS(CL);CRTS
53673.22099;17.75;0.11;CRTS;CRTS(CL);CRTS
53673.22698;17.58;0.1;CRTS;CRTS(CL);CRTS
53673.23299;17.6;0.1;CRTS;CRTS(CL);CRTS
53673.23898;17.39;0.09;CRTS;CRTS(CL);CRTS
53680.21773;17.44;0.1;CRTS;CRTS(CL);CRTS
53680.22415;17.59;0.1;CRTS;CRTS(CL);CRTS
53680.23063;17.56;0.1;CRTS;CRTS(CL);CRTS
53680.23709;17.56;0.1;CRTS;CRTS(CL);CRTS
53712.13755;17.27;0.09;CRTS;CRTS(CL);CRTS
53712.14178;17.29;0.09;CRTS;CRTS(CL);CRTS
53712.14606;17.45;0.1;CRTS;CRTS(CL);CRTS
53712.15034;17.2;0.09;CRTS;CRTS(CL);CRTS
53735.50122;17.42;0.2;CRTS;CRTS(CL);CRTS
53735.50893;17.51;0.21;CRTS;CRTS(CL);CRTS
53735.51665;17.56;0.22;CRTS;CRTS(CL);CRTS
53735.52437;17.44;0.21;CRTS;CRTS(CL);CRTS
53903.78404;17.62;0.16;CRTS;CRTS(CL);CRTS
53903.79593;17.4;0.15;CRTS;CRTS(CL);CRTS
53903.80603;17.58;0.16;CRTS;CRTS(CL);CRTS
53903.81621;17.63;0.16;CRTS;CRTS(CL);CRTS
53946.74849;17.66;0.17;CRTS;CRTS(CL);CRTS
53946.76212;17.73;0.17;CRTS;CRTS(CL);CRTS
53946.77524;17.63;0.16;CRTS;CRTS(CL);CRTS
53946.78842;17.55;0.16;CRTS;CRTS(CL);CRTS
54005.29661;17.41;0.09;CRTS;CRTS(CL);CRTS
