MJD;Magnitude;Error;Facility;Filter;Observer
51258.23072294;19.012444;0.024720928;SDSS;SDSS(r);SDSS
51258.2315522;18.575056;0.02114371;SDSS;SDSS(i);SDSS
51258.23238146;21.116976;0.12575708;SDSS;SDSS(u);SDSS
51258.23321073;18.283321;0.036007993;SDSS;SDSS(z);SDSS
51258.23403999;19.776663;0.029709266;SDSS;SDSS(g);SDSS
51962.37802993;19.212477;0.021166177;SDSS;SDSS(r);SDSS
51962.3788592;18.809977;0.023774052;SDSS;SDSS(i);SDSS
51962.37968846;21.305079;0.11784861;SDSS;SDSS(u);SDSS
51962.38051773;18.508446;0.036950562;SDSS;SDSS(z);SDSS
51962.38134699;19.830824;0.02730727;SDSS;SDSS(g);SDSS
52608.4748755;18.407;0.405;LINEAR;LINEAR(CL);LINEAR
52641.3900034;18.381;0.309;LINEAR;LINEAR(CL);LINEAR
52641.4049064;18.838;0.47;LINEAR;LINEAR(CL);LINEAR
52641.4197932;18.732;0.429;LINEAR;LINEAR(CL);LINEAR
52641.4346835;18.255;0.274;LINEAR;LINEAR(CL);LINEAR
52641.4495483;18.453;0.329;LINEAR;LINEAR(CL);LINEAR
52648.3347339;18.369;0.376;LINEAR;LINEAR(CL);LINEAR
52648.3500293;18.656;0.592;LINEAR;LINEAR(CL);LINEAR
52648.3805953;18.153;0.289;LINEAR;LINEAR(CL);LINEAR
52667.3909189;18.07;0.239;LINEAR;LINEAR(CL);LINEAR
52667.4061529;18.339;0.311;LINEAR;LINEAR(CL);LINEAR
52667.421636;18.233;0.29;LINEAR;LINEAR(CL);LINEAR
52667.4369427;18.07;0.276;LINEAR;LINEAR(CL);LINEAR
52667.4523036;18.406;0.377;LINEAR;LINEAR(CL);LINEAR
52700.3607783;17.142;0.12;LINEAR;LINEAR(CL);LINEAR
52700.3616349;18.027;0.249;LINEAR;LINEAR(CL);LINEAR
52700.3762618;17.045;0.114;LINEAR;LINEAR(CL);LINEAR
52700.3770938;18.86;0.545;LINEAR;LINEAR(CL);LINEAR
52700.3925776;16.833;0.106;LINEAR;LINEAR(CL);LINEAR
52700.3935253;17.793;0.218;LINEAR;LINEAR(CL);LINEAR
