MJD;Magnitude;Error;Facility;Filter;Observer
53111.15626411;17.808294;0.0123560205;SDSS;SDSS(r);SDSS
53111.15626411;17.808403;0.012364536;SDSS;SDSS(r);SDSS
53111.15626411;17.808294;0.012365891;SDSS;SDSS(r);SDSS
53111.15709338;17.48896;0.011964149;SDSS;SDSS(i);SDSS
53111.15709338;17.489817;0.011974084;SDSS;SDSS(i);SDSS
53111.15709338;17.48896;0.01196841;SDSS;SDSS(i);SDSS
53111.1579226401;19.775366;0.034590572;SDSS;SDSS(u);SDSS
53111.1579226401;19.777657;0.034790035;SDSS;SDSS(u);SDSS
53111.1579226401;19.78492;0.04012305;SDSS;SDSS(u);SDSS
53111.15875191;17.20952;0.017979302;SDSS;SDSS(z);SDSS
53111.15875191;17.208494;0.017983984;SDSS;SDSS(z);SDSS
53111.15875191;17.208494;0.017994573;SDSS;SDSS(z);SDSS
53111.15958117;18.487232;0.02356227;SDSS;SDSS(g);SDSS
53111.15958117;18.486988;0.023532316;SDSS;SDSS(g);SDSS
53111.15958117;18.48704;0.02353863;SDSS;SDSS(g);SDSS
53351.3886206;17.756975;0.015814187;SDSS;SDSS(r);SDSS
53351.3886206;17.757008;0.015817158;SDSS;SDSS(r);SDSS
53351.3886206;17.757368;0.015813526;SDSS;SDSS(r);SDSS
53351.38944987;17.429512;0.01655843;SDSS;SDSS(i);SDSS
53351.38944987;17.428965;0.016564248;SDSS;SDSS(i);SDSS
53351.38944987;17.428965;0.016558671;SDSS;SDSS(i);SDSS
53351.39027913;19.807875;0.033603698;SDSS;SDSS(u);SDSS
53351.39027913;19.807096;0.03343917;SDSS;SDSS(u);SDSS
53351.39027913;19.81229;0.037936565;SDSS;SDSS(u);SDSS
53351.3911084;17.036303;0.020891238;SDSS;SDSS(z);SDSS
53351.3911084;17.036398;0.020901235;SDSS;SDSS(z);SDSS
53351.3911084;17.036688;0.02088145;SDSS;SDSS(z);SDSS
53351.39193766;18.218374;0.01818475;SDSS;SDSS(g);SDSS
53351.39193766;18.217966;0.018165266;SDSS;SDSS(g);SDSS
53351.39193766;18.21943;0.01827512;SDSS;SDSS(g);SDSS
53469.18784;15.27;0.06;CRTS;CRTS(CL);CRTS
53469.19597;15.22;0.06;CRTS;CRTS(CL);CRTS
53469.20412;15.25;0.06;CRTS;CRTS(CL);CRTS
53469.21225;15.27;0.06;CRTS;CRTS(CL);CRTS
53481.20041;15.25;0.06;CRTS;CRTS(CL);CRTS
53481.2091;15.28;0.06;CRTS;CRTS(CL);CRTS
53481.21775;15.26;0.06;CRTS;CRTS(CL);CRTS
53481.22641;15.27;0.06;CRTS;CRTS(CL);CRTS
53510.15075;15.17;0.05;CRTS;CRTS(CL);CRTS
53510.15075;15.17;0.01;CRTS;CRTS(CL);CRTS
53510.15785;15.2;0.01;CRTS;CRTS(CL);CRTS
53510.15785;15.2;0.05;CRTS;CRTS(CL);CRTS
53510.1638;15.22;0.05;CRTS;CRTS(CL);CRTS
53510.1638;15.22;0.01;CRTS;CRTS(CL);CRTS
53510.16973;15.23;0.05;CRTS;CRTS(CL);CRTS
53510.16973;15.23;0.01;CRTS;CRTS(CL);CRTS
53636.48506;15.28;0.06;CRTS;CRTS(CL);CRTS
53636.49002;15.23;0.06;CRTS;CRTS(CL);CRTS
53636.49497;15.26;0.06;CRTS;CRTS(CL);CRTS
53636.49993;15.22;0.06;CRTS;CRTS(CL);CRTS
53643.48377;15.03;0.05;CRTS;CRTS(CL);CRTS
53643.48377;15.03;0.01;CRTS;CRTS(CL);CRTS
53643.48707;15.05;0.05;CRTS;CRTS(CL);CRTS
53643.48707;15.05;0.01;CRTS;CRTS(CL);CRTS
53643.49039;15.08;0.05;CRTS;CRTS(CL);CRTS
53643.49039;15.08;0.01;CRTS;CRTS(CL);CRTS
53643.49373;15.01;0.05;CRTS;CRTS(CL);CRTS
53643.49373;15.01;0.01;CRTS;CRTS(CL);CRTS
53648.46547;15.28;0.06;CRTS;CRTS(CL);CRTS
53654.48054;15.26;0.06;CRTS;CRTS(CL);CRTS
53654.485;15.25;0.06;CRTS;CRTS(CL);CRTS
53654.4893;15.28;0.06;CRTS;CRTS(CL);CRTS
53654.4936;15.28;0.06;CRTS;CRTS(CL);CRTS
53670.48763;15.2;0.01;CRTS;CRTS(CL);CRTS
53670.48763;15.2;0.05;CRTS;CRTS(CL);CRTS
53670.49419;15.2;0.01;CRTS;CRTS(CL);CRTS
53670.49419;15.2;0.05;CRTS;CRTS(CL);CRTS
53670.5007;15.22;0.01;CRTS;CRTS(CL);CRTS
53670.5007;15.22;0.05;CRTS;CRTS(CL);CRTS
53670.50749;15.12;0.05;CRTS;CRTS(CL);CRTS
53670.50749;15.12;0.01;CRTS;CRTS(CL);CRTS
53671.41948;15.27;0.06;CRTS;CRTS(CL);CRTS
53671.42597;15.23;0.06;CRTS;CRTS(CL);CRTS
53671.43251;15.23;0.06;CRTS;CRTS(CL);CRTS
53671.43905;15.22;0.06;CRTS;CRTS(CL);CRTS
53688.39931;15.25;0.06;CRTS;CRTS(CL);CRTS
53688.40735;15.23;0.06;CRTS;CRTS(CL);CRTS
53688.41543;15.28;0.06;CRTS;CRTS(CL);CRTS
53688.42353;15.25;0.06;CRTS;CRTS(CL);CRTS
53699.44421;15.25;0.06;CRTS;CRTS(CL);CRTS
53699.45403;15.26;0.06;CRTS;CRTS(CL);CRTS
53699.46393;15.26;0.06;CRTS;CRTS(CL);CRTS
53699.47381;15.23;0.06;CRTS;CRTS(CL);CRTS
53699.48796;15.2;0.05;CRTS;CRTS(CL);CRTS
53699.48796;15.2;0.01;CRTS;CRTS(CL);CRTS
53699.49376;15.2;0.01;CRTS;CRTS(CL);CRTS
53699.49376;15.2;0.05;CRTS;CRTS(CL);CRTS
53699.49938;15.17;0.01;CRTS;CRTS(CL);CRTS
53699.49938;15.17;0.05;CRTS;CRTS(CL);CRTS
