MJD;Magnitude;Error;Facility;Filter;Observer
56832.81859175;14.419;0.391;NEOWISE;WISE(W2);NEOWISE
56833.08179859;14.82;0.488;NEOWISE;WISE(W2);NEOWISE
56833.54237921;15.17;0.466;NEOWISE;WISE(W2);NEOWISE
57021.96592793;16.389;0.376;NEOWISE;WISE(W1);NEOWISE
57022.03150711;16.303;0.394;NEOWISE;WISE(W1);NEOWISE
57192.46519265;16.084;0.316;NEOWISE;WISE(W1);NEOWISE
57383.61660579;14.643;0.375;NEOWISE;WISE(W2);NEOWISE
57384.00995414;16.649;0.466;NEOWISE;WISE(W1);NEOWISE
57384.00995414;15.286;0.479;NEOWISE;WISE(W2);NEOWISE
57551.37953003;17.111;0.539;NEOWISE;WISE(W1);NEOWISE
57551.37953003;14.837;0.4;NEOWISE;WISE(W2);NEOWISE
57553.67263003;14.751;0.34;NEOWISE;WISE(W2);NEOWISE
57750.67426669;14.601;0.469;NEOWISE;WISE(W2);NEOWISE
57750.87074957;16.326;0.309;NEOWISE;WISE(W1);NEOWISE
57751.26371538;16.388;0.323;NEOWISE;WISE(W1);NEOWISE
57751.26371538;15.568;0.537;NEOWISE;WISE(W2);NEOWISE
57914.49587786;16.257;0.432;NEOWISE;WISE(W1);NEOWISE
58274.57880498;16.201;0.46;NEOWISE;WISE(W1);NEOWISE
58275.69122888;16.247;0.281;NEOWISE;WISE(W1);NEOWISE
58275.69122888;15.084;0.446;NEOWISE;WISE(W2);NEOWISE
58482.22691222;15.688;0.23;NEOWISE;WISE(W1);NEOWISE
58482.68494714;16.665;0.393;NEOWISE;WISE(W1);NEOWISE
58638.76471311;16.818;0.456;NEOWISE;WISE(W1);NEOWISE
58639.74585074;16.112;0.309;NEOWISE;WISE(W1);NEOWISE
59574.84670123;16.392;0.388;NEOWISE;WISE(W1);NEOWISE
59577.59121763;15.525;0.527;NEOWISE;WISE(W2);NEOWISE
59577.59121763;16.426;0.46;NEOWISE;WISE(W1);NEOWISE
59622.50270830002;19.42381135913361;0.127522676995529;ZTF;ZTF(zg);ZTF
59622.52371530002;18.96400391749873;0.090081142387491;ZTF;ZTF(zr);ZTF
59624.40252309991;19.63998022924365;0.1580027398171673;ZTF;ZTF(zr);ZTF
59734.02447141;16.216;0.327;NEOWISE;WISE(W1);NEOWISE
59941.83492666;16.488;0.387;NEOWISE;WISE(W1);NEOWISE
59941.9001238;15.88;0.501;NEOWISE;WISE(W1);NEOWISE
59942.42106387;16.446;0.4;NEOWISE;WISE(W1);NEOWISE
59942.55094869;16.469;0.371;NEOWISE;WISE(W1);NEOWISE
60465.85030738;14.267;0.35;NEOWISE;WISE(W2);NEOWISE
60465.85030738;15.678;0.279;NEOWISE;WISE(W1);NEOWISE
