MJD;Magnitude;Error;Facility;Filter;Observer
51962.10034914;19.453737;0.015823541;SDSS;SDSS(r);SDSS
51962.1011784;19.180431;0.016425045;SDSS;SDSS(i);SDSS
51962.10200767;21.182339;0.08031205;SDSS;SDSS(u);SDSS
51962.10283693;18.921385;0.043073293;SDSS;SDSS(z);SDSS
51962.1036662;20.021147;0.01843267;SDSS;SDSS(g);SDSS
52261.412346;19.609818;0.01677783;SDSS;SDSS(r);SDSS
52261.412346;19.608696;0.016775642;SDSS;SDSS(r);SDSS
52261.412346;19.60871;0.01683677;SDSS;SDSS(r);SDSS
52261.41317527;19.236738;0.017390976;SDSS;SDSS(i);SDSS
52261.41317527;19.240568;0.017414628;SDSS;SDSS(i);SDSS
52261.41317527;19.236761;0.01748537;SDSS;SDSS(i);SDSS
52261.41400453;21.213997;0.0836671;SDSS;SDSS(u);SDSS
52261.41400453;21.214212;0.08383093;SDSS;SDSS(u);SDSS
52261.41400453;21.212547;0.08304619;SDSS;SDSS(u);SDSS
52261.4148338;19.081379;0.040160883;SDSS;SDSS(z);SDSS
52261.4148338;19.056171;0.039598316;SDSS;SDSS(z);SDSS
52261.4148338;19.056208;0.03956679;SDSS;SDSS(z);SDSS
52261.41566306;20.20796;0.026403073;SDSS;SDSS(g);SDSS
52261.41566306;20.206106;0.02640702;SDSS;SDSS(g);SDSS
52261.41566306;20.206114;0.026447006;SDSS;SDSS(g);SDSS
53733.34056;18.85;0.09;CRTS;CRTS(CL);CRTS
53733.34056;18.85;0.05;CRTS;CRTS(CL);CRTS
53733.34657;18.83;0.09;CRTS;CRTS(CL);CRTS
53733.34657;18.83;0.05;CRTS;CRTS(CL);CRTS
53733.35271;18.78;0.09;CRTS;CRTS(CL);CRTS
53733.35271;18.78;0.04;CRTS;CRTS(CL);CRTS
53733.36004;18.81;0.05;CRTS;CRTS(CL);CRTS
53733.36004;18.81;0.09;CRTS;CRTS(CL);CRTS
54041.36944;18.73;0.08;CRTS;CRTS(CL);CRTS
54041.36944;18.73;0.11;CRTS;CRTS(CL);CRTS
54041.37511;18.76;0.11;CRTS;CRTS(CL);CRTS
54041.37511;18.76;0.08;CRTS;CRTS(CL);CRTS
54041.38125;18.78;0.12;CRTS;CRTS(CL);CRTS
54041.38125;18.78;0.08;CRTS;CRTS(CL);CRTS
54041.38721;18.74;0.11;CRTS;CRTS(CL);CRTS
54041.38721;18.74;0.08;CRTS;CRTS(CL);CRTS
54064.4352;18.78;0.04;CRTS;CRTS(CL);CRTS
54064.4352;18.78;0.09;CRTS;CRTS(CL);CRTS
54064.44079;18.85;0.09;CRTS;CRTS(CL);CRTS
54064.44079;18.85;0.05;CRTS;CRTS(CL);CRTS
54064.44644;18.82;0.09;CRTS;CRTS(CL);CRTS
54064.44644;18.82;0.05;CRTS;CRTS(CL);CRTS
54064.45201;18.79;0.09;CRTS;CRTS(CL);CRTS
54064.45201;18.79;0.04;CRTS;CRTS(CL);CRTS
54128.17209;18.84;0.09;CRTS;CRTS(CL);CRTS
54128.17209;18.84;0.05;CRTS;CRTS(CL);CRTS
54128.17895;18.82;0.05;CRTS;CRTS(CL);CRTS
54128.17895;18.82;0.09;CRTS;CRTS(CL);CRTS
54128.18583;18.84;0.05;CRTS;CRTS(CL);CRTS
54128.18583;18.84;0.09;CRTS;CRTS(CL);CRTS
54128.19266;18.75;0.04;CRTS;CRTS(CL);CRTS
54128.19266;18.75;0.09;CRTS;CRTS(CL);CRTS
54410.4257;18.74;0.06;CRTS;CRTS(CL);CRTS
54410.4257;18.74;0.1;CRTS;CRTS(CL);CRTS
54410.43121;18.78;0.11;CRTS;CRTS(CL);CRTS
54410.43121;18.78;0.07;CRTS;CRTS(CL);CRTS
54410.43675;18.76;0.06;CRTS;CRTS(CL);CRTS
54410.43675;18.76;0.1;CRTS;CRTS(CL);CRTS
54410.44228;18.75;0.09;CRTS;CRTS(CL);CRTS
54410.44228;18.75;0.04;CRTS;CRTS(CL);CRTS
54464.24253;18.71;0.04;CRTS;CRTS(CL);CRTS
54464.24253;18.71;0.09;CRTS;CRTS(CL);CRTS
