MJD;Magnitude;Error;Facility;Filter;Observer
52639.4759789;18.759;0.437;LINEAR;LINEAR(CL);LINEAR
52639.4908957;18.894;0.502;LINEAR;LINEAR(CL);LINEAR
52639.5057098;18.518;0.351;LINEAR;LINEAR(CL);LINEAR
52639.5221001;19.091;0.596;LINEAR;LINEAR(CL);LINEAR
52646.4705191;18.322;0.332;LINEAR;LINEAR(CL);LINEAR
52646.4855565;18.68;0.404;LINEAR;LINEAR(CL);LINEAR
52646.5007679;18.302;0.274;LINEAR;LINEAR(CL);LINEAR
52646.5156945;18.329;0.299;LINEAR;LINEAR(CL);LINEAR
52646.5305753;18.179;0.262;LINEAR;LINEAR(CL);LINEAR
52649.4457473;18.174;0.271;LINEAR;LINEAR(CL);LINEAR
52649.4609456;18.472;0.351;LINEAR;LINEAR(CL);LINEAR
52649.4912879;18.236;0.281;LINEAR;LINEAR(CL);LINEAR
52649.5065448;18.282;0.3;LINEAR;LINEAR(CL);LINEAR
52666.3912986;18.235;0.263;LINEAR;LINEAR(CL);LINEAR
52666.4065365;18.778;0.39;LINEAR;LINEAR(CL);LINEAR
52666.4216134;18.33;0.296;LINEAR;LINEAR(CL);LINEAR
52666.4368915;18.319;0.266;LINEAR;LINEAR(CL);LINEAR
52666.4517594;18.352;0.268;LINEAR;LINEAR(CL);LINEAR
52672.3970334;18.606;0.414;LINEAR;LINEAR(CL);LINEAR
52672.413024;18.261;0.299;LINEAR;LINEAR(CL);LINEAR
52676.3732918;17.979;0.267;LINEAR;LINEAR(CL);LINEAR
52676.3883734;18.195;0.302;LINEAR;LINEAR(CL);LINEAR
52698.3241014;18.077;0.189;LINEAR;LINEAR(CL);LINEAR
52710.3096538;18.089;0.269;LINEAR;LINEAR(CL);LINEAR
52710.3246176;18.489;0.386;LINEAR;LINEAR(CL);LINEAR
52710.3377357;18.696;0.444;LINEAR;LINEAR(CL);LINEAR
52710.3510741;18.483;0.368;LINEAR;LINEAR(CL);LINEAR
52710.3641695;18.836;0.507;LINEAR;LINEAR(CL);LINEAR
52724.3018603;17.944;0.2;LINEAR;LINEAR(CL);LINEAR
52724.3143192;18.208;0.239;LINEAR;LINEAR(CL);LINEAR
52724.3260841;18.53;0.254;LINEAR;LINEAR(CL);LINEAR
52724.3266885;18.093;0.226;LINEAR;LINEAR(CL);LINEAR
52724.339204;18.274;0.272;LINEAR;LINEAR(CL);LINEAR
52724.3509375;18.14;0.19;LINEAR;LINEAR(CL);LINEAR
52724.3515396;18.294;0.279;LINEAR;LINEAR(CL);LINEAR
52734.2578085;18.462;0.328;LINEAR;LINEAR(CL);LINEAR
52734.269904;18.633;0.396;LINEAR;LINEAR(CL);LINEAR
52754.2209788;18.306;0.317;LINEAR;LINEAR(CL);LINEAR
52754.2337305;18.604;0.419;LINEAR;LINEAR(CL);LINEAR
52754.2460668;18.843;0.53;LINEAR;LINEAR(CL);LINEAR
52754.2586319;18.481;0.375;LINEAR;LINEAR(CL);LINEAR
52754.2712431;18.31;0.323;LINEAR;LINEAR(CL);LINEAR
52768.2190953;17.862;0.412;LINEAR;LINEAR(CL);LINEAR
52794.1703624;18.614;0.467;LINEAR;LINEAR(CL);LINEAR
52794.1807608;18.622;0.487;LINEAR;LINEAR(CL);LINEAR
52794.1914307;18.249;0.346;LINEAR;LINEAR(CL);LINEAR
52794.2022032;17.802;0.238;LINEAR;LINEAR(CL);LINEAR
52794.2126459;18.453;0.427;LINEAR;LINEAR(CL);LINEAR
52974.4773774;18.841;0.503;LINEAR;LINEAR(CL);LINEAR
52974.4899934;18.582;0.383;LINEAR;LINEAR(CL);LINEAR
53002.4601371;17.354;0.066;LINEAR;LINEAR(CL);LINEAR
53006.393027;18.362;0.368;LINEAR;LINEAR(CL);LINEAR
