MJD;Magnitude;Error;Facility;Filter;Observer
52313.37017735;17.451818;0.014053955;SDSS;SDSS(r);SDSS
52313.37017735;17.451818;0.01405371;SDSS;SDSS(r);SDSS
52313.37017735;17.451563;0.014052833;SDSS;SDSS(r);SDSS
52313.37100661;17.187284;0.019557891;SDSS;SDSS(i);SDSS
52313.37100661;17.1865;0.019489273;SDSS;SDSS(i);SDSS
52313.37100661;17.1865;0.019489547;SDSS;SDSS(i);SDSS
52313.37183588;19.605947;0.032573193;SDSS;SDSS(u);SDSS
52313.37183588;19.621298;0.035262745;SDSS;SDSS(u);SDSS
52313.37183588;19.605947;0.0325771;SDSS;SDSS(u);SDSS
52313.37266514;17.029503;0.019016972;SDSS;SDSS(z);SDSS
52313.37266514;17.029676;0.019027557;SDSS;SDSS(z);SDSS
52313.37266514;17.029676;0.019025948;SDSS;SDSS(z);SDSS
52313.37349441;18.127111;0.009613752;SDSS;SDSS(g);SDSS
52313.37349441;18.127111;0.009613545;SDSS;SDSS(g);SDSS
52313.37349441;18.127563;0.009646859;SDSS;SDSS(g);SDSS
52602.4078159;15.792;0.061;LINEAR;LINEAR(CL);LINEAR
52602.4221622;15.682;0.053;LINEAR;LINEAR(CL);LINEAR
52602.4373111;15.688;0.053;LINEAR;LINEAR(CL);LINEAR
52602.4516092;15.73;0.053;LINEAR;LINEAR(CL);LINEAR
52602.4659243;15.721;0.049;LINEAR;LINEAR(CL);LINEAR
52621.4440868;15.709;0.03;LINEAR;LINEAR(CL);LINEAR
52621.4586579;15.689;0.03;LINEAR;LINEAR(CL);LINEAR
52621.4732412;15.697;0.03;LINEAR;LINEAR(CL);LINEAR
52621.4880433;15.699;0.028;LINEAR;LINEAR(CL);LINEAR
52621.5026131;15.713;0.03;LINEAR;LINEAR(CL);LINEAR
52636.4440684;15.72;0.035;LINEAR;LINEAR(CL);LINEAR
52636.4597721;15.703;0.033;LINEAR;LINEAR(CL);LINEAR
52636.4746023;15.739;0.033;LINEAR;LINEAR(CL);LINEAR
52636.4895085;15.703;0.033;LINEAR;LINEAR(CL);LINEAR
52636.5042895;15.682;0.031;LINEAR;LINEAR(CL);LINEAR
52653.3898666;15.705;0.036;LINEAR;LINEAR(CL);LINEAR
52653.4047895;15.72;0.035;LINEAR;LINEAR(CL);LINEAR
52653.4200124;15.742;0.033;LINEAR;LINEAR(CL);LINEAR
52653.4351837;15.726;0.031;LINEAR;LINEAR(CL);LINEAR
52653.4499775;15.77;0.031;LINEAR;LINEAR(CL);LINEAR
52684.3618434;15.682;0.045;LINEAR;LINEAR(CL);LINEAR
52684.3766725;15.69;0.045;LINEAR;LINEAR(CL);LINEAR
52684.3918369;15.744;0.045;LINEAR;LINEAR(CL);LINEAR
52684.4066722;15.723;0.043;LINEAR;LINEAR(CL);LINEAR
52684.4215616;15.722;0.043;LINEAR;LINEAR(CL);LINEAR
52693.3443924;15.744;0.028;LINEAR;LINEAR(CL);LINEAR
52693.3599767;15.75;0.028;LINEAR;LINEAR(CL);LINEAR
52693.3753986;15.775;0.03;LINEAR;LINEAR(CL);LINEAR
52693.3906455;15.731;0.028;LINEAR;LINEAR(CL);LINEAR
52693.4061133;15.736;0.028;LINEAR;LINEAR(CL);LINEAR
52721.3033434;15.735;0.026;LINEAR;LINEAR(CL);LINEAR
52721.3161507;15.733;0.026;LINEAR;LINEAR(CL);LINEAR
52721.328706;15.728;0.026;LINEAR;LINEAR(CL);LINEAR
52721.3413178;15.756;0.028;LINEAR;LINEAR(CL);LINEAR
52721.3539296;15.751;0.028;LINEAR;LINEAR(CL);LINEAR
52722.2946481;15.704;0.026;LINEAR;LINEAR(CL);LINEAR
52722.3067636;15.711;0.026;LINEAR;LINEAR(CL);LINEAR
52722.3188747;15.699;0.026;LINEAR;LINEAR(CL);LINEAR
52722.3308934;15.739;0.028;LINEAR;LINEAR(CL);LINEAR
52722.3429062;15.719;0.028;LINEAR;LINEAR(CL);LINEAR
52750.2359146;15.736;0.026;LINEAR;LINEAR(CL);LINEAR
52750.2467139;15.748;0.026;LINEAR;LINEAR(CL);LINEAR
52750.2681251;15.827;0.113;LINEAR;LINEAR(CL);LINEAR
52750.2790338;15.707;0.046;LINEAR;LINEAR(CL);LINEAR
52772.2134012;15.793;0.068;LINEAR;LINEAR(CL);LINEAR
52772.2251285;15.712;0.066;LINEAR;LINEAR(CL);LINEAR
52772.2365753;15.736;0.063;LINEAR;LINEAR(CL);LINEAR
52772.2485717;15.71;0.064;LINEAR;LINEAR(CL);LINEAR
52772.2601272;15.797;0.073;LINEAR;LINEAR(CL);LINEAR
52781.2106027;15.756;0.028;LINEAR;LINEAR(CL);LINEAR
52781.2213574;15.775;0.028;LINEAR;LINEAR(CL);LINEAR
52781.2319992;15.722;0.028;LINEAR;LINEAR(CL);LINEAR
52781.2427865;15.753;0.03;LINEAR;LINEAR(CL);LINEAR
52781.2534101;15.74;0.03;LINEAR;LINEAR(CL);LINEAR
52801.1889851;15.63;0.094;LINEAR;LINEAR(CL);LINEAR
52801.1990634;15.61;0.098;LINEAR;LINEAR(CL);LINEAR
52801.2090232;15.764;0.102;LINEAR;LINEAR(CL);LINEAR
52809.1731868;15.879;0.104;LINEAR;LINEAR(CL);LINEAR
52809.1830876;15.728;0.031;LINEAR;LINEAR(CL);LINEAR
52809.2126145;15.707;0.031;LINEAR;LINEAR(CL);LINEAR
52978.4395735;15.793;0.041;LINEAR;LINEAR(CL);LINEAR
52978.4585125;15.731;0.031;LINEAR;LINEAR(CL);LINEAR
