MJD;Magnitude;Error;Facility;Filter;Observer
53552.19483;14.82;0.06;CRTS;CRTS(CL);CRTS
53552.20545;14.86;0.06;CRTS;CRTS(CL);CRTS
53552.21613;14.77;0.06;CRTS;CRTS(CL);CRTS
53552.22678;14.85;0.06;CRTS;CRTS(CL);CRTS
53580.5606;14.7;0.07;CRTS;CRTS(CL);CRTS
53580.56994;14.82;0.08;CRTS;CRTS(CL);CRTS
53580.57929;14.73;0.07;CRTS;CRTS(CL);CRTS
53580.58868;14.94;0.08;CRTS;CRTS(CL);CRTS
53599.466;14.85;0.08;CRTS;CRTS(CL);CRTS
53607.41404;14.65;0.07;CRTS;CRTS(CL);CRTS
53628.38818;14.78;0.07;CRTS;CRTS(CL);CRTS
53628.39901;14.68;0.07;CRTS;CRTS(CL);CRTS
53628.40989;14.74;0.07;CRTS;CRTS(CL);CRTS
53628.42078;14.83;0.07;CRTS;CRTS(CL);CRTS
53772.73456;14.8;0.08;CRTS;CRTS(CL);CRTS
53772.74619;14.79;0.08;CRTS;CRTS(CL);CRTS
53772.75768;14.78;0.08;CRTS;CRTS(CL);CRTS
53772.76897;14.76;0.08;CRTS;CRTS(CL);CRTS
53821.68672;14.7;0.07;CRTS;CRTS(CL);CRTS
53821.69732;14.74;0.07;CRTS;CRTS(CL);CRTS
53821.70796;14.72;0.07;CRTS;CRTS(CL);CRTS
53821.71871;14.72;0.07;CRTS;CRTS(CL);CRTS
53863.65866;14.82;0.07;CRTS;CRTS(CL);CRTS
53863.66916;14.76;0.07;CRTS;CRTS(CL);CRTS
53863.67951;14.8;0.07;CRTS;CRTS(CL);CRTS
53863.68996;14.8;0.07;CRTS;CRTS(CL);CRTS
53864.30081;14.56;0.05;CRTS;CRTS(CL);CRTS
53864.30081;14.56;0.01;CRTS;CRTS(CL);CRTS
53864.30687;14.63;0.05;CRTS;CRTS(CL);CRTS
53864.30687;14.63;0.01;CRTS;CRTS(CL);CRTS
53864.31262;14.56;0.05;CRTS;CRTS(CL);CRTS
53864.31262;14.56;0.01;CRTS;CRTS(CL);CRTS
53864.31837;14.56;0.05;CRTS;CRTS(CL);CRTS
53864.31837;14.56;0.01;CRTS;CRTS(CL);CRTS
53871.63411;14.71;0.06;CRTS;CRTS(CL);CRTS
53871.6447;14.68;0.06;CRTS;CRTS(CL);CRTS
53871.6554;14.83;0.06;CRTS;CRTS(CL);CRTS
53871.66608;14.74;0.06;CRTS;CRTS(CL);CRTS
53876.57654;14.75;0.07;CRTS;CRTS(CL);CRTS
53876.58585;14.76;0.08;CRTS;CRTS(CL);CRTS
53876.59503;14.71;0.07;CRTS;CRTS(CL);CRTS
53876.60414;14.67;0.07;CRTS;CRTS(CL);CRTS
53878.28435;14.54;0.01;CRTS;CRTS(CL);CRTS
53878.28435;14.54;0.05;CRTS;CRTS(CL);CRTS
53878.28974;14.55;0.01;CRTS;CRTS(CL);CRTS
53878.28974;14.55;0.05;CRTS;CRTS(CL);CRTS
53878.29532;14.53;0.01;CRTS;CRTS(CL);CRTS
53878.29532;14.53;0.05;CRTS;CRTS(CL);CRTS
53878.30087;14.5;0.01;CRTS;CRTS(CL);CRTS
53878.30087;14.5;0.05;CRTS;CRTS(CL);CRTS
53888.31932;14.53;0.01;CRTS;CRTS(CL);CRTS
53888.31932;14.53;0.05;CRTS;CRTS(CL);CRTS
53888.33105;14.6;0.05;CRTS;CRTS(CL);CRTS
53888.33105;14.6;0.01;CRTS;CRTS(CL);CRTS
53888.33661;14.68;0.05;CRTS;CRTS(CL);CRTS
53888.33661;14.68;0.01;CRTS;CRTS(CL);CRTS
53888.3424;14.75;0.05;CRTS;CRTS(CL);CRTS
53888.3424;14.75;0.01;CRTS;CRTS(CL);CRTS
53901.59066;14.77;0.08;CRTS;CRTS(CL);CRTS
53901.5992;14.71;0.08;CRTS;CRTS(CL);CRTS
53901.60775;14.75;0.08;CRTS;CRTS(CL);CRTS
53901.6163;14.7;0.07;CRTS;CRTS(CL);CRTS
53913.52985;14.73;0.08;CRTS;CRTS(CL);CRTS
53913.53837;14.78;0.08;CRTS;CRTS(CL);CRTS
53913.54687;14.7;0.08;CRTS;CRTS(CL);CRTS
53913.55541;14.8;0.08;CRTS;CRTS(CL);CRTS
53919.53909;14.65;0.08;CRTS;CRTS(CL);CRTS
53919.54802;14.8;0.08;CRTS;CRTS(CL);CRTS
53919.55696;15.28;0.15;CRTS;CRTS(CL);CRTS
53919.56587;14.68;0.08;CRTS;CRTS(CL);CRTS
53938.50342;14.72;0.08;CRTS;CRTS(CL);CRTS
53938.51366;14.7;0.08;CRTS;CRTS(CL);CRTS
53938.52389;14.73;0.08;CRTS;CRTS(CL);CRTS
53938.53415;14.67;0.08;CRTS;CRTS(CL);CRTS
53953.50225;14.77;0.08;CRTS;CRTS(CL);CRTS
53953.50879;14.79;0.08;CRTS;CRTS(CL);CRTS
53953.51522;14.69;0.08;CRTS;CRTS(CL);CRTS
53953.52164;14.86;0.08;CRTS;CRTS(CL);CRTS
53958.48124;14.82;0.08;CRTS;CRTS(CL);CRTS
53958.49021;14.76;0.08;CRTS;CRTS(CL);CRTS
53958.49923;14.84;0.08;CRTS;CRTS(CL);CRTS
