MJD;Magnitude;Error;Facility;Filter;Observer
52649.3824778;16.374;0.044;LINEAR;LINEAR(CL);LINEAR
52649.3986726;16.382;0.046;LINEAR;LINEAR(CL);LINEAR
52649.4153092;16.349;0.044;LINEAR;LINEAR(CL);LINEAR
52649.432947;16.378;0.046;LINEAR;LINEAR(CL);LINEAR
52649.4497394;16.404;0.048;LINEAR;LINEAR(CL);LINEAR
52676.2803313;16.401;0.048;LINEAR;LINEAR(CL);LINEAR
52676.2957471;16.393;0.05;LINEAR;LINEAR(CL);LINEAR
52676.3111761;16.39;0.05;LINEAR;LINEAR(CL);LINEAR
52676.3267603;16.43;0.052;LINEAR;LINEAR(CL);LINEAR
52676.3425015;16.395;0.052;LINEAR;LINEAR(CL);LINEAR
52696.2761724;16.349;0.041;LINEAR;LINEAR(CL);LINEAR
52696.2887961;16.391;0.043;LINEAR;LINEAR(CL);LINEAR
52696.3013155;16.372;0.041;LINEAR;LINEAR(CL);LINEAR
52696.3145484;16.361;0.041;LINEAR;LINEAR(CL);LINEAR
52696.3279828;16.38;0.043;LINEAR;LINEAR(CL);LINEAR
52701.2456229;16.424;0.031;LINEAR;LINEAR(CL);LINEAR
52701.2457382;16.358;0.048;LINEAR;LINEAR(CL);LINEAR
52701.2588875;16.391;0.048;LINEAR;LINEAR(CL);LINEAR
52701.2720033;16.394;0.048;LINEAR;LINEAR(CL);LINEAR
52701.2980348;16.461;0.086;LINEAR;LINEAR(CL);LINEAR
52723.2276476;16.426;0.057;LINEAR;LINEAR(CL);LINEAR
52723.2390653;16.428;0.078;LINEAR;LINEAR(CL);LINEAR
52723.2505281;16.43;0.063;LINEAR;LINEAR(CL);LINEAR
52723.2620357;16.385;0.044;LINEAR;LINEAR(CL);LINEAR
52729.1790674;16.389;0.051;LINEAR;LINEAR(CL);LINEAR
52729.1910924;16.37;0.049;LINEAR;LINEAR(CL);LINEAR
52729.2032614;16.394;0.051;LINEAR;LINEAR(CL);LINEAR
52729.2153011;16.36;0.049;LINEAR;LINEAR(CL);LINEAR
52729.2277495;16.394;0.049;LINEAR;LINEAR(CL);LINEAR
52732.1901594;16.524;0.158;LINEAR;LINEAR(CL);LINEAR
52732.2020496;16.38;0.054;LINEAR;LINEAR(CL);LINEAR
52732.2143387;16.357;0.051;LINEAR;LINEAR(CL);LINEAR
52732.2264011;16.391;0.069;LINEAR;LINEAR(CL);LINEAR
52732.2385021;16.394;0.059;LINEAR;LINEAR(CL);LINEAR
52752.182983;16.361;0.054;LINEAR;LINEAR(CL);LINEAR
52752.1931621;16.333;0.05;LINEAR;LINEAR(CL);LINEAR
52752.2033541;16.354;0.054;LINEAR;LINEAR(CL);LINEAR
52752.2134886;16.387;0.057;LINEAR;LINEAR(CL);LINEAR
52752.2236186;16.365;0.055;LINEAR;LINEAR(CL);LINEAR
52761.1464076;16.368;0.086;LINEAR;LINEAR(CL);LINEAR
52761.1582697;16.375;0.064;LINEAR;LINEAR(CL);LINEAR
52761.1705613;16.41;0.069;LINEAR;LINEAR(CL);LINEAR
52761.1825175;16.326;0.078;LINEAR;LINEAR(CL);LINEAR
52761.1943977;16.429;0.094;LINEAR;LINEAR(CL);LINEAR
52768.1490813;16.549;0.155;LINEAR;LINEAR(CL);LINEAR
52787.1626051;16.336;0.055;LINEAR;LINEAR(CL);LINEAR
52787.1731762;16.453;0.061;LINEAR;LINEAR(CL);LINEAR
52787.1837011;16.369;0.061;LINEAR;LINEAR(CL);LINEAR
52787.1944175;16.415;0.063;LINEAR;LINEAR(CL);LINEAR
52787.2050497;16.382;0.059;LINEAR;LINEAR(CL);LINEAR
52945.4481977;16.436;0.071;LINEAR;LINEAR(CL);LINEAR
52945.4603256;16.376;0.066;LINEAR;LINEAR(CL);LINEAR
52945.4724711;16.351;0.064;LINEAR;LINEAR(CL);LINEAR
52945.4847032;16.307;0.064;LINEAR;LINEAR(CL);LINEAR
52945.4968848;16.386;0.063;LINEAR;LINEAR(CL);LINEAR
52962.445989;16.396;0.044;LINEAR;LINEAR(CL);LINEAR
52962.4590894;16.36;0.043;LINEAR;LINEAR(CL);LINEAR
52962.4715813;16.386;0.043;LINEAR;LINEAR(CL);LINEAR
52962.4837835;16.362;0.041;LINEAR;LINEAR(CL);LINEAR
52962.4965373;16.369;0.041;LINEAR;LINEAR(CL);LINEAR
52977.3954705;16.288;0.055;LINEAR;LINEAR(CL);LINEAR
52977.4074989;16.357;0.052;LINEAR;LINEAR(CL);LINEAR
52977.4195726;16.365;0.048;LINEAR;LINEAR(CL);LINEAR
52977.4315092;16.378;0.044;LINEAR;LINEAR(CL);LINEAR
52977.443558;16.393;0.044;LINEAR;LINEAR(CL);LINEAR
52991.4180247;16.367;0.048;LINEAR;LINEAR(CL);LINEAR
52991.439293;16.398;0.043;LINEAR;LINEAR(CL);LINEAR
52991.4575205;16.347;0.043;LINEAR;LINEAR(CL);LINEAR
52991.4732171;16.346;0.037;LINEAR;LINEAR(CL);LINEAR
52991.4905394;16.365;0.035;LINEAR;LINEAR(CL);LINEAR
53001.3573936;16.372;0.03;LINEAR;LINEAR(CL);LINEAR
53001.3706694;16.401;0.03;LINEAR;LINEAR(CL);LINEAR
53001.3839811;16.375;0.03;LINEAR;LINEAR(CL);LINEAR
53001.3973104;16.393;0.03;LINEAR;LINEAR(CL);LINEAR
53001.4110542;16.368;0.03;LINEAR;LINEAR(CL);LINEAR
53003.3212279;16.404;0.03;LINEAR;LINEAR(CL);LINEAR
53003.3331548;16.409;0.03;LINEAR;LINEAR(CL);LINEAR
53003.3450528;16.422;0.031;LINEAR;LINEAR(CL);LINEAR
53003.3571807;16.397;0.03;LINEAR;LINEAR(CL);LINEAR
