MJD;Magnitude;Error;Facility;Filter;Observer
55276.5078565;14.908;0.305;ALLWISE;WISE(W2);ALLWISE
55276.5078565;15.488;0.14;ALLWISE;WISE(W1);ALLWISE
55277.1032884;15.504;0.137;ALLWISE;WISE(W1);ALLWISE
55277.1695041;15.389;0.126;ALLWISE;WISE(W1);ALLWISE
55277.5003278;15.482;0.136;ALLWISE;WISE(W1);ALLWISE
55277.5003278;14.758;0.251;ALLWISE;WISE(W2);ALLWISE
55467.6273942;15.782;0.26;ALLWISE;WISE(W1);ALLWISE
55467.7595708;15.599;0.186;ALLWISE;WISE(W1);ALLWISE
55467.8918749;15.645;0.189;ALLWISE;WISE(W1);ALLWISE
55468.0241788;15.477;0.185;ALLWISE;WISE(W1);ALLWISE
55468.0902672;15.803;0.219;ALLWISE;WISE(W1);ALLWISE
55468.1563555;15.059;0.302;ALLWISE;WISE(W2);ALLWISE
55468.1563555;15.949;0.244;ALLWISE;WISE(W1);ALLWISE
55468.2225711;15.762;0.235;ALLWISE;WISE(W1);ALLWISE
55468.2886594;15.341;0.142;ALLWISE;WISE(W1);ALLWISE
55468.3547478;15.508;0.17;ALLWISE;WISE(W1);ALLWISE
55468.3548751;15.74;0.199;ALLWISE;WISE(W1);ALLWISE
55468.3548751;15.475;0.442;ALLWISE;WISE(W2);ALLWISE
55468.4209635;15.312;0.145;ALLWISE;WISE(W1);ALLWISE
55468.4870517;15.549;0.171;ALLWISE;WISE(W1);ALLWISE
55468.5532674;15.581;0.176;ALLWISE;WISE(W1);ALLWISE
55468.6193557;15.827;0.3;ALLWISE;WISE(W1);ALLWISE
55468.6193557;14.752;0.271;ALLWISE;WISE(W2);ALLWISE
55468.7516597;16.209;0.301;ALLWISE;WISE(W1);ALLWISE
55468.7516597;15.736;0.535;ALLWISE;WISE(W2);ALLWISE
55468.8838365;15.919;0.187;ALLWISE;WISE(W1);ALLWISE
55469.0161405;15.06;0.27;ALLWISE;WISE(W2);ALLWISE
55469.0161405;15.497;0.124;ALLWISE;WISE(W1);ALLWISE
55470.5371894;15.722;0.163;ALLWISE;WISE(W1);ALLWISE
55470.6034051;15.389;0.115;ALLWISE;WISE(W1);ALLWISE
55470.6694934;15.694;0.153;ALLWISE;WISE(W1);ALLWISE
55470.7355817;15.94;0.183;ALLWISE;WISE(W1);ALLWISE
55470.8017974;15.623;0.142;ALLWISE;WISE(W1);ALLWISE
55470.8678858;15.573;0.143;ALLWISE;WISE(W1);ALLWISE
55470.9339741;15.748;0.501;ALLWISE;WISE(W2);ALLWISE
55470.9339741;15.72;0.19;ALLWISE;WISE(W1);ALLWISE
55471.0001897;15.81;0.17;ALLWISE;WISE(W1);ALLWISE
55471.0662781;15.784;0.168;ALLWISE;WISE(W1);ALLWISE
55471.1323664;15.838;0.18;ALLWISE;WISE(W1);ALLWISE
55471.1985821;15.866;0.181;ALLWISE;WISE(W1);ALLWISE
55471.1985821;15.247;0.316;ALLWISE;WISE(W2);ALLWISE
55471.2646704;16.292;0.286;ALLWISE;WISE(W1);ALLWISE
55471.3969744;15.847;0.173;ALLWISE;WISE(W1);ALLWISE
55471.3969744;15.408;0.39;ALLWISE;WISE(W2);ALLWISE
55471.5292789;15.601;0.145;ALLWISE;WISE(W1);ALLWISE
55966.6447554;18.7703;0.011595;PS1;PS1(z);PS1
56282.1389271;19.4415;0.0147;PS1;PS1(r);PS1
56342.2588872;18.614866256713867;0.1472151279449463;PTF;PTF(R);PTF
56342.3079772;18.653011322021484;0.1692578792572021;PTF;PTF(R);PTF
56342.3784672;18.690574645996094;0.1536273658275604;PTF;PTF(R);PTF
56380.5361417;20.0887;0.015554;PS1;PS1(g);PS1
56697.7096525;19.2083;0.008458;PS1;PS1(i);PS1
56740.81595572;15.364;0.44;NEOWISE;WISE(W2);NEOWISE
56740.81595572;15.676;0.256;NEOWISE;WISE(W1);NEOWISE
56740.81608309;15.455;0.159;NEOWISE;WISE(W1);NEOWISE
56740.94775034;15.693;0.163;NEOWISE;WISE(W1);NEOWISE
56740.94775034;15.033;0.338;NEOWISE;WISE(W2);NEOWISE
56741.07941764;16.124;0.293;NEOWISE;WISE(W1);NEOWISE
56741.21108494;14.76;0.258;NEOWISE;WISE(W2);NEOWISE
56741.21108494;15.883;0.232;NEOWISE;WISE(W1);NEOWISE
56741.2769186;15.905;0.232;NEOWISE;WISE(W1);NEOWISE
56741.34275225;15.431;0.158;NEOWISE;WISE(W1);NEOWISE
56741.34275225;14.702;0.406;NEOWISE;WISE(W2);NEOWISE
56741.4085859;15.537;0.208;NEOWISE;WISE(W1);NEOWISE
56741.47441955;16.038;0.229;NEOWISE;WISE(W1);NEOWISE
56741.54025321;15.079;0.406;NEOWISE;WISE(W2);NEOWISE
56741.54025321;15.502;0.132;NEOWISE;WISE(W1);NEOWISE
56741.60608685;15.233;0.456;NEOWISE;WISE(W2);NEOWISE
56741.60608685;15.664;0.176;NEOWISE;WISE(W1);NEOWISE
56741.67192046;15.382;0.12;NEOWISE;WISE(W1);NEOWISE
56741.67192046;15.094;0.345;NEOWISE;WISE(W2);NEOWISE
56741.80358775;15.118;0.409;NEOWISE;WISE(W2);NEOWISE
56741.80358775;16.626;0.402;NEOWISE;WISE(W1);NEOWISE
56741.93525506;15.37;0.121;NEOWISE;WISE(W1);NEOWISE
56741.93538243;15.541;0.208;NEOWISE;WISE(W1);NEOWISE
56741.93538243;15.439;0.472;NEOWISE;WISE(W2);NEOWISE
56742.06704973;15.504;0.147;NEOWISE;WISE(W1);NEOWISE
56742.06704973;14.899;0.291;NEOWISE;WISE(W2);NEOWISE
56932.36149542;15.426;0.255;NEOWISE;WISE(W1);NEOWISE
56932.49290808;15.519;0.521;NEOWISE;WISE(W2);NEOWISE
56932.49290808;15.83;0.242;NEOWISE;WISE(W1);NEOWISE
56932.49303544;15.578;0.158;NEOWISE;WISE(W1);NEOWISE
56932.49303544;15.291;0.411;NEOWISE;WISE(W2);NEOWISE
56932.62444543;15.167;0.126;NEOWISE;WISE(W1);NEOWISE
56932.62444543;15.307;0.428;NEOWISE;WISE(W2);NEOWISE
56932.75598552;15.298;0.498;NEOWISE;WISE(W2);NEOWISE
56932.75598552;15.493;0.14;NEOWISE;WISE(W1);NEOWISE
56932.82169193;15.524;0.446;NEOWISE;WISE(W2);NEOWISE
56932.82169193;15.477;0.136;NEOWISE;WISE(W1);NEOWISE
56932.82181925;15.211;0.105;NEOWISE;WISE(W1);NEOWISE
56932.8875256;15.357;0.535;NEOWISE;WISE(W2);NEOWISE
56932.8875256;15.487;0.137;NEOWISE;WISE(W1);NEOWISE
56932.95323201;15.346;0.122;NEOWISE;WISE(W1);NEOWISE
56933.01906574;15.248;0.144;NEOWISE;WISE(W1);NEOWISE
56933.08477211;15.711;0.166;NEOWISE;WISE(W1);NEOWISE
56933.15060583;15.512;0.449;NEOWISE;WISE(W2);NEOWISE
56933.15060583;15.357;0.151;NEOWISE;WISE(W1);NEOWISE
56933.21631219;15.712;0.192;NEOWISE;WISE(W1);NEOWISE
56933.28214587;15.081;0.309;NEOWISE;WISE(W2);NEOWISE
56933.28214587;15.469;0.132;NEOWISE;WISE(W1);NEOWISE
56933.34785228;15.185;0.118;NEOWISE;WISE(W1);NEOWISE
56933.47939231;15.293;0.119;NEOWISE;WISE(W1);NEOWISE
56933.61093235;16.022;0.235;NEOWISE;WISE(W1);NEOWISE
57099.85521112;15.469;0.143;NEOWISE;WISE(W1);NEOWISE
57099.98649664;15.933;0.334;NEOWISE;WISE(W1);NEOWISE
57099.98649664;15.224;0.448;NEOWISE;WISE(W2);NEOWISE
57100.11790943;15.168;0.272;NEOWISE;WISE(W1);NEOWISE
57100.18348848;15.405;0.135;NEOWISE;WISE(W1);NEOWISE
57100.24919491;15.774;0.175;NEOWISE;WISE(W1);NEOWISE
57100.31490127;15.034;0.426;NEOWISE;WISE(W2);NEOWISE
57100.31490127;15.427;0.129;NEOWISE;WISE(W1);NEOWISE
