MJD;Magnitude;Error;Facility;Filter;Observer
51639.43238149;19.044905;0.012301538;SDSS;SDSS(r);SDSS
51639.43238149;19.044905;0.012276637;SDSS;SDSS(r);SDSS
51639.43238149;19.043747;0.012263872;SDSS;SDSS(r);SDSS
51639.43321076;18.538939;0.013412641;SDSS;SDSS(i);SDSS
51639.43321076;18.539919;0.013408616;SDSS;SDSS(i);SDSS
51639.43321076;18.538939;0.013450733;SDSS;SDSS(i);SDSS
51639.43404002;21.213366;0.07575341;SDSS;SDSS(u);SDSS
51639.43404002;21.213366;0.07557676;SDSS;SDSS(u);SDSS
51639.43404002;21.208155;0.07503405;SDSS;SDSS(u);SDSS
51639.4348692901;18.212784;0.028141279;SDSS;SDSS(z);SDSS
51639.4348692901;18.212784;0.028119568;SDSS;SDSS(z);SDSS
51639.4348692901;18.210966;0.028030794;SDSS;SDSS(z);SDSS
51639.43569855;19.842861;0.015644776;SDSS;SDSS(g);SDSS
51639.43569855;19.842861;0.01562535;SDSS;SDSS(g);SDSS
51639.43569855;19.842102;0.015603948;SDSS;SDSS(g);SDSS
51991.39553136;18.713272;0.0167094;SDSS;SDSS(r);SDSS
51991.39636063;18.266476;0.0194743;SDSS;SDSS(i);SDSS
51991.39718989;21.069818;0.10087968;SDSS;SDSS(u);SDSS
51991.39801916;17.998417;0.02341669;SDSS;SDSS(z);SDSS
51991.39884842;19.535126;0.015810994;SDSS;SDSS(g);SDSS
52053.4125930599;18.721199;0.015321595;SDSS;SDSS(r);SDSS
52053.4125930599;18.71983;0.015326649;SDSS;SDSS(r);SDSS
52053.41342233;18.33407;0.01723342;SDSS;SDSS(i);SDSS
52053.41342233;18.33375;0.017367762;SDSS;SDSS(i);SDSS
52053.4142515901;21.125475;0.08888913;SDSS;SDSS(u);SDSS
52053.4142515901;21.083923;0.08659373;SDSS;SDSS(u);SDSS
52053.41508086;17.95851;0.031973843;SDSS;SDSS(z);SDSS
52053.41508086;17.9454;0.0318578;SDSS;SDSS(z);SDSS
52053.41591012;19.500498;0.016722;SDSS;SDSS(g);SDSS
52053.41591012;19.503902;0.016722199;SDSS;SDSS(g);SDSS
53264.129019;18.924116;0.015504397;SDSS;SDSS(r);SDSS
53264.129019;18.924507;0.01542123;SDSS;SDSS(r);SDSS
53264.129019;18.924507;0.015397448;SDSS;SDSS(r);SDSS
53264.12984827;18.569954;0.013258583;SDSS;SDSS(i);SDSS
53264.12984827;18.567245;0.013293804;SDSS;SDSS(i);SDSS
53264.12984827;18.567245;0.013253884;SDSS;SDSS(i);SDSS
53264.13067753;21.217552;0.08438381;SDSS;SDSS(u);SDSS
53264.13067753;21.15912;0.08129935;SDSS;SDSS(u);SDSS
53264.13067753;21.15912;0.081299365;SDSS;SDSS(u);SDSS
53264.13150679;18.160185;0.025456324;SDSS;SDSS(z);SDSS
53264.13150679;18.159115;0.02539538;SDSS;SDSS(z);SDSS
53264.13150679;18.160185;0.025515359;SDSS;SDSS(z);SDSS
53264.13233606;19.65202;0.016888833;SDSS;SDSS(g);SDSS
53264.13233606;19.652021;0.016853748;SDSS;SDSS(g);SDSS
53264.13233606;19.65255;0.016834695;SDSS;SDSS(g);SDSS
53470.41976;17.73;0.11;CRTS;CRTS(CL);CRTS
53470.42694;17.79;0.11;CRTS;CRTS(CL);CRTS
53470.43417;17.79;0.11;CRTS;CRTS(CL);CRTS
53470.44134;17.64;0.1;CRTS;CRTS(CL);CRTS
53479.41441;17.71;0.1;CRTS;CRTS(CL);CRTS
53479.42313;17.51;0.09;CRTS;CRTS(CL);CRTS
53479.43178;17.7;0.1;CRTS;CRTS(CL);CRTS
53479.44054;17.81;0.1;CRTS;CRTS(CL);CRTS
53509.37934;17.66;0.1;CRTS;CRTS(CL);CRTS
53509.3874;17.72;0.1;CRTS;CRTS(CL);CRTS
53509.39548;17.69;0.1;CRTS;CRTS(CL);CRTS
53509.40354;17.82;0.1;CRTS;CRTS(CL);CRTS
53534.35365;17.83;0.1;CRTS;CRTS(CL);CRTS
53534.3618;17.81;0.11;CRTS;CRTS(CL);CRTS
53534.36996;17.46;0.09;CRTS;CRTS(CL);CRTS
53534.37809;17.76;0.1;CRTS;CRTS(CL);CRTS
53549.31454;17.78;0.11;CRTS;CRTS(CL);CRTS
53549.32165;17.63;0.1;CRTS;CRTS(CL);CRTS
53549.32868;17.74;0.11;CRTS;CRTS(CL);CRTS
53549.33576;17.61;0.1;CRTS;CRTS(CL);CRTS
53557.29804;17.81;0.11;CRTS;CRTS(CL);CRTS
53557.30453;17.78;0.11;CRTS;CRTS(CL);CRTS
53557.31106;17.68;0.1;CRTS;CRTS(CL);CRTS
53557.31756;17.85;0.11;CRTS;CRTS(CL);CRTS
53562.27407;17.79;0.1;CRTS;CRTS(CL);CRTS
53562.28058;17.75;0.1;CRTS;CRTS(CL);CRTS
53562.28713;17.84;0.11;CRTS;CRTS(CL);CRTS
53562.29368;17.83;0.11;CRTS;CRTS(CL);CRTS
53627.15197;17.73;0.11;CRTS;CRTS(CL);CRTS
53627.15899;17.77;0.12;CRTS;CRTS(CL);CRTS
53627.16598;17.62;0.11;CRTS;CRTS(CL);CRTS
53627.17304;18.0;0.13;CRTS;CRTS(CL);CRTS
53646.09783;17.83;0.11;CRTS;CRTS(CL);CRTS
53646.10321;17.64;0.12;CRTS;CRTS(CL);CRTS
53646.10858;17.94;0.13;CRTS;CRTS(CL);CRTS
53646.11402;17.65;0.11;CRTS;CRTS(CL);CRTS
53655.10812;17.62;0.1;CRTS;CRTS(CL);CRTS
53655.11352;17.55;0.1;CRTS;CRTS(CL);CRTS
53655.11893;17.75;0.11;CRTS;CRTS(CL);CRTS
53655.1243;17.83;0.11;CRTS;CRTS(CL);CRTS
53667.07366;17.53;0.1;CRTS;CRTS(CL);CRTS
53667.07845;17.81;0.11;CRTS;CRTS(CL);CRTS
53667.08321;17.9;0.11;CRTS;CRTS(CL);CRTS
53667.08799;17.66;0.1;CRTS;CRTS(CL);CRTS
53673.09716;17.8;0.11;CRTS;CRTS(CL);CRTS
53673.10037;17.85;0.11;CRTS;CRTS(CL);CRTS
53673.10358;17.73;0.11;CRTS;CRTS(CL);CRTS
53673.10682;17.8;0.11;CRTS;CRTS(CL);CRTS
53797.51029;17.85;0.11;CRTS;CRTS(CL);CRTS
53797.51708;17.81;0.12;CRTS;CRTS(CL);CRTS
53797.52396;17.89;0.13;CRTS;CRTS(CL);CRTS
53797.53091;17.84;0.15;CRTS;CRTS(CL);CRTS
53851.40345;17.77;0.11;CRTS;CRTS(CL);CRTS
53851.40941;17.8;0.11;CRTS;CRTS(CL);CRTS
53851.4153;17.83;0.11;CRTS;CRTS(CL);CRTS
53851.42136;17.83;0.11;CRTS;CRTS(CL);CRTS
53859.4492;17.78;0.13;CRTS;CRTS(CL);CRTS
53859.4543;17.71;0.12;CRTS;CRTS(CL);CRTS
53859.45942;17.84;0.13;CRTS;CRTS(CL);CRTS
53859.46459;17.69;0.12;CRTS;CRTS(CL);CRTS
53866.4704;17.89;0.27;CRTS;CRTS(CL);CRTS
53866.47118;18.0;0.29;CRTS;CRTS(CL);CRTS
53866.47199;17.79;0.26;CRTS;CRTS(CL);CRTS
53866.47272;17.88;0.27;CRTS;CRTS(CL);CRTS
53879.44086;17.77;0.11;CRTS;CRTS(CL);CRTS
53879.44677;17.77;0.11;CRTS;CRTS(CL);CRTS
53879.45277;17.59;0.1;CRTS;CRTS(CL);CRTS
53879.45875;17.73;0.1;CRTS;CRTS(CL);CRTS
53886.37109;17.64;0.1;CRTS;CRTS(CL);CRTS
53886.38022;17.83;0.11;CRTS;CRTS(CL);CRTS
53886.38933;17.75;0.11;CRTS;CRTS(CL);CRTS
53886.39844;17.67;0.1;CRTS;CRTS(CL);CRTS
53901.44794;18.13;0.33;CRTS;CRTS(CL);CRTS
53901.44893;17.73;0.27;CRTS;CRTS(CL);CRTS
53901.45004;18.6;0.39;CRTS;CRTS(CL);CRTS
53901.4511;17.89;0.29;CRTS;CRTS(CL);CRTS
54006.12871;17.69;0.1;CRTS;CRTS(CL);CRTS
