MJD;Magnitude;Error;Facility;Filter;Observer
53531.24773;15.73;0.07;CRTS;CRTS(CL);CRTS
53531.25559;15.72;0.07;CRTS;CRTS(CL);CRTS
53531.26356;15.71;0.07;CRTS;CRTS(CL);CRTS
53531.27137;15.69;0.07;CRTS;CRTS(CL);CRTS
53769.48645;15.71;0.07;CRTS;CRTS(CL);CRTS
53769.49473;15.67;0.07;CRTS;CRTS(CL);CRTS
53769.5031;15.73;0.07;CRTS;CRTS(CL);CRTS
53769.51161;15.73;0.07;CRTS;CRTS(CL);CRTS
53799.37706;15.71;0.06;CRTS;CRTS(CL);CRTS
53799.38472;15.7;0.06;CRTS;CRTS(CL);CRTS
53799.3925;15.74;0.06;CRTS;CRTS(CL);CRTS
53799.40033;15.72;0.06;CRTS;CRTS(CL);CRTS
53884.28496;15.72;0.06;CRTS;CRTS(CL);CRTS
53884.29156;15.69;0.06;CRTS;CRTS(CL);CRTS
53884.29809;15.72;0.06;CRTS;CRTS(CL);CRTS
53884.30465;15.73;0.06;CRTS;CRTS(CL);CRTS
53902.35093;15.76;0.11;CRTS;CRTS(CL);CRTS
53902.35192;15.61;0.11;CRTS;CRTS(CL);CRTS
53902.35296;15.65;0.11;CRTS;CRTS(CL);CRTS
53902.35396;15.66;0.11;CRTS;CRTS(CL);CRTS
54138.44448;15.69;0.07;CRTS;CRTS(CL);CRTS
54138.4494;15.71;0.07;CRTS;CRTS(CL);CRTS
54138.45434;15.66;0.07;CRTS;CRTS(CL);CRTS
54138.45925;15.71;0.07;CRTS;CRTS(CL);CRTS
54238.32905;15.75;0.06;CRTS;CRTS(CL);CRTS
54238.33401;15.7;0.06;CRTS;CRTS(CL);CRTS
54238.33899;15.75;0.06;CRTS;CRTS(CL);CRTS
54238.34394;15.71;0.06;CRTS;CRTS(CL);CRTS
54270.25757;15.72;0.06;CRTS;CRTS(CL);CRTS
54270.2663;15.72;0.06;CRTS;CRTS(CL);CRTS
54270.27504;15.72;0.06;CRTS;CRTS(CL);CRTS
54270.28375;15.74;0.06;CRTS;CRTS(CL);CRTS
54279.26489;15.73;0.06;CRTS;CRTS(CL);CRTS
54279.26924;15.67;0.06;CRTS;CRTS(CL);CRTS
54279.27355;15.76;0.06;CRTS;CRTS(CL);CRTS
54279.27789;15.75;0.06;CRTS;CRTS(CL);CRTS
54908.27733;15.71;0.06;CRTS;CRTS(CL);CRTS
54908.28097;15.7;0.06;CRTS;CRTS(CL);CRTS
54908.28466;15.72;0.06;CRTS;CRTS(CL);CRTS
54908.28834;15.69;0.06;CRTS;CRTS(CL);CRTS
54915.47843;15.72;0.06;CRTS;CRTS(CL);CRTS
54915.48565;15.75;0.06;CRTS;CRTS(CL);CRTS
54915.4929;15.73;0.06;CRTS;CRTS(CL);CRTS
54915.50004;15.75;0.06;CRTS;CRTS(CL);CRTS
54946.35991;15.75;0.06;CRTS;CRTS(CL);CRTS
54946.36539;15.77;0.06;CRTS;CRTS(CL);CRTS
54946.37079;15.72;0.06;CRTS;CRTS(CL);CRTS
54946.37624;15.73;0.06;CRTS;CRTS(CL);CRTS
54969.28135;15.72;0.06;CRTS;CRTS(CL);CRTS
54969.28752;15.69;0.06;CRTS;CRTS(CL);CRTS
54969.29366;15.72;0.06;CRTS;CRTS(CL);CRTS
54969.29985;15.74;0.06;CRTS;CRTS(CL);CRTS
55327.35105;15.71;0.06;CRTS;CRTS(CL);CRTS
55327.35784;15.73;0.06;CRTS;CRTS(CL);CRTS
55327.36475;15.72;0.06;CRTS;CRTS(CL);CRTS
55327.37166;15.71;0.06;CRTS;CRTS(CL);CRTS
55805.8316149;18.7788;0.008454;PS1;PS1(z);PS1
55979.614459900185;15.76429723266249;0.0294162530752292;ASASSN;ASASSN(V);ASASSN
55979.61619840004;15.87889920595238;0.0299282673398631;ASASSN;ASASSN(V);ASASSN
56021.1925772;18.52309226989746;0.1811449378728866;PTF;PTF(R);PTF
56021.2239972;18.49385070800781;0.1820698231458664;PTF;PTF(R);PTF
56035.2777031;19.8812;0.012368;PS1;PS1(g);PS1
56039.5104972;18.406925201416016;0.0622757002711296;PTF;PTF(R);PTF
56165.4981907;19.2721;0.006517;PS1;PS1(r);PS1
56276.66351690004;15.91501467040138;0.0364431903174697;ASASSN;ASASSN(V);ASASSN
56318.67242630012;16.020923639514532;0.0718512318660008;ASASSN;ASASSN(V);ASASSN
56324.66038919985;15.892662509716862;0.0261164371957679;ASASSN;ASASSN(V);ASASSN
56328.643502600025;15.869680978303364;0.0255538857105591;ASASSN;ASASSN(V);ASASSN
56338.66396970023;15.870988998206345;0.0217334037483227;ASASSN;ASASSN(V);ASASSN
56376.44700390007;16.091107756928494;0.0766454659501573;ASASSN;ASASSN(V);ASASSN
56387.41401420021;15.88822043594773;0.0167964946531361;ASASSN;ASASSN(V);ASASSN
56392.388829099946;15.938528728438117;0.0187858148998496;ASASSN;ASASSN(V);ASASSN
56405.41543659987;15.704900333587055;0.0423559141729115;ASASSN;ASASSN(V);ASASSN
56410.40254899999;16.07678002616161;0.0603448229650704;ASASSN;ASASSN(V);ASASSN
56410.404396399856;15.910432008583154;0.0588407663123108;ASASSN;ASASSN(V);ASASSN
56421.32219;15.68;0.07;CRTS;CRTS(CL);CRTS
56421.32788;15.73;0.07;CRTS;CRTS(CL);CRTS
56421.33358;15.72;0.07;CRTS;CRTS(CL);CRTS
56421.33926;15.72;0.06;CRTS;CRTS(CL);CRTS
56443.36577440007;15.893147146184225;0.0196903187847647;ASASSN;ASASSN(V);ASASSN
56449.3556185998;15.820610012173113;0.0197496304717021;ASASSN;ASASSN(V);ASASSN
56459.32137610018;15.80668065562648;0.030628737676942;ASASSN;ASASSN(V);ASASSN
56463.32480779989;15.83490826152329;0.0407390220838996;ASASSN;ASASSN(V);ASASSN
56463.326189300045;15.819547988515694;0.0642144919067646;ASASSN;ASASSN(V);ASASSN
56464.1966128;19.0708;0.004372;PS1;PS1(i);PS1
56470.36431809981;15.911839037693849;0.050115790972515;ASASSN;ASASSN(V);ASASSN
56471.28502519988;15.891887608179353;0.0207659063517517;ASASSN;ASASSN(V);ASASSN
56471.28641959978;15.962943201828397;0.0331417156068154;ASASSN;ASASSN(V);ASASSN
56476.30798640009;15.86273889286706;0.0221371908699329;ASASSN;ASASSN(V);ASASSN
56476.30936329998;15.774680447098952;0.0276490347175943;ASASSN;ASASSN(V);ASASSN
56481.301973800175;15.896598395036516;0.0643731682146236;ASASSN;ASASSN(V);ASASSN
56482.28171780007;15.902528935869135;0.0230150484851436;ASASSN;ASASSN(V);ASASSN
56486.280805500224;15.792190500278632;0.0270353401987052;ASASSN;ASASSN(V);ASASSN
56486.28218510002;15.836016794321068;0.0290246674110104;ASASSN;ASASSN(V);ASASSN
56497.28351909993;15.804476199988732;0.06967442505187;ASASSN;ASASSN(V);ASASSN
56497.28488379996;15.818206920942677;0.0673696939046371;ASASSN;ASASSN(V);ASASSN
56508.26156149991;15.8524822320005;0.0283474686055338;ASASSN;ASASSN(V);ASASSN
56512.254996600095;15.891198549646935;0.0261769559743353;ASASSN;ASASSN(V);ASASSN
56512.25660180021;15.947267894675775;0.0349937450526781;ASASSN;ASASSN(V);ASASSN
56631.632247999776;15.803422354009946;0.0235285224824802;ASASSN;ASASSN(V);ASASSN
56636.62702650018;15.865370656688205;0.0210789107337114;ASASSN;ASASSN(V);ASASSN
56637.613843800034;15.797761631665496;0.0363757689932701;ASASSN;ASASSN(V);ASASSN
56641.61400730023;15.841170928544424;0.0494947097753203;ASASSN;ASASSN(V);ASASSN
56647.68898986;14.418;0.064;NEOWISE;WISE(W1);NEOWISE
56647.68898986;14.203;0.233;NEOWISE;WISE(W2);NEOWISE
56647.754951;14.298;0.056;NEOWISE;WISE(W1);NEOWISE
56647.754951;14.295;0.156;NEOWISE;WISE(W2);NEOWISE
56647.886746;14.159;0.086;NEOWISE;WISE(W1);NEOWISE
56647.886746;14.513;0.261;NEOWISE;WISE(W2);NEOWISE
56647.95257981;14.189;0.062;NEOWISE;WISE(W1);NEOWISE
56647.95257981;14.448;0.253;NEOWISE;WISE(W2);NEOWISE
56648.21616986;14.33;0.221;NEOWISE;WISE(W2);NEOWISE
56648.21616986;14.323;0.062;NEOWISE;WISE(W1);NEOWISE
56648.28200368;14.307;0.231;NEOWISE;WISE(W2);NEOWISE
56648.28200368;14.431;0.071;NEOWISE;WISE(W1);NEOWISE
56648.54559369;14.335;0.064;NEOWISE;WISE(W1);NEOWISE
56648.54559369;14.205;0.198;NEOWISE;WISE(W2);NEOWISE
56648.59013500018;15.79663814303749;0.0349647827872159;ASASSN;ASASSN(V);ASASSN
56648.67738865;14.133;0.147;NEOWISE;WISE(W2);NEOWISE
56648.67738865;14.417;0.058;NEOWISE;WISE(W1);NEOWISE
56651.51066288;14.398;0.062;NEOWISE;WISE(W1);NEOWISE
56651.51066288;14.123;0.2;NEOWISE;WISE(W2);NEOWISE
56651.58180809999;15.73887874856608;0.0365764207912932;ASASSN;ASASSN(V);ASASSN
56657.56386760017;15.852369785142994;0.0212067436544292;ASASSN;ASASSN(V);ASASSN
56682.50211270014;15.87138536975717;0.0233355434122707;ASASSN;ASASSN(V);ASASSN
56700.4427943998;15.928288387236687;0.0646419322740966;ASASSN;ASASSN(V);ASASSN
56701.55396030005;15.897622815111102;0.0651655943566654;ASASSN;ASASSN(V);ASASSN
56729.39586170018;16.205610061243792;0.1437275640576975;ASASSN;ASASSN(V);ASASSN
56736.34613930015;15.895015902914118;0.0601852273905435;ASASSN;ASASSN(V);ASASSN
56740.33741080016;15.998411890431427;0.0272212373360664;ASASSN;ASASSN(V);ASASSN
56741.52197990008;15.794019323593531;0.0250046342125917;ASASSN;ASASSN(V);ASASSN
56749.30741;15.73;0.06;CRTS;CRTS(CL);CRTS
56749.31357;15.71;0.06;CRTS;CRTS(CL);CRTS
56749.31975;15.71;0.06;CRTS;CRTS(CL);CRTS
56749.32596;15.71;0.06;CRTS;CRTS(CL);CRTS
56752.29881689977;15.861709839309;0.0236711737586874;ASASSN;ASASSN(V);ASASSN
56756.2890118002;15.856295111686132;0.0379007217902186;ASASSN;ASASSN(V);ASASSN
56757.40862669982;15.796059985440335;0.0423458987846763;ASASSN;ASASSN(V);ASASSN
56758.31480959989;15.982712730502096;0.0686400593951693;ASASSN;ASASSN(V);ASASSN
56767.42798120016;15.7504736975617;0.1158563684180664;ASASSN;ASASSN(V);ASASSN
56770.41127520008;15.824061963471728;0.0389361353753885;ASASSN;ASASSN(V);ASASSN
56771.41856550006;15.850404592470362;0.0300877104180224;ASASSN;ASASSN(V);ASASSN
56772.4422073001;15.813248786015112;0.027445887395225;ASASSN;ASASSN(V);ASASSN
56775.27305;15.73;0.06;CRTS;CRTS(CL);CRTS
56775.28023;15.69;0.06;CRTS;CRTS(CL);CRTS
56775.28744;15.7;0.06;CRTS;CRTS(CL);CRTS
56775.29464;15.71;0.06;CRTS;CRTS(CL);CRTS
56781.39673080016;15.83137505279475;0.0172412065172284;ASASSN;ASASSN(V);ASASSN
56782.23586239992;16.097108204120303;0.0702921268561779;ASASSN;ASASSN(V);ASASSN
56783.4096547002;15.86027841205521;0.0335701737992368;ASASSN;ASASSN(V);ASASSN
56784.39449279988;15.805549266023444;0.0300265975346692;ASASSN;ASASSN(V);ASASSN
56785.395808899775;15.822106065153497;0.0392703671053865;ASASSN;ASASSN(V);ASASSN
56787.26776700001;15.878022327514309;0.0369902580864465;ASASSN;ASASSN(V);ASASSN
56788.38447770011;15.91345601033671;0.052533975435594;ASASSN;ASASSN(V);ASASSN
56789.27633;15.76;0.06;CRTS;CRTS(CL);CRTS
56789.28234;15.72;0.06;CRTS;CRTS(CL);CRTS
