MJD;Magnitude;Error;Facility;Filter;Observer
53479.15908;15.45;0.06;CRTS;CRTS(CL);CRTS
53479.16448;15.41;0.06;CRTS;CRTS(CL);CRTS
53479.1698;15.44;0.06;CRTS;CRTS(CL);CRTS
53479.17558;15.43;0.06;CRTS;CRTS(CL);CRTS
53495.13672;15.45;0.06;CRTS;CRTS(CL);CRTS
53495.14321;15.43;0.06;CRTS;CRTS(CL);CRTS
53495.14971;15.42;0.06;CRTS;CRTS(CL);CRTS
53495.15621;15.43;0.06;CRTS;CRTS(CL);CRTS
53646.46705;15.45;0.06;CRTS;CRTS(CL);CRTS
53646.47522;15.46;0.06;CRTS;CRTS(CL);CRTS
53646.4834;15.49;0.06;CRTS;CRTS(CL);CRTS
53646.49162;15.46;0.06;CRTS;CRTS(CL);CRTS
53671.37106;15.48;0.06;CRTS;CRTS(CL);CRTS
53671.37589;15.43;0.06;CRTS;CRTS(CL);CRTS
53671.38078;15.49;0.06;CRTS;CRTS(CL);CRTS
53671.38561;15.46;0.06;CRTS;CRTS(CL);CRTS
53677.42122;15.51;0.06;CRTS;CRTS(CL);CRTS
53677.42898;15.49;0.06;CRTS;CRTS(CL);CRTS
53677.43675;15.51;0.07;CRTS;CRTS(CL);CRTS
53677.4447;15.48;0.07;CRTS;CRTS(CL);CRTS
53684.46174;15.49;0.06;CRTS;CRTS(CL);CRTS
53684.46852;15.47;0.06;CRTS;CRTS(CL);CRTS
53684.47553;15.46;0.06;CRTS;CRTS(CL);CRTS
53684.48331;15.45;0.06;CRTS;CRTS(CL);CRTS
53685.44322;15.49;0.06;CRTS;CRTS(CL);CRTS
53685.44967;15.49;0.06;CRTS;CRTS(CL);CRTS
53685.45617;15.49;0.06;CRTS;CRTS(CL);CRTS
53685.46277;15.46;0.06;CRTS;CRTS(CL);CRTS
53687.30482;15.45;0.06;CRTS;CRTS(CL);CRTS
53687.31174;15.44;0.06;CRTS;CRTS(CL);CRTS
53687.31867;15.47;0.06;CRTS;CRTS(CL);CRTS
53687.32558;15.45;0.06;CRTS;CRTS(CL);CRTS
53696.45311;15.38;0.06;CRTS;CRTS(CL);CRTS
53696.45901;15.44;0.06;CRTS;CRTS(CL);CRTS
53696.46457;15.39;0.06;CRTS;CRTS(CL);CRTS
53696.47004;15.45;0.06;CRTS;CRTS(CL);CRTS
53708.43372;15.45;0.06;CRTS;CRTS(CL);CRTS
53708.44167;15.48;0.06;CRTS;CRTS(CL);CRTS
53708.44968;15.44;0.06;CRTS;CRTS(CL);CRTS
53708.45748;15.47;0.06;CRTS;CRTS(CL);CRTS
53714.24797;15.44;0.06;CRTS;CRTS(CL);CRTS
53714.25566;15.48;0.06;CRTS;CRTS(CL);CRTS
53714.26349;15.47;0.06;CRTS;CRTS(CL);CRTS
53714.27143;15.46;0.06;CRTS;CRTS(CL);CRTS
53725.40559;15.46;0.06;CRTS;CRTS(CL);CRTS
53725.41328;15.46;0.06;CRTS;CRTS(CL);CRTS
53725.42094;15.46;0.06;CRTS;CRTS(CL);CRTS
53725.4286;15.47;0.06;CRTS;CRTS(CL);CRTS
53737.26278;15.47;0.06;CRTS;CRTS(CL);CRTS
53737.27008;15.46;0.06;CRTS;CRTS(CL);CRTS
53737.27739;15.44;0.06;CRTS;CRTS(CL);CRTS
53737.28471;15.48;0.06;CRTS;CRTS(CL);CRTS
53741.27015;15.47;0.06;CRTS;CRTS(CL);CRTS
53741.27667;15.43;0.06;CRTS;CRTS(CL);CRTS
53741.28319;15.47;0.06;CRTS;CRTS(CL);CRTS
53741.28976;15.46;0.06;CRTS;CRTS(CL);CRTS
53753.33337;15.43;0.06;CRTS;CRTS(CL);CRTS
53753.3414;15.45;0.06;CRTS;CRTS(CL);CRTS
53753.34947;15.45;0.06;CRTS;CRTS(CL);CRTS
53753.3575;15.46;0.06;CRTS;CRTS(CL);CRTS
53759.2403;15.46;0.06;CRTS;CRTS(CL);CRTS
53759.24464;15.46;0.06;CRTS;CRTS(CL);CRTS
53759.24898;15.46;0.06;CRTS;CRTS(CL);CRTS
53759.25331;15.48;0.06;CRTS;CRTS(CL);CRTS
53765.20804;15.49;0.06;CRTS;CRTS(CL);CRTS
53765.21504;15.46;0.06;CRTS;CRTS(CL);CRTS
53765.22204;15.48;0.06;CRTS;CRTS(CL);CRTS
53765.22905;15.44;0.06;CRTS;CRTS(CL);CRTS
53788.10417;15.48;0.06;CRTS;CRTS(CL);CRTS
53788.11074;15.43;0.06;CRTS;CRTS(CL);CRTS
53788.11727;15.43;0.07;CRTS;CRTS(CL);CRTS
53788.12381;15.44;0.06;CRTS;CRTS(CL);CRTS
53794.15866;15.45;0.06;CRTS;CRTS(CL);CRTS
53794.16565;15.44;0.06;CRTS;CRTS(CL);CRTS
53794.17257;15.45;0.06;CRTS;CRTS(CL);CRTS
53794.17898;15.46;0.06;CRTS;CRTS(CL);CRTS
53819.13011;15.47;0.06;CRTS;CRTS(CL);CRTS
53819.13853;15.48;0.06;CRTS;CRTS(CL);CRTS
53819.14635;15.44;0.06;CRTS;CRTS(CL);CRTS
53819.15408;15.45;0.06;CRTS;CRTS(CL);CRTS
53854.13596;15.45;0.06;CRTS;CRTS(CL);CRTS
53854.14187;15.52;0.06;CRTS;CRTS(CL);CRTS
53854.14775;15.46;0.06;CRTS;CRTS(CL);CRTS
53854.15363;15.48;0.06;CRTS;CRTS(CL);CRTS
53862.14444;15.42;0.06;CRTS;CRTS(CL);CRTS
53862.15098;15.43;0.06;CRTS;CRTS(CL);CRTS
53862.15763;15.45;0.06;CRTS;CRTS(CL);CRTS
53862.16409;15.44;0.06;CRTS;CRTS(CL);CRTS
54027.3927;15.44;0.06;CRTS;CRTS(CL);CRTS
54027.40192;15.45;0.06;CRTS;CRTS(CL);CRTS
54027.41121;15.46;0.06;CRTS;CRTS(CL);CRTS
54027.4205;15.45;0.06;CRTS;CRTS(CL);CRTS
54035.39722;15.44;0.06;CRTS;CRTS(CL);CRTS
54035.40379;15.4;0.06;CRTS;CRTS(CL);CRTS
54035.41039;15.44;0.06;CRTS;CRTS(CL);CRTS
54035.41694;15.41;0.06;CRTS;CRTS(CL);CRTS
54061.41132;15.44;0.06;CRTS;CRTS(CL);CRTS
54061.41753;15.44;0.06;CRTS;CRTS(CL);CRTS
54061.4237;15.45;0.06;CRTS;CRTS(CL);CRTS
54061.42988;15.45;0.06;CRTS;CRTS(CL);CRTS
54094.23433;15.44;0.06;CRTS;CRTS(CL);CRTS
54094.2458;15.44;0.06;CRTS;CRTS(CL);CRTS
54094.25545;15.46;0.06;CRTS;CRTS(CL);CRTS
54094.26513;15.44;0.06;CRTS;CRTS(CL);CRTS
