MJD;Magnitude;Error;Facility;Filter;Observer
51980.16371587;18.251722;0.019821526;SDSS;SDSS(r);SDSS
51980.1641305;18.24346;0.016644895;SDSS;SDSS(r);SDSS
51980.16454513;17.818918;0.011966636;SDSS;SDSS(i);SDSS
51980.16495977;17.833778;0.013635709;SDSS;SDSS(i);SDSS
51980.1653744;21.125883;0.18700129;SDSS;SDSS(u);SDSS
51980.16578903;21.056038;0.184375;SDSS;SDSS(u);SDSS
51980.16620366;17.518114;0.02125843;SDSS;SDSS(z);SDSS
51980.1666183;17.455292;0.021423914;SDSS;SDSS(z);SDSS
51980.16703293;19.160145;0.025481883;SDSS;SDSS(g);SDSS
51980.16744756;19.166454;0.024687368;SDSS;SDSS(g);SDSS
52014.18001788;18.379189;0.019792028;SDSS;SDSS(r);SDSS
52014.18001788;18.378061;0.01978572;SDSS;SDSS(r);SDSS
52014.18084715;18.01678;0.01601234;SDSS;SDSS(i);SDSS
52014.18084715;18.015774;0.016014278;SDSS;SDSS(i);SDSS
52014.1816764099;21.28208;0.10307665;SDSS;SDSS(u);SDSS
52014.1816764099;21.320465;0.10551629;SDSS;SDSS(u);SDSS
52014.18250568;17.688328;0.02313645;SDSS;SDSS(z);SDSS
52014.18250568;17.687761;0.023102358;SDSS;SDSS(z);SDSS
52014.18333494;19.396286;0.018414812;SDSS;SDSS(g);SDSS
52014.18333494;19.398226;0.018409848;SDSS;SDSS(g);SDSS
52621.374638;17.755;0.198;LINEAR;LINEAR(CL);LINEAR
52636.365288;18.238;0.338;LINEAR;LINEAR(CL);LINEAR
52636.379882;17.884;0.231;LINEAR;LINEAR(CL);LINEAR
52636.3942793;18.04;0.261;LINEAR;LINEAR(CL);LINEAR
52636.4088798;17.923;0.238;LINEAR;LINEAR(CL);LINEAR
52636.4234263;17.944;0.244;LINEAR;LINEAR(CL);LINEAR
52693.2517984;18.105;0.226;LINEAR;LINEAR(CL);LINEAR
52693.2669437;17.869;0.181;LINEAR;LINEAR(CL);LINEAR
