MJD;Magnitude;Error;Facility;Filter;Observer
55926.6706291;21.3481;0.030484;PS1;PS1(r);PS1
56060.8824618;20.6422;0.021928;PS1;PS1(i);PS1
56089.2570883;20.2531;0.04102;PS1;PS1(z);PS1
56205.421882;23.1119;0.156972;PS1;PS1(g);PS1
58198.4404861;21.167366;0.18949461;ZTF;ZTF(zr);ZTF
58198.4404861;21.167366;0.190362692;ZTF;ZTF(zr);ZTF
58198.4637384;20.7365856;0.158945918;ZTF;ZTF(zr);ZTF
58198.4637384;20.7365856;0.158297777;ZTF;ZTF(zr);ZTF
58198.4990162;20.9745293;0.17552948;ZTF;ZTF(zr);ZTF
58198.4990162;20.9745293;0.176299095;ZTF;ZTF(zr);ZTF
58198.503287;20.8627949;0.168150306;ZTF;ZTF(zr);ZTF
58198.503287;20.8627949;0.167437792;ZTF;ZTF(zr);ZTF
58198.5251042;21.2046471;0.193081617;ZTF;ZTF(zr);ZTF
58198.5251042;21.2046471;0.192194581;ZTF;ZTF(zr);ZTF
58222.3887731;20.9942799;0.177739501;ZTF;ZTF(zr);ZTF
58222.3887731;20.9942799;0.176959872;ZTF;ZTF(zr);ZTF
58222.43125;20.9403133;0.173051596;ZTF;ZTF(zr);ZTF
58222.43125;20.9403133;0.173803806;ZTF;ZTF(zr);ZTF
58224.4462963;20.9444618;0.173352003;ZTF;ZTF(zr);ZTF
58224.4462963;20.9444618;0.17410624;ZTF;ZTF(zr);ZTF
58226.4211921;20.621315;0.15053916;ZTF;ZTF(zr);ZTF
58226.4211921;20.621315;0.149949908;ZTF;ZTF(zr);ZTF
58226.439294;21.0420532;0.180419564;ZTF;ZTF(zr);ZTF
58226.439294;21.0420532;0.181223631;ZTF;ZTF(zr);ZTF
58226.4819444;20.7319794;0.15796411;ZTF;ZTF(zr);ZTF
58226.4819444;20.7319794;0.158609986;ZTF;ZTF(zr);ZTF
58247.3373958;21.6328144;0.214998722;ZTF;ZTF(zg);ZTF
58247.3373958;21.6328144;0.212134004;ZTF;ZTF(zg);ZTF
58247.4151157;20.961441;0.174581647;ZTF;ZTF(zr);ZTF
58247.4151157;20.961441;0.175344586;ZTF;ZTF(zr);ZTF
58247.4160301;20.5034256;0.141412377;ZTF;ZTF(zr);ZTF
58247.4160301;20.5034256;0.141941547;ZTF;ZTF(zr);ZTF
58252.4168171;21.0223579;0.179787278;ZTF;ZTF(zr);ZTF
58252.4168171;21.0223579;0.178993225;ZTF;ZTF(zr);ZTF
58254.4780324;21.1887493;0.191043258;ZTF;ZTF(zr);ZTF
58254.4780324;21.1887493;0.191922188;ZTF;ZTF(zr);ZTF
58255.3331713;20.5869102;0.147458315;ZTF;ZTF(zr);ZTF
58255.3331713;20.5869102;0.148030043;ZTF;ZTF(zr);ZTF
58255.3776736;21.7929592;0.226115584;ZTF;ZTF(zg);ZTF
58255.3776736;21.7929592;0.223066568;ZTF;ZTF(zg);ZTF
58256.4403356;21.1592979;0.188910365;ZTF;ZTF(zr);ZTF
58256.4403356;21.1592979;0.189774275;ZTF;ZTF(zr);ZTF
58257.3984838;20.8868103;0.169901729;ZTF;ZTF(zr);ZTF
58257.3984838;20.8868103;0.169176936;ZTF;ZTF(zr);ZTF
58257.4430787;20.9683533;0.175848722;ZTF;ZTF(zr);ZTF
58257.4430787;20.9683533;0.175082207;ZTF;ZTF(zr);ZTF
58272.3552083;20.2028217;0.162173182;ZTF;ZTF(zi);ZTF
58272.3552083;20.2028217;0.162496179;ZTF;ZTF(zi);ZTF
58274.2951157;21.0352097;0.179923892;ZTF;ZTF(zr);ZTF
58274.2951157;21.0352097;0.180724502;ZTF;ZTF(zr);ZTF
58274.3524884;21.1025848;0.185638189;ZTF;ZTF(zr);ZTF
58274.3524884;21.1025848;0.184803247;ZTF;ZTF(zr);ZTF
58276.3124653;21.23106;0.19500792;ZTF;ZTF(zr);ZTF
58276.3124653;21.23106;0.194107294;ZTF;ZTF(zr);ZTF
58276.3318981;20.8956871;0.170549154;ZTF;ZTF(zr);ZTF
58276.3318981;20.8956871;0.169819832;ZTF;ZTF(zr);ZTF
58276.4340856;21.3511238;0.2037642;ZTF;ZTF(zr);ZTF
58276.4340856;21.3511238;0.2028023;ZTF;ZTF(zr);ZTF
58277.2918634;21.2570877;0.195992231;ZTF;ZTF(zr);ZTF
58277.2918634;21.2570877;0.19690609;ZTF;ZTF(zr);ZTF
58278.2946181;21.0100174;0.178099513;ZTF;ZTF(zr);ZTF
58278.2946181;21.0100174;0.178887248;ZTF;ZTF(zr);ZTF
58278.2955324;21.2567978;0.19688499;ZTF;ZTF(zr);ZTF
58278.2955324;21.2567978;0.195971251;ZTF;ZTF(zr);ZTF
58278.3157176;21.1189423;0.186831117;ZTF;ZTF(zr);ZTF
58278.3157176;21.1189423;0.18598783;ZTF;ZTF(zr);ZTF
58279.2787847;21.0272446;0.179347157;ZTF;ZTF(zr);ZTF
58279.2787847;21.0272446;0.180143595;ZTF;ZTF(zr);ZTF
58280.3334838;21.3246651;0.20088613;ZTF;ZTF(zr);ZTF
58280.3334838;21.3246651;0.201834559;ZTF;ZTF(zr);ZTF
58280.335544;21.0706863;0.18249321;ZTF;ZTF(zr);ZTF
58280.335544;21.0706863;0.18331182;ZTF;ZTF(zr);ZTF
58280.3566898;21.2554474;0.196786523;ZTF;ZTF(zr);ZTF
58280.3566898;21.2554474;0.195873499;ZTF;ZTF(zr);ZTF
58281.3118519;20.6654434;0.198441863;ZTF;ZTF(zi);ZTF
58281.3118519;20.6654434;0.199826479;ZTF;ZTF(zi);ZTF
58281.314456;20.9139729;0.171144009;ZTF;ZTF(zr);ZTF
58281.314456;20.9139729;0.171882749;ZTF;ZTF(zr);ZTF
58281.3525926;20.9044666;0.170455575;ZTF;ZTF(zr);ZTF
58281.3525926;20.9044666;0.171189427;ZTF;ZTF(zr);ZTF
58282.3312384;21.0250187;0.179981351;ZTF;ZTF(zr);ZTF
58282.3312384;21.0250187;0.179185867;ZTF;ZTF(zr);ZTF
58282.3364352;21.1982746;0.19261682;ZTF;ZTF(zr);ZTF
58282.3364352;21.1982746;0.191733003;ZTF;ZTF(zr);ZTF
58283.3335532;21.0212021;0.17890954;ZTF;ZTF(zr);ZTF
58283.3335532;21.0212021;0.179702997;ZTF;ZTF(zr);ZTF
58283.3370139;20.7507076;0.159975767;ZTF;ZTF(zr);ZTF
58283.3370139;20.7507076;0.159320474;ZTF;ZTF(zr);ZTF
58283.3721412;21.3650913;0.203813791;ZTF;ZTF(zr);ZTF
58283.3721412;21.3650913;0.204782844;ZTF;ZTF(zr);ZTF
58284.3308912;20.8354797;0.165459633;ZTF;ZTF(zr);ZTF
58284.3308912;20.8354797;0.166158199;ZTF;ZTF(zr);ZTF
58284.3318056;21.1899223;0.19200778;ZTF;ZTF(zr);ZTF
58284.3318056;21.1899223;0.191128135;ZTF;ZTF(zr);ZTF
58285.3300116;21.2091751;0.192522407;ZTF;ZTF(zr);ZTF
58285.3300116;21.2091751;0.193411827;ZTF;ZTF(zr);ZTF
58285.3946528;21.0972672;0.185250401;ZTF;ZTF(zr);ZTF
58285.3946528;21.0972672;0.184418082;ZTF;ZTF(zr);ZTF
58286.3158333;21.204565;0.192188621;ZTF;ZTF(zr);ZTF
58286.3158333;21.204565;0.193075657;ZTF;ZTF(zr);ZTF
58287.2741435;21.1589432;0.188884616;ZTF;ZTF(zr);ZTF
58287.2741435;21.1589432;0.189748406;ZTF;ZTF(zr);ZTF
58287.3164005;21.1350174;0.187152028;ZTF;ZTF(zr);ZTF
58287.3164005;21.1350174;0.18800354;ZTF;ZTF(zr);ZTF
58287.3373148;21.8858013;0.232560515;ZTF;ZTF(zg);ZTF
58287.3373148;21.8858013;0.229404569;ZTF;ZTF(zg);ZTF
58288.2904861;21.2108192;0.193531752;ZTF;ZTF(zr);ZTF
58288.2904861;21.2108192;0.192641497;ZTF;ZTF(zr);ZTF
58288.3144676;21.1399574;0.188363791;ZTF;ZTF(zr);ZTF
58288.3144676;21.1399574;0.187509775;ZTF;ZTF(zr);ZTF
58289.2684954;21.1383286;0.187391758;ZTF;ZTF(zr);ZTF
58289.2684954;21.1383286;0.188244939;ZTF;ZTF(zr);ZTF
58290.3358449;20.6579514;0.15260303;ZTF;ZTF(zr);ZTF
58290.3358449;20.6579514;0.153211117;ZTF;ZTF(zr);ZTF
58290.3733912;21.3683624;0.20405066;ZTF;ZTF(zr);ZTF
58290.3733912;21.3683624;0.205021381;ZTF;ZTF(zr);ZTF
58290.374294;21.0610771;0.182611108;ZTF;ZTF(zr);ZTF
58290.374294;21.0610771;0.181797266;ZTF;ZTF(zr);ZTF
58291.2946065;20.7464981;0.159015536;ZTF;ZTF(zr);ZTF
58291.2946065;20.7464981;0.159668803;ZTF;ZTF(zr);ZTF
58291.3313773;20.6975899;0.156101942;ZTF;ZTF(zr);ZTF
58291.3313773;20.6975899;0.155473709;ZTF;ZTF(zr);ZTF
58292.3160185;20.7796917;0.161419511;ZTF;ZTF(zr);ZTF
58292.3160185;20.7796917;0.162089586;ZTF;ZTF(zr);ZTF
58303.3140046;21.0732098;0.182675838;ZTF;ZTF(zr);ZTF
58303.3140046;21.0732098;0.183495879;ZTF;ZTF(zr);ZTF
58304.3754398;21.0217934;0.179746032;ZTF;ZTF(zr);ZTF
58304.3754398;21.0217934;0.178952336;ZTF;ZTF(zr);ZTF
58307.1928588;20.7339401;0.158752918;ZTF;ZTF(zr);ZTF
58307.1928588;20.7339401;0.158106089;ZTF;ZTF(zr);ZTF
58307.3597801;21.0903969;0.184749365;ZTF;ZTF(zr);ZTF
58307.3597801;21.0903969;0.183920622;ZTF;ZTF(zr);ZTF
58308.3134144;20.8291988;0.16500473;ZTF;ZTF(zr);ZTF
58308.3134144;20.8291988;0.165700197;ZTF;ZTF(zr);ZTF
58311.1928935;21.2302952;0.194051981;ZTF;ZTF(zr);ZTF
58311.1928935;21.2302952;0.19495213;ZTF;ZTF(zr);ZTF
58311.2283449;21.0112038;0.178973794;ZTF;ZTF(zr);ZTF
58311.2283449;21.0112038;0.178185463;ZTF;ZTF(zr);ZTF
58312.1756134;20.4174309;0.180320978;ZTF;ZTF(zi);ZTF
58312.1756134;20.4174309;0.179464564;ZTF;ZTF(zi);ZTF
58312.3602662;21.6152039;0.213776231;ZTF;ZTF(zg);ZTF
58312.3602662;21.6152039;0.210931778;ZTF;ZTF(zg);ZTF
58313.2081366;21.0780869;0.183029056;ZTF;ZTF(zr);ZTF
58313.2081366;21.0780869;0.1838516;ZTF;ZTF(zr);ZTF
58314.1908218;21.0077896;0.178724766;ZTF;ZTF(zr);ZTF
58314.1908218;21.0077896;0.177938223;ZTF;ZTF(zr);ZTF
58315.3152546;20.8443375;0.166804194;ZTF;ZTF(zr);ZTF
58315.3152546;20.8443375;0.166101098;ZTF;ZTF(zr);ZTF
58315.3366667;21.3713379;0.205238342;ZTF;ZTF(zr);ZTF
58315.3366667;21.3713379;0.204266191;ZTF;ZTF(zr);ZTF
58316.2246528;20.9429264;0.173994303;ZTF;ZTF(zr);ZTF
58316.2246528;20.9429264;0.173240781;ZTF;ZTF(zr);ZTF
58316.2306134;20.7439308;0.158829689;ZTF;ZTF(zr);ZTF
58316.2306134;20.7439308;0.159481525;ZTF;ZTF(zr);ZTF
58316.2513657;21.0377922;0.180912852;ZTF;ZTF(zr);ZTF
58316.2513657;21.0377922;0.180110931;ZTF;ZTF(zr);ZTF
58320.2742593;20.9947796;0.177775979;ZTF;ZTF(zr);ZTF
58320.2742593;20.9947796;0.176995993;ZTF;ZTF(zr);ZTF
58320.3464583;21.4982109;0.214491248;ZTF;ZTF(zr);ZTF
58320.3464583;21.4982109;0.213454247;ZTF;ZTF(zr);ZTF
58321.2512731;21.0741043;0.182740688;ZTF;ZTF(zr);ZTF
58321.2512731;21.0741043;0.183561087;ZTF;ZTF(zr);ZTF
58321.2755556;20.9531097;0.173978329;ZTF;ZTF(zr);ZTF
58321.2755556;20.9531097;0.174736977;ZTF;ZTF(zr);ZTF
58321.3600116;20.7094402;0.203442574;ZTF;ZTF(zi);ZTF
58321.3600116;20.7094402;0.201994658;ZTF;ZTF(zi);ZTF
58322.2316088;20.8824158;0.168858647;ZTF;ZTF(zr);ZTF
58322.2316088;20.8824158;0.169581294;ZTF;ZTF(zr);ZTF
58331.1692593;21.0267067;0.180104375;ZTF;ZTF(zr);ZTF
58331.1692593;21.0267067;0.179308176;ZTF;ZTF(zr);ZTF
58331.1891319;21.0719204;0.182582498;ZTF;ZTF(zr);ZTF
58331.1891319;21.0719204;0.183401823;ZTF;ZTF(zr);ZTF
58336.2215046;21.1617374;0.189087033;ZTF;ZTF(zr);ZTF
58336.2215046;21.1617374;0.189952254;ZTF;ZTF(zr);ZTF
58340.1727199;21.020443;0.178854585;ZTF;ZTF(zr);ZTF
58340.1727199;21.020443;0.179647565;ZTF;ZTF(zr);ZTF
58346.18625;20.9951897;0.177025676;ZTF;ZTF(zr);ZTF
58346.18625;20.9951897;0.177805901;ZTF;ZTF(zr);ZTF
58347.3593519;20.0147247;0.145791367;ZTF;ZTF(zi);ZTF
58347.3593519;20.0147247;0.145829827;ZTF;ZTF(zi);ZTF
58349.2521528;21.050293;0.181824565;ZTF;ZTF(zr);ZTF
58349.2521528;21.050293;0.181016326;ZTF;ZTF(zr);ZTF
58350.1918171;20.5932369;0.148491502;ZTF;ZTF(zr);ZTF
58350.1918171;20.5932369;0.147916436;ZTF;ZTF(zr);ZTF
58351.166713;20.5599251;0.145503998;ZTF;ZTF(zr);ZTF
58351.166713;20.5599251;0.146062016;ZTF;ZTF(zr);ZTF
58353.1673148;20.6098366;0.149702072;ZTF;ZTF(zr);ZTF
58353.1673148;20.6098366;0.149118662;ZTF;ZTF(zr);ZTF
58353.2706829;20.5619431;0.145650148;ZTF;ZTF(zr);ZTF
58353.2706829;20.5619431;0.14620924;ZTF;ZTF(zr);ZTF
58353.2734491;20.6744022;0.153794408;ZTF;ZTF(zr);ZTF
58353.2734491;20.6744022;0.154410839;ZTF;ZTF(zr);ZTF
58354.1895602;20.3183498;0.124831721;ZTF;ZTF(zr);ZTF
58354.1895602;20.3183498;0.125165164;ZTF;ZTF(zr);ZTF
58358.2292361;20.9480991;0.173615456;ZTF;ZTF(zr);ZTF
58358.2292361;20.9480991;0.1743716;ZTF;ZTF(zr);ZTF
58359.2282986;20.8918743;0.170271039;ZTF;ZTF(zr);ZTF
58359.2282986;20.8918743;0.169543624;ZTF;ZTF(zr);ZTF
58360.2702894;20.8995705;0.170832396;ZTF;ZTF(zr);ZTF
58360.2702894;20.8995705;0.170101047;ZTF;ZTF(zr);ZTF
58361.2557292;20.7528458;0.159475327;ZTF;ZTF(zr);ZTF
