MJD;Magnitude;Error;Facility;Filter;Observer
53579.78057;16.57;0.13;CRTS;CRTS(CL);CRTS
53579.79245;16.57;0.13;CRTS;CRTS(CL);CRTS
53579.80481;16.55;0.13;CRTS;CRTS(CL);CRTS
53579.81725;16.62;0.13;CRTS;CRTS(CL);CRTS
53645.67515;16.6;0.15;CRTS;CRTS(CL);CRTS
53645.68471;16.56;0.15;CRTS;CRTS(CL);CRTS
53645.69428;16.58;0.15;CRTS;CRTS(CL);CRTS
53645.70398;16.64;0.16;CRTS;CRTS(CL);CRTS
53667.6254;16.64;0.13;CRTS;CRTS(CL);CRTS
53667.63412;16.62;0.12;CRTS;CRTS(CL);CRTS
53667.64344;16.72;0.13;CRTS;CRTS(CL);CRTS
53667.65212;16.56;0.12;CRTS;CRTS(CL);CRTS
53673.29732;16.49;0.07;CRTS;CRTS(CL);CRTS
53673.30291;16.41;0.07;CRTS;CRTS(CL);CRTS
53673.3085;16.52;0.08;CRTS;CRTS(CL);CRTS
53673.31409;16.44;0.07;CRTS;CRTS(CL);CRTS
53680.24755;16.44;0.07;CRTS;CRTS(CL);CRTS
53680.25241;16.45;0.07;CRTS;CRTS(CL);CRTS
53680.25731;16.39;0.07;CRTS;CRTS(CL);CRTS
53680.26215;16.34;0.07;CRTS;CRTS(CL);CRTS
53709.57793;16.54;0.13;CRTS;CRTS(CL);CRTS
53709.58816;16.67;0.14;CRTS;CRTS(CL);CRTS
53709.59839;16.5;0.13;CRTS;CRTS(CL);CRTS
53709.60858;16.63;0.14;CRTS;CRTS(CL);CRTS
53730.49634;16.51;0.13;CRTS;CRTS(CL);CRTS
53730.50572;16.55;0.13;CRTS;CRTS(CL);CRTS
53730.51507;16.67;0.14;CRTS;CRTS(CL);CRTS
53730.52448;16.51;0.14;CRTS;CRTS(CL);CRTS
53953.72708;16.54;0.13;CRTS;CRTS(CL);CRTS
53953.73393;16.56;0.13;CRTS;CRTS(CL);CRTS
53953.7408;16.63;0.14;CRTS;CRTS(CL);CRTS
53953.7479;16.57;0.13;CRTS;CRTS(CL);CRTS
54001.67112;16.46;0.13;CRTS;CRTS(CL);CRTS
54001.67385;16.52;0.13;CRTS;CRTS(CL);CRTS
54001.67652;16.52;0.13;CRTS;CRTS(CL);CRTS
