MJD;Magnitude;Error;Facility;Filter;Observer
51459.31776801;18.581388;0.014353347;SDSS;SDSS(r);SDSS
51459.31859728;18.259903;0.017222572;SDSS;SDSS(i);SDSS
51459.3194265401;20.715925;0.073214814;SDSS;SDSS(u);SDSS
51459.32025581;18.039936;0.03484451;SDSS;SDSS(z);SDSS
51459.32108507;19.206202;0.015646882;SDSS;SDSS(g);SDSS
53627.32478;18.39;0.15;CRTS;CRTS(CL);CRTS
53627.3599;18.09;0.12;CRTS;CRTS(CL);CRTS
53627.36648;18.07;0.12;CRTS;CRTS(CL);CRTS
53627.37303;18.06;0.12;CRTS;CRTS(CL);CRTS
53627.37967;18.15;0.12;CRTS;CRTS(CL);CRTS
53648.34869;18.23;0.13;CRTS;CRTS(CL);CRTS
53648.35795;18.39;0.14;CRTS;CRTS(CL);CRTS
53648.36719;18.28;0.13;CRTS;CRTS(CL);CRTS
53648.37643;18.25;0.13;CRTS;CRTS(CL);CRTS
53654.3336;18.09;0.12;CRTS;CRTS(CL);CRTS
53654.33896;18.09;0.12;CRTS;CRTS(CL);CRTS
53654.34427;18.08;0.12;CRTS;CRTS(CL);CRTS
53654.34963;18.06;0.12;CRTS;CRTS(CL);CRTS
53670.30799;18.18;0.12;CRTS;CRTS(CL);CRTS
53670.31653;18.08;0.12;CRTS;CRTS(CL);CRTS
53670.32529;18.12;0.12;CRTS;CRTS(CL);CRTS
53670.33385;18.29;0.13;CRTS;CRTS(CL);CRTS
53675.26958;18.32;0.13;CRTS;CRTS(CL);CRTS
53675.276;18.38;0.13;CRTS;CRTS(CL);CRTS
53675.28242;18.41;0.13;CRTS;CRTS(CL);CRTS
53675.28886;18.24;0.12;CRTS;CRTS(CL);CRTS
53704.2337;18.16;0.12;CRTS;CRTS(CL);CRTS
53704.24229;18.19;0.12;CRTS;CRTS(CL);CRTS
53704.25087;18.22;0.12;CRTS;CRTS(CL);CRTS
53704.25952;18.19;0.12;CRTS;CRTS(CL);CRTS
53710.18904;18.18;0.12;CRTS;CRTS(CL);CRTS
53710.19654;18.29;0.12;CRTS;CRTS(CL);CRTS
53710.20403;18.34;0.13;CRTS;CRTS(CL);CRTS
53710.2115;18.33;0.13;CRTS;CRTS(CL);CRTS
53729.15547;18.3;0.13;CRTS;CRTS(CL);CRTS
53729.16342;18.19;0.12;CRTS;CRTS(CL);CRTS
53729.17142;18.18;0.12;CRTS;CRTS(CL);CRTS
53729.17939;18.34;0.13;CRTS;CRTS(CL);CRTS
53996.3103;18.3;0.12;CRTS;CRTS(CL);CRTS
53996.31675;18.14;0.11;CRTS;CRTS(CL);CRTS
53996.3232;18.18;0.12;CRTS;CRTS(CL);CRTS
53996.32968;18.39;0.13;CRTS;CRTS(CL);CRTS
54004.38414;18.03;0.11;CRTS;CRTS(CL);CRTS
54004.39296;18.21;0.12;CRTS;CRTS(CL);CRTS
54004.40173;18.23;0.12;CRTS;CRTS(CL);CRTS
54004.41049;18.36;0.12;CRTS;CRTS(CL);CRTS
54024.26649;18.3;0.12;CRTS;CRTS(CL);CRTS
54024.27426;18.25;0.12;CRTS;CRTS(CL);CRTS
