MJD;Magnitude;Error;Facility;Filter;Observer
51661.31325667;20.647816;0.0334955;SDSS;SDSS(r);SDSS
51661.31408593;20.202282;0.03655251;SDSS;SDSS(i);SDSS
51661.3149152;22.55823;0.21692123;SDSS;SDSS(u);SDSS
51661.3157444599;19.888666;0.09176643;SDSS;SDSS(z);SDSS
51661.31657373;21.469715;0.04446514;SDSS;SDSS(g);SDSS
53880.43924;19.5;0.23;CRTS;CRTS(CL);CRTS
53880.45293;19.91;0.28;CRTS;CRTS(CL);CRTS
53880.45982;20.6;0.41;CRTS;CRTS(CL);CRTS
53884.33576;20.23;0.33;CRTS;CRTS(CL);CRTS
53884.37001;19.88;0.27;CRTS;CRTS(CL);CRTS
53884.37649;21.16;0.56;CRTS;CRTS(CL);CRTS
53884.38299;20.23;0.33;CRTS;CRTS(CL);CRTS
53884.38947;20.66;0.42;CRTS;CRTS(CL);CRTS
54001.12138;20.5;0.36;CRTS;CRTS(CL);CRTS
54001.13025;19.71;0.24;CRTS;CRTS(CL);CRTS
54001.13467;19.73;0.24;CRTS;CRTS(CL);CRTS
54158.40687;20.48;0.35;CRTS;CRTS(CL);CRTS
54158.4234;19.79;0.24;CRTS;CRTS(CL);CRTS
54210.44797;20.31;0.32;CRTS;CRTS(CL);CRTS
54210.45357;19.75;0.24;CRTS;CRTS(CL);CRTS
54210.45927;21.2;0.54;CRTS;CRTS(CL);CRTS
54210.46487;19.42;0.21;CRTS;CRTS(CL);CRTS
54238.37643;20.24;0.33;CRTS;CRTS(CL);CRTS
54274.2772;20.08;0.3;CRTS;CRTS(CL);CRTS
54865.47952;19.65;0.22;CRTS;CRTS(CL);CRTS
54865.48752;19.91;0.25;CRTS;CRTS(CL);CRTS
54893.43411;20.0;0.27;CRTS;CRTS(CL);CRTS
54893.44892;20.06;0.27;CRTS;CRTS(CL);CRTS
54893.45631;19.79;0.23;CRTS;CRTS(CL);CRTS
54913.36535;21.14;0.5;CRTS;CRTS(CL);CRTS
54913.37137;19.34;0.19;CRTS;CRTS(CL);CRTS
54913.37737;19.27;0.19;CRTS;CRTS(CL);CRTS
54913.38347;19.44;0.21;CRTS;CRTS(CL);CRTS
54968.36686;20.26;0.34;CRTS;CRTS(CL);CRTS
55006.34441;19.97;0.28;CRTS;CRTS(CL);CRTS
55006.34916;20.35;0.35;CRTS;CRTS(CL);CRTS
55009.25189;19.87;0.31;CRTS;CRTS(CL);CRTS
55009.26287;19.51;0.26;CRTS;CRTS(CL);CRTS
55204.3323665;16.422;0.313;ALLWISE;WISE(W1);ALLWISE
55204.4646712;16.227;0.275;ALLWISE;WISE(W1);ALLWISE
55204.6631918;16.471;0.319;ALLWISE;WISE(W1);ALLWISE
55204.7954964;17.0;0.472;ALLWISE;WISE(W1);ALLWISE
55204.8617125;16.895;0.444;ALLWISE;WISE(W1);ALLWISE
55204.9279285;16.705;0.363;ALLWISE;WISE(W1);ALLWISE
55204.9940171;16.613;0.326;ALLWISE;WISE(W1);ALLWISE
55205.2587538;16.494;0.293;ALLWISE;WISE(W1);ALLWISE
55205.3910585;16.933;0.422;ALLWISE;WISE(W1);ALLWISE
55305.29421;20.53;0.51;CRTS;CRTS(CL);CRTS
55327.40821;19.73;0.24;CRTS;CRTS(CL);CRTS
55327.41985;20.15;0.3;CRTS;CRTS(CL);CRTS
55362.22437;20.38;0.34;CRTS;CRTS(CL);CRTS
55362.23122;20.19;0.3;CRTS;CRTS(CL);CRTS
55362.23808;19.65;0.23;CRTS;CRTS(CL);CRTS
55362.24496;19.74;0.24;CRTS;CRTS(CL);CRTS
55367.32162;20.16;0.3;CRTS;CRTS(CL);CRTS
55367.32679;20.68;0.4;CRTS;CRTS(CL);CRTS
55367.33199;20.09;0.29;CRTS;CRTS(CL);CRTS
55367.33718;19.91;0.27;CRTS;CRTS(CL);CRTS
55377.9908848;16.545;0.32;ALLWISE;WISE(W1);ALLWISE
55377.9910121;16.514;0.312;ALLWISE;WISE(W1);ALLWISE
55378.0571004;16.895;0.419;ALLWISE;WISE(W1);ALLWISE
55378.189404;16.627;0.381;ALLWISE;WISE(W1);ALLWISE
