MJD;Magnitude;Error;Facility;Filter;Observer
53583.70849;16.24;0.13;CRTS;CRTS(CL);CRTS
53583.71554;16.31;0.13;CRTS;CRTS(CL);CRTS
53583.7226;16.25;0.12;CRTS;CRTS(CL);CRTS
53583.72952;16.22;0.12;CRTS;CRTS(CL);CRTS
53608.65259;16.36;0.13;CRTS;CRTS(CL);CRTS
53608.66427;16.32;0.13;CRTS;CRTS(CL);CRTS
53608.67596;16.29;0.12;CRTS;CRTS(CL);CRTS
53608.68763;16.21;0.12;CRTS;CRTS(CL);CRTS
53625.56619;16.35;0.1;CRTS;CRTS(CL);CRTS
53627.48841;16.39;0.1;CRTS;CRTS(CL);CRTS
53627.49634;16.27;0.09;CRTS;CRTS(CL);CRTS
53627.50429;16.43;0.1;CRTS;CRTS(CL);CRTS
53627.51225;16.39;0.1;CRTS;CRTS(CL);CRTS
53648.30947;16.27;0.07;CRTS;CRTS(CL);CRTS
53648.31686;16.22;0.07;CRTS;CRTS(CL);CRTS
53648.32425;16.23;0.07;CRTS;CRTS(CL);CRTS
53648.33165;16.3;0.07;CRTS;CRTS(CL);CRTS
53667.20701;16.25;0.07;CRTS;CRTS(CL);CRTS
53667.21685;16.25;0.07;CRTS;CRTS(CL);CRTS
53667.22637;16.29;0.07;CRTS;CRTS(CL);CRTS
53667.23591;16.23;0.07;CRTS;CRTS(CL);CRTS
53673.19944;16.29;0.07;CRTS;CRTS(CL);CRTS
53673.20501;16.31;0.07;CRTS;CRTS(CL);CRTS
53673.21036;16.31;0.07;CRTS;CRTS(CL);CRTS
53673.21572;16.3;0.07;CRTS;CRTS(CL);CRTS
53680.15741;16.26;0.07;CRTS;CRTS(CL);CRTS
53680.16495;16.24;0.07;CRTS;CRTS(CL);CRTS
53680.17249;16.28;0.07;CRTS;CRTS(CL);CRTS
53680.18;16.27;0.07;CRTS;CRTS(CL);CRTS
53705.17671;16.27;0.07;CRTS;CRTS(CL);CRTS
53705.18477;16.26;0.07;CRTS;CRTS(CL);CRTS
53705.19281;16.32;0.07;CRTS;CRTS(CL);CRTS
53705.20086;16.29;0.07;CRTS;CRTS(CL);CRTS
53712.08889;16.27;0.07;CRTS;CRTS(CL);CRTS
53712.09418;16.31;0.07;CRTS;CRTS(CL);CRTS
53712.09952;16.26;0.07;CRTS;CRTS(CL);CRTS
53712.10482;16.29;0.07;CRTS;CRTS(CL);CRTS
53735.46738;16.29;0.12;CRTS;CRTS(CL);CRTS
53735.47247;16.32;0.12;CRTS;CRTS(CL);CRTS
53735.47755;16.42;0.13;CRTS;CRTS(CL);CRTS
53735.48262;16.2;0.12;CRTS;CRTS(CL);CRTS
53880.77878;16.32;0.12;CRTS;CRTS(CL);CRTS
53880.78535;16.2;0.13;CRTS;CRTS(CL);CRTS
53880.7919;16.41;0.11;CRTS;CRTS(CL);CRTS
53880.79849;16.19;0.1;CRTS;CRTS(CL);CRTS
53947.61871;16.27;0.1;CRTS;CRTS(CL);CRTS
53947.63098;16.35;0.1;CRTS;CRTS(CL);CRTS
53947.64327;16.25;0.1;CRTS;CRTS(CL);CRTS
53947.65555;16.38;0.1;CRTS;CRTS(CL);CRTS
53998.29766;16.23;0.07;CRTS;CRTS(CL);CRTS
53998.30473;16.3;0.07;CRTS;CRTS(CL);CRTS
53998.31175;16.24;0.07;CRTS;CRTS(CL);CRTS
53998.31884;16.27;0.07;CRTS;CRTS(CL);CRTS
54004.31941;16.25;0.07;CRTS;CRTS(CL);CRTS
54004.32681;16.3;0.07;CRTS;CRTS(CL);CRTS
54004.33421;16.31;0.07;CRTS;CRTS(CL);CRTS
54004.34161;16.25;0.07;CRTS;CRTS(CL);CRTS
54039.20698;16.33;0.07;CRTS;CRTS(CL);CRTS
54039.21345;16.29;0.07;CRTS;CRTS(CL);CRTS
54039.21992;16.29;0.07;CRTS;CRTS(CL);CRTS
54039.22637;16.26;0.07;CRTS;CRTS(CL);CRTS
54058.18056;16.26;0.07;CRTS;CRTS(CL);CRTS
54058.18707;16.25;0.07;CRTS;CRTS(CL);CRTS
54058.19361;16.25;0.07;CRTS;CRTS(CL);CRTS
54058.20016;16.24;0.07;CRTS;CRTS(CL);CRTS
54066.15967;16.3;0.07;CRTS;CRTS(CL);CRTS
54066.16968;16.23;0.07;CRTS;CRTS(CL);CRTS
54066.1797;16.26;0.07;CRTS;CRTS(CL);CRTS
54066.20914;16.3;0.07;CRTS;CRTS(CL);CRTS
54093.12055;16.25;0.07;CRTS;CRTS(CL);CRTS
54093.12695;16.33;0.07;CRTS;CRTS(CL);CRTS
