MJD;Magnitude;Error;Facility;Filter;Observer
54771.29422502;18.75229;0.08947632;SDSS;SDSS(r);SDSS
54771.2950542901;18.420298;0.10031621;SDSS;SDSS(i);SDSS
54771.29588355;20.900745;0.116664715;SDSS;SDSS(u);SDSS
54771.29671282;18.152779;0.12109469;SDSS;SDSS(z);SDSS
54771.29754208;19.364897;0.07510974;SDSS;SDSS(g);SDSS
55828.4043904;18.537;0.003146;PS1;PS1(r);PS1
55854.7918618;18.1415;0.005072;PS1;PS1(z);PS1
56014.4619383;19.084;0.00597;PS1;PS1(g);PS1
56040.7877507;18.3065;0.003577;PS1;PS1(i);PS1
57248.46505;16.814;0.03;ATLAS;ATLAS(c);ATLAS
57248.472666;16.855;0.031;ATLAS;ATLAS(c);ATLAS
57248.511867;16.936;0.534;ATLAS;ATLAS(c);ATLAS
57250.472944;16.688;0.15;ATLAS;ATLAS(c);ATLAS
57250.54731;16.173;0.381;ATLAS;ATLAS(c);ATLAS
57275.266452;16.819;0.037;ATLAS;ATLAS(c);ATLAS
57275.273823;16.835;0.037;ATLAS;ATLAS(c);ATLAS
57275.278449;16.731;0.035;ATLAS;ATLAS(c);ATLAS
57275.281888;16.841;0.038;ATLAS;ATLAS(c);ATLAS
57275.292367;16.782;0.031;ATLAS;ATLAS(c);ATLAS
57277.394726;16.78;0.028;ATLAS;ATLAS(c);ATLAS
57277.399745;16.776;0.029;ATLAS;ATLAS(c);ATLAS
57277.423465;16.824;0.028;ATLAS;ATLAS(c);ATLAS
57277.424201;16.821;0.031;ATLAS;ATLAS(c);ATLAS
57277.439844;16.891;0.03;ATLAS;ATLAS(c);ATLAS
57313.356172;16.775;0.034;ATLAS;ATLAS(c);ATLAS
57313.387444;16.614;0.03;ATLAS;ATLAS(c);ATLAS
57313.405782;16.759;0.03;ATLAS;ATLAS(c);ATLAS
57313.435492;16.71;0.027;ATLAS;ATLAS(c);ATLAS
57322.372774;16.052;0.058;ATLAS;ATLAS(o);ATLAS
57322.400696;16.086;0.062;ATLAS;ATLAS(o);ATLAS
57322.421884;16.227;0.067;ATLAS;ATLAS(o);ATLAS
57322.446853;16.087;0.059;ATLAS;ATLAS(o);ATLAS
57323.353703;15.991;0.044;ATLAS;ATLAS(o);ATLAS
57323.38364;16.188;0.051;ATLAS;ATLAS(o);ATLAS
57323.4144;16.337;0.052;ATLAS;ATLAS(o);ATLAS
57323.444429;16.202;0.047;ATLAS;ATLAS(o);ATLAS
57326.339523;16.22;0.034;ATLAS;ATLAS(o);ATLAS
57330.32713;15.903;0.024;ATLAS;ATLAS(o);ATLAS
57330.352864;15.963;0.025;ATLAS;ATLAS(o);ATLAS
57330.383434;16.097;0.025;ATLAS;ATLAS(o);ATLAS
57334.335838;16.719;0.028;ATLAS;ATLAS(c);ATLAS
57334.365677;16.785;0.032;ATLAS;ATLAS(c);ATLAS
57334.396763;16.908;0.029;ATLAS;ATLAS(c);ATLAS
57334.428067;16.9;0.035;ATLAS;ATLAS(c);ATLAS
57341.31161;16.859;0.034;ATLAS;ATLAS(c);ATLAS
57341.33291;16.851;0.03;ATLAS;ATLAS(c);ATLAS
57341.358344;16.875;0.031;ATLAS;ATLAS(c);ATLAS
57341.382904;16.87;0.032;ATLAS;ATLAS(c);ATLAS
57342.307226;16.913;0.032;ATLAS;ATLAS(c);ATLAS
57342.325602;16.973;0.035;ATLAS;ATLAS(c);ATLAS
57342.355795;17.002;0.031;ATLAS;ATLAS(c);ATLAS
57342.382758;16.946;0.03;ATLAS;ATLAS(c);ATLAS
57343.294935;16.915;0.037;ATLAS;ATLAS(c);ATLAS
57343.316773;16.908;0.036;ATLAS;ATLAS(c);ATLAS
57343.34454;16.875;0.031;ATLAS;ATLAS(c);ATLAS
57343.370159;16.954;0.031;ATLAS;ATLAS(c);ATLAS
57366.256506;16.431;0.035;ATLAS;ATLAS(o);ATLAS
57366.265073;16.24;0.027;ATLAS;ATLAS(o);ATLAS
57366.276124;16.235;0.035;ATLAS;ATLAS(o);ATLAS
57366.289787;16.376;0.032;ATLAS;ATLAS(o);ATLAS
57392.290389;16.616;0.033;ATLAS;ATLAS(c);ATLAS
57400.220555;16.926;0.044;ATLAS;ATLAS(c);ATLAS
57400.253342;16.742;0.044;ATLAS;ATLAS(c);ATLAS
57400.271094;16.937;0.043;ATLAS;ATLAS(c);ATLAS
57401.219132;16.894;0.041;ATLAS;ATLAS(c);ATLAS
57401.233518;16.926;0.043;ATLAS;ATLAS(c);ATLAS
57401.249835;16.908;0.048;ATLAS;ATLAS(c);ATLAS
57401.267413;16.902;0.043;ATLAS;ATLAS(c);ATLAS
57574.607856;17.034;0.03;ATLAS;ATLAS(c);ATLAS
