MJD;Magnitude;Error;Facility;Filter;Observer
52639.4711713;13.985;0.007;LINEAR;LINEAR(CL);LINEAR
52639.4860852;14.004;0.008;LINEAR;LINEAR(CL);LINEAR
52639.5009045;13.986;0.007;LINEAR;LINEAR(CL);LINEAR
52639.5169959;13.975;0.007;LINEAR;LINEAR(CL);LINEAR
52643.4295269;13.982;0.008;LINEAR;LINEAR(CL);LINEAR
52643.4458341;14.006;0.007;LINEAR;LINEAR(CL);LINEAR
52643.4621551;13.985;0.007;LINEAR;LINEAR(CL);LINEAR
52643.4784469;13.983;0.007;LINEAR;LINEAR(CL);LINEAR
52649.4649131;13.985;0.006;LINEAR;LINEAR(CL);LINEAR
52649.4821019;13.991;0.006;LINEAR;LINEAR(CL);LINEAR
52649.496725;13.988;0.006;LINEAR;LINEAR(CL);LINEAR
52649.5110019;14.005;0.006;LINEAR;LINEAR(CL);LINEAR
52649.5253824;13.989;0.006;LINEAR;LINEAR(CL);LINEAR
52666.3876803;13.99;0.006;LINEAR;LINEAR(CL);LINEAR
52666.402873;13.982;0.006;LINEAR;LINEAR(CL);LINEAR
52666.4179893;13.99;0.006;LINEAR;LINEAR(CL);LINEAR
52666.4332609;13.972;0.006;LINEAR;LINEAR(CL);LINEAR
52666.4483241;13.989;0.006;LINEAR;LINEAR(CL);LINEAR
52667.46673976;17.12077;0.016384492;SDSS;SDSS(r);SDSS
52667.46673976;17.112555;0.016372167;SDSS;SDSS(r);SDSS
52667.46673976;17.112778;0.016346963;SDSS;SDSS(r);SDSS
52667.4671544;17.056076;0.02050814;SDSS;SDSS(r);SDSS
52667.4671544;17.05238;0.020480795;SDSS;SDSS(r);SDSS
52667.4671544;17.051975;0.020498548;SDSS;SDSS(r);SDSS
52667.46756903;16.6582;0.01852351;SDSS;SDSS(i);SDSS
52667.46756903;16.660381;0.018528571;SDSS;SDSS(i);SDSS
52667.46756903;16.658873;0.018518038;SDSS;SDSS(i);SDSS
52667.46798366;16.696617;0.02169273;SDSS;SDSS(i);SDSS
52667.46798366;16.695429;0.021724336;SDSS;SDSS(i);SDSS
52667.46798366;16.698277;0.02171488;SDSS;SDSS(i);SDSS
52667.46798366;16.695429;0.021697026;SDSS;SDSS(i);SDSS
52667.46839829;19.334278;0.04059191;SDSS;SDSS(u);SDSS
52667.46839829;19.06136;0.0338114;SDSS;SDSS(u);SDSS
52667.46839829;19.062616;0.03383054;SDSS;SDSS(u);SDSS
52667.46881293;19.286787;0.02649401;SDSS;SDSS(u);SDSS
52667.46881293;19.327255;0.029676497;SDSS;SDSS(u);SDSS
52667.46881293;18.583662;0.026297329;SDSS;SDSS(u);SDSS
52667.46881293;18.582726;0.027542083;SDSS;SDSS(u);SDSS
52667.46922756;16.307934;0.023800282;SDSS;SDSS(z);SDSS
52667.46922756;16.31053;0.023799427;SDSS;SDSS(z);SDSS
52667.46922756;16.307957;0.023799233;SDSS;SDSS(z);SDSS
52667.4696421901;16.06596;0.023985527;SDSS;SDSS(z);SDSS
52667.4696421901;16.065971;0.023734424;SDSS;SDSS(z);SDSS
52667.4696421901;16.303457;0.023749549;SDSS;SDSS(z);SDSS
52667.4696421901;16.306156;0.023769671;SDSS;SDSS(z);SDSS
52667.47005682;17.826109;0.029579032;SDSS;SDSS(g);SDSS
52667.47005682;17.826904;0.029577406;SDSS;SDSS(g);SDSS
52667.47005682;17.852491;0.029675642;SDSS;SDSS(g);SDSS
52667.47047146;17.809757;0.037579376;SDSS;SDSS(g);SDSS
52667.47047146;17.815823;0.037612658;SDSS;SDSS(g);SDSS
52667.47047146;17.810787;0.037577964;SDSS;SDSS(g);SDSS
52670.4241387;13.944;0.008;LINEAR;LINEAR(CL);LINEAR
52670.4388025;13.975;0.008;LINEAR;LINEAR(CL);LINEAR
52670.4533967;13.978;0.008;LINEAR;LINEAR(CL);LINEAR
52670.4826085;13.966;0.008;LINEAR;LINEAR(CL);LINEAR
52676.2915719;14.004;0.007;LINEAR;LINEAR(CL);LINEAR
52676.3069913;14.027;0.007;LINEAR;LINEAR(CL);LINEAR
52676.3225396;13.998;0.007;LINEAR;LINEAR(CL);LINEAR
52676.3381838;13.99;0.007;LINEAR;LINEAR(CL);LINEAR
52676.3538465;13.976;0.007;LINEAR;LINEAR(CL);LINEAR
52698.3066319;13.973;0.006;LINEAR;LINEAR(CL);LINEAR
52698.3203438;13.988;0.006;LINEAR;LINEAR(CL);LINEAR
52698.3350176;13.981;0.006;LINEAR;LINEAR(CL);LINEAR
52698.3498719;13.972;0.006;LINEAR;LINEAR(CL);LINEAR
52698.3639878;13.979;0.006;LINEAR;LINEAR(CL);LINEAR
52701.308658;14.044;0.007;LINEAR;LINEAR(CL);LINEAR
52701.3087749;13.981;0.008;LINEAR;LINEAR(CL);LINEAR
52701.321919;14.042;0.013;LINEAR;LINEAR(CL);LINEAR
52701.3220344;13.985;0.008;LINEAR;LINEAR(CL);LINEAR
52701.3480451;14.039;0.007;LINEAR;LINEAR(CL);LINEAR
52701.34816;13.992;0.008;LINEAR;LINEAR(CL);LINEAR
