MJD;Magnitude;Error;Facility;Filter;Observer
53554.43043;19.51;0.25;CRTS;CRTS(CL);CRTS
53554.44365;19.72;0.27;CRTS;CRTS(CL);CRTS
53637.27375;19.74;0.28;CRTS;CRTS(CL);CRTS
53638.20825636;20.247032;0.026522683;SDSS;SDSS(r);SDSS
53638.20908562;19.908464;0.027958302;SDSS;SDSS(i);SDSS
53638.20991489;22.453672;0.26265144;SDSS;SDSS(u);SDSS
53638.21074415;19.535099;0.066322014;SDSS;SDSS(z);SDSS
53638.21157342;21.025469;0.039436184;SDSS;SDSS(g);SDSS
53644.20697;19.77;0.28;CRTS;CRTS(CL);CRTS
53644.22121;19.3;0.22;CRTS;CRTS(CL);CRTS
53644.2283;19.89;0.3;CRTS;CRTS(CL);CRTS
53650.21986;19.31;0.23;CRTS;CRTS(CL);CRTS
53650.22803;19.3;0.23;CRTS;CRTS(CL);CRTS
53670.22548;19.82;0.28;CRTS;CRTS(CL);CRTS
53706.21428;19.36;0.22;CRTS;CRTS(CL);CRTS
53706.22455;19.29;0.22;CRTS;CRTS(CL);CRTS
53706.23516;19.27;0.22;CRTS;CRTS(CL);CRTS
53726.12957;18.91;0.18;CRTS;CRTS(CL);CRTS
53726.13758;19.82;0.28;CRTS;CRTS(CL);CRTS
53726.1535;19.63;0.25;CRTS;CRTS(CL);CRTS
53742.09638;18.89;0.17;CRTS;CRTS(CL);CRTS
53742.11236;19.28;0.21;CRTS;CRTS(CL);CRTS
53976.28125;19.54;0.23;CRTS;CRTS(CL);CRTS
53976.3033;19.42;0.21;CRTS;CRTS(CL);CRTS
53995.31859;19.8;0.26;CRTS;CRTS(CL);CRTS
53995.33067;19.72;0.24;CRTS;CRTS(CL);CRTS
53995.34281;19.58;0.23;CRTS;CRTS(CL);CRTS
53995.35497;19.57;0.23;CRTS;CRTS(CL);CRTS
53997.23841798;20.097263;0.031140886;SDSS;SDSS(r);SDSS
53997.23924725;19.744738;0.028952386;SDSS;SDSS(i);SDSS
53997.24007651;22.192415;0.26660234;SDSS;SDSS(u);SDSS
