MJD;Magnitude;Error;Facility;Filter;Observer
53505.45331;16.28;0.07;CRTS;CRTS(CL);CRTS
53505.45866;16.44;0.07;CRTS;CRTS(CL);CRTS
53505.46403;16.49;0.07;CRTS;CRTS(CL);CRTS
53505.46939;16.36;0.07;CRTS;CRTS(CL);CRTS
53551.41107;16.36;0.07;CRTS;CRTS(CL);CRTS
53551.41862;16.39;0.07;CRTS;CRTS(CL);CRTS
53551.42616;16.36;0.07;CRTS;CRTS(CL);CRTS
53551.43372;16.41;0.07;CRTS;CRTS(CL);CRTS
53562.30865;16.52;0.07;CRTS;CRTS(CL);CRTS
53562.31673;16.45;0.07;CRTS;CRTS(CL);CRTS
53562.32488;16.51;0.07;CRTS;CRTS(CL);CRTS
53562.333;16.52;0.07;CRTS;CRTS(CL);CRTS
53563.38221;16.36;0.07;CRTS;CRTS(CL);CRTS
53563.38866;16.43;0.07;CRTS;CRTS(CL);CRTS
53563.39516;16.44;0.07;CRTS;CRTS(CL);CRTS
53563.40159;16.38;0.07;CRTS;CRTS(CL);CRTS
53637.18194;16.36;0.07;CRTS;CRTS(CL);CRTS
53637.18945;16.4;0.07;CRTS;CRTS(CL);CRTS
53637.19696;16.47;0.07;CRTS;CRTS(CL);CRTS
53637.20449;16.46;0.07;CRTS;CRTS(CL);CRTS
53643.12503;16.54;0.08;CRTS;CRTS(CL);CRTS
53643.1314;16.47;0.07;CRTS;CRTS(CL);CRTS
53643.13777;16.35;0.07;CRTS;CRTS(CL);CRTS
53643.14414;16.42;0.07;CRTS;CRTS(CL);CRTS
53648.1332;16.45;0.08;CRTS;CRTS(CL);CRTS
53648.1554;16.43;0.07;CRTS;CRTS(CL);CRTS
53648.1614;16.45;0.08;CRTS;CRTS(CL);CRTS
53648.1674;16.46;0.08;CRTS;CRTS(CL);CRTS
53648.17342;16.48;0.08;CRTS;CRTS(CL);CRTS
53670.12116;16.5;0.07;CRTS;CRTS(CL);CRTS
53670.12749;16.5;0.07;CRTS;CRTS(CL);CRTS
53670.13384;16.42;0.07;CRTS;CRTS(CL);CRTS
