MJD;Magnitude;Error;Facility;Filter;Observer
51646.226900000125;14.559;0.08;2MASS;2MASS(K);2MASS
51646.226900000125;14.983;0.104;2MASS;2MASS(H);2MASS
51646.226900000125;15.662;0.077;2MASS;2MASS(J);2MASS
52650.4305935;16.635;0.059;LINEAR;LINEAR(CL);LINEAR
52650.4446266;16.571;0.055;LINEAR;LINEAR(CL);LINEAR
52650.4585866;16.595;0.054;LINEAR;LINEAR(CL);LINEAR
52650.4726706;16.577;0.052;LINEAR;LINEAR(CL);LINEAR
52650.4866257;16.616;0.054;LINEAR;LINEAR(CL);LINEAR
52666.4616832;16.577;0.059;LINEAR;LINEAR(CL);LINEAR
52666.4761366;16.632;0.059;LINEAR;LINEAR(CL);LINEAR
52666.4906013;16.615;0.054;LINEAR;LINEAR(CL);LINEAR
52666.5051256;16.637;0.055;LINEAR;LINEAR(CL);LINEAR
52666.5195963;16.614;0.057;LINEAR;LINEAR(CL);LINEAR
52697.4118563;16.413;0.08;LINEAR;LINEAR(CL);LINEAR
52697.4436376;16.388;0.085;LINEAR;LINEAR(CL);LINEAR
52706.3667564;16.581;0.05;LINEAR;LINEAR(CL);LINEAR
52706.3796364;16.566;0.05;LINEAR;LINEAR(CL);LINEAR
52706.3926117;16.584;0.052;LINEAR;LINEAR(CL);LINEAR
52706.4057382;16.631;0.055;LINEAR;LINEAR(CL);LINEAR
52706.4187553;16.554;0.052;LINEAR;LINEAR(CL);LINEAR
52712.3150737;16.635;0.096;LINEAR;LINEAR(CL);LINEAR
52712.3279764;16.609;0.113;LINEAR;LINEAR(CL);LINEAR
52712.3409537;16.659;0.081;LINEAR;LINEAR(CL);LINEAR
52712.3538902;16.646;0.081;LINEAR;LINEAR(CL);LINEAR
52712.3670486;16.662;0.08;LINEAR;LINEAR(CL);LINEAR
52724.3103411;16.542;0.053;LINEAR;LINEAR(CL);LINEAR
52724.3109437;16.46;0.066;LINEAR;LINEAR(CL);LINEAR
52724.323034;16.612;0.058;LINEAR;LINEAR(CL);LINEAR
52724.3236351;16.399;0.069;LINEAR;LINEAR(CL);LINEAR
52724.3356306;16.544;0.054;LINEAR;LINEAR(CL);LINEAR
52724.3479117;16.564;0.056;LINEAR;LINEAR(CL);LINEAR
52724.3600778;16.588;0.058;LINEAR;LINEAR(CL);LINEAR
52724.3606804;16.524;0.074;LINEAR;LINEAR(CL);LINEAR
52739.2980685;16.638;0.063;LINEAR;LINEAR(CL);LINEAR
52739.3097425;16.62;0.061;LINEAR;LINEAR(CL);LINEAR
52739.3215846;16.603;0.055;LINEAR;LINEAR(CL);LINEAR
52739.3332992;16.591;0.057;LINEAR;LINEAR(CL);LINEAR
