MJD;Magnitude;Error;Facility;Filter;Observer
53500.14398574;18.32571;0.13659039;SDSS;SDSS(r);SDSS
53500.14398574;18.320194;0.015972698;SDSS;SDSS(r);SDSS
53500.14481501;17.983925;0.016288353;SDSS;SDSS(i);SDSS
53500.14481501;17.989798;0.10649599;SDSS;SDSS(i);SDSS
53500.14564427;21.090733;1.0993563;SDSS;SDSS(u);SDSS
53500.14564427;20.974411;0.07267415;SDSS;SDSS(u);SDSS
53500.14647354;17.659576;0.022185685;SDSS;SDSS(z);SDSS
53500.14647354;17.677778;0.022933237;SDSS;SDSS(z);SDSS
53500.1473028;19.005775;0.02604403;SDSS;SDSS(g);SDSS
53500.1473028;19.023474;0.5175961;SDSS;SDSS(g);SDSS
53510.17564;17.29;0.06;CRTS;CRTS(CL);CRTS
53510.17564;17.29;0.02;CRTS;CRTS(CL);CRTS
53510.18155;17.37;0.06;CRTS;CRTS(CL);CRTS
53510.18155;17.37;0.02;CRTS;CRTS(CL);CRTS
53510.18748;17.38;0.02;CRTS;CRTS(CL);CRTS
53510.18748;17.38;0.06;CRTS;CRTS(CL);CRTS
53510.19344;17.27;0.02;CRTS;CRTS(CL);CRTS
53510.19344;17.27;0.06;CRTS;CRTS(CL);CRTS
53684.48669601;18.008343;0.017980495;SDSS;SDSS(r);SDSS
53684.48669601;17.999573;0.017086985;SDSS;SDSS(r);SDSS
53684.48752527;17.767351;0.021048013;SDSS;SDSS(i);SDSS
53684.48752527;17.770178;0.021468425;SDSS;SDSS(i);SDSS
53684.4883545401;20.55781;0.06354944;SDSS;SDSS(u);SDSS
53684.4883545401;20.498829;0.07176439;SDSS;SDSS(u);SDSS
53684.4891838;17.451046;0.021466237;SDSS;SDSS(z);SDSS
53684.4891838;17.456255;0.02218776;SDSS;SDSS(z);SDSS
53684.49001307;18.857964;0.019730244;SDSS;SDSS(g);SDSS
53684.49001307;18.842936;0.01860439;SDSS;SDSS(g);SDSS
53703.50294;17.27;0.02;CRTS;CRTS(CL);CRTS
53703.50294;17.27;0.06;CRTS;CRTS(CL);CRTS
53703.508;17.3;0.02;CRTS;CRTS(CL);CRTS
53703.508;17.3;0.06;CRTS;CRTS(CL);CRTS
53703.51314;17.27;0.02;CRTS;CRTS(CL);CRTS
53703.51314;17.27;0.06;CRTS;CRTS(CL);CRTS
53703.51827;17.28;0.02;CRTS;CRTS(CL);CRTS
53703.51827;17.28;0.06;CRTS;CRTS(CL);CRTS
53731.45787;17.32;0.02;CRTS;CRTS(CL);CRTS
53731.45787;17.32;0.06;CRTS;CRTS(CL);CRTS
53731.47883;17.32;0.06;CRTS;CRTS(CL);CRTS
53731.47883;17.32;0.02;CRTS;CRTS(CL);CRTS
53741.39392;17.26;0.02;CRTS;CRTS(CL);CRTS
53741.39392;17.26;0.06;CRTS;CRTS(CL);CRTS
53741.39964;17.26;0.02;CRTS;CRTS(CL);CRTS
