MJD;Magnitude;Error;Facility;Filter;Observer
51688.40519999992;14.808;0.12;2MASS;2MASS(K);2MASS
51688.40519999992;15.573;0.149;2MASS;2MASS(H);2MASS
51688.40519999992;15.961;0.097;2MASS;2MASS(J);2MASS
53291.13417838;18.145107;0.01369814;SDSS;SDSS(r);SDSS
53291.13417838;18.137823;0.009692913;SDSS;SDSS(r);SDSS
53291.13500765;17.7762;0.019842533;SDSS;SDSS(i);SDSS
53291.13500765;17.784353;0.015930248;SDSS;SDSS(i);SDSS
53291.13583691;20.017092;0.04140107;SDSS;SDSS(u);SDSS
53291.13583691;20.031006;0.043471668;SDSS;SDSS(u);SDSS
53291.13666618;17.467613;0.022814756;SDSS;SDSS(z);SDSS
53291.13666618;17.455854;0.020088438;SDSS;SDSS(z);SDSS
53291.13749544;18.930273;0.017510168;SDSS;SDSS(g);SDSS
53291.13749544;18.926086;0.01979009;SDSS;SDSS(g);SDSS
55121.18509596;18.181736;0.011367608;SDSS;SDSS(r);SDSS
55121.18509596;18.18767;0.0120191295;SDSS;SDSS(r);SDSS
55121.18592522;17.82485;0.00975009;SDSS;SDSS(i);SDSS
55121.18592522;17.831808;0.010587995;SDSS;SDSS(i);SDSS
55121.1867544901;19.89295;0.038037095;SDSS;SDSS(u);SDSS
55121.1867544901;19.884108;0.04071689;SDSS;SDSS(u);SDSS
55121.18758375;17.537985;0.025601922;SDSS;SDSS(z);SDSS
55121.18758375;17.526834;0.02497871;SDSS;SDSS(z);SDSS
55121.18841302;18.813911;0.016586011;SDSS;SDSS(g);SDSS
55121.18841302;18.820219;0.016861457;SDSS;SDSS(g);SDSS
55342.0863904;13.978;0.049;ALLWISE;WISE(W1);ALLWISE
55342.0863904;13.372;0.081;ALLWISE;WISE(W2);ALLWISE
55342.2186943;13.949;0.051;ALLWISE;WISE(W1);ALLWISE
55342.2186943;13.411;0.086;ALLWISE;WISE(W2);ALLWISE
55342.3509982;13.462;0.093;ALLWISE;WISE(W2);ALLWISE
55342.3509982;13.864;0.048;ALLWISE;WISE(W1);ALLWISE
55342.4833021;13.365;0.079;ALLWISE;WISE(W2);ALLWISE
55342.4833021;13.932;0.047;ALLWISE;WISE(W1);ALLWISE
55342.5493904;13.921;0.06;ALLWISE;WISE(W1);ALLWISE
55342.5493904;13.457;0.084;ALLWISE;WISE(W2);ALLWISE
55342.5495177;13.964;0.052;ALLWISE;WISE(W1);ALLWISE
55342.5495177;13.344;0.076;ALLWISE;WISE(W2);ALLWISE
55342.615606;13.351;0.08;ALLWISE;WISE(W2);ALLWISE
55342.615606;14.001;0.053;ALLWISE;WISE(W1);ALLWISE
55342.6816943;13.348;0.077;ALLWISE;WISE(W2);ALLWISE
55342.6816943;13.995;0.059;ALLWISE;WISE(W1);ALLWISE
55342.7479099;13.508;0.093;ALLWISE;WISE(W2);ALLWISE
55342.7479099;14.031;0.055;ALLWISE;WISE(W1);ALLWISE
55342.8139982;13.286;0.078;ALLWISE;WISE(W2);ALLWISE
55342.8139982;13.846;0.047;ALLWISE;WISE(W1);ALLWISE
55342.8802139;13.256;0.078;ALLWISE;WISE(W2);ALLWISE
55342.8802139;13.969;0.05;ALLWISE;WISE(W1);ALLWISE
55342.9463021;13.385;0.076;ALLWISE;WISE(W2);ALLWISE
55342.9463021;14.12;0.06;ALLWISE;WISE(W1);ALLWISE
55343.0786061;14.01;0.054;ALLWISE;WISE(W1);ALLWISE
55343.0786061;13.467;0.095;ALLWISE;WISE(W2);ALLWISE
55343.21091;13.434;0.105;ALLWISE;WISE(W2);ALLWISE
55343.21091;14.003;0.059;ALLWISE;WISE(W1);ALLWISE
55343.3432144;13.446;0.078;ALLWISE;WISE(W2);ALLWISE
55343.3432144;13.948;0.052;ALLWISE;WISE(W1);ALLWISE
55523.2274488;13.412;0.078;ALLWISE;WISE(W2);ALLWISE
55523.2274488;14.023;0.054;ALLWISE;WISE(W1);ALLWISE
55523.359753;13.684;0.108;ALLWISE;WISE(W2);ALLWISE
55523.359753;14.019;0.057;ALLWISE;WISE(W1);ALLWISE
55523.4920572;13.427;0.083;ALLWISE;WISE(W2);ALLWISE
55523.4920572;14.008;0.054;ALLWISE;WISE(W1);ALLWISE
55523.6242342;14.142;0.059;ALLWISE;WISE(W1);ALLWISE
55523.6242342;13.514;0.092;ALLWISE;WISE(W2);ALLWISE
55523.69045;13.336;0.077;ALLWISE;WISE(W2);ALLWISE
55523.69045;13.875;0.049;ALLWISE;WISE(W1);ALLWISE
55523.7565384;13.442;0.088;ALLWISE;WISE(W2);ALLWISE
55523.7565384;14.077;0.059;ALLWISE;WISE(W1);ALLWISE
55523.8226269;13.316;0.077;ALLWISE;WISE(W2);ALLWISE
55523.8226269;14.111;0.065;ALLWISE;WISE(W1);ALLWISE
55523.8888426;13.378;0.084;ALLWISE;WISE(W2);ALLWISE
55523.8888426;14.011;0.053;ALLWISE;WISE(W1);ALLWISE
55523.9549311;14.038;0.055;ALLWISE;WISE(W1);ALLWISE
55523.9549311;13.391;0.083;ALLWISE;WISE(W2);ALLWISE
55524.0872353;14.12;0.06;ALLWISE;WISE(W1);ALLWISE
55524.0872353;13.465;0.086;ALLWISE;WISE(W2);ALLWISE
55524.2194122;14.009;0.059;ALLWISE;WISE(W1);ALLWISE
55524.2194122;13.396;0.083;ALLWISE;WISE(W2);ALLWISE
55524.2195396;14.02;0.062;ALLWISE;WISE(W1);ALLWISE
55524.2195396;13.624;0.111;ALLWISE;WISE(W2);ALLWISE
55524.3517165;13.964;0.053;ALLWISE;WISE(W1);ALLWISE
55524.3517165;13.317;0.077;ALLWISE;WISE(W2);ALLWISE
55753.4891172;17.592775344848633;0.02984672598540783;PTF;PTF(R);PTF
55754.4098172;17.586429595947266;0.046174440532922745;PTF;PTF(R);PTF
