MJD;Magnitude;Error;Facility;Filter;Observer
50922.44109999994;14.982;0.116;2MASS;2MASS(K);2MASS
50922.44109999994;15.351;0.09;2MASS;2MASS(H);2MASS
50922.44109999994;16.046;0.084;2MASS;2MASS(J);2MASS
55283.8663318;14.622;0.206;ALLWISE;WISE(W2);ALLWISE
55283.8663318;14.633;0.082;ALLWISE;WISE(W1);ALLWISE
55283.9986359;14.537;0.2;ALLWISE;WISE(W2);ALLWISE
55283.9986359;14.715;0.085;ALLWISE;WISE(W1);ALLWISE
55284.1309399;14.431;0.184;ALLWISE;WISE(W2);ALLWISE
55284.1309399;14.691;0.084;ALLWISE;WISE(W1);ALLWISE
55284.263244;14.833;0.248;ALLWISE;WISE(W2);ALLWISE
55284.263244;14.551;0.068;ALLWISE;WISE(W1);ALLWISE
55284.3294597;14.389;0.158;ALLWISE;WISE(W2);ALLWISE
55284.3294597;14.753;0.097;ALLWISE;WISE(W1);ALLWISE
55284.3955481;14.304;0.157;ALLWISE;WISE(W2);ALLWISE
55284.3955481;14.678;0.083;ALLWISE;WISE(W1);ALLWISE
55284.4617638;14.655;0.077;ALLWISE;WISE(W1);ALLWISE
55284.4617638;14.381;0.178;ALLWISE;WISE(W2);ALLWISE
55284.5278521;14.593;0.075;ALLWISE;WISE(W1);ALLWISE
55284.5278521;14.61;0.219;ALLWISE;WISE(W2);ALLWISE
55284.5940679;14.511;0.073;ALLWISE;WISE(W1);ALLWISE
55284.5940679;14.42;0.196;ALLWISE;WISE(W2);ALLWISE
55284.6601562;14.478;0.068;ALLWISE;WISE(W1);ALLWISE
55284.6601562;14.618;0.194;ALLWISE;WISE(W2);ALLWISE
55284.6602835;14.61;0.074;ALLWISE;WISE(W1);ALLWISE
55284.6602835;15.111;0.312;ALLWISE;WISE(W2);ALLWISE
55284.7263719;14.58;0.08;ALLWISE;WISE(W1);ALLWISE
55284.7263719;14.398;0.225;ALLWISE;WISE(W2);ALLWISE
55284.7925876;14.537;0.07;ALLWISE;WISE(W1);ALLWISE
55284.7925876;14.456;0.202;ALLWISE;WISE(W2);ALLWISE
55284.858676;14.678;0.079;ALLWISE;WISE(W1);ALLWISE
55284.858676;14.464;0.201;ALLWISE;WISE(W2);ALLWISE
55284.9248917;14.649;0.225;ALLWISE;WISE(W2);ALLWISE
55284.9248917;14.771;0.09;ALLWISE;WISE(W1);ALLWISE
55284.99098;14.737;0.246;ALLWISE;WISE(W2);ALLWISE
55284.99098;14.633;0.095;ALLWISE;WISE(W1);ALLWISE
55285.1232841;14.766;0.1;ALLWISE;WISE(W1);ALLWISE
55285.1232841;14.611;0.199;ALLWISE;WISE(W2);ALLWISE
55285.2555881;14.554;0.08;ALLWISE;WISE(W1);ALLWISE
55285.2555881;15.222;0.338;ALLWISE;WISE(W2);ALLWISE
55285.2557155;14.565;0.203;ALLWISE;WISE(W2);ALLWISE
55285.2557155;14.493;0.07;ALLWISE;WISE(W1);ALLWISE
55285.3880195;14.651;0.08;ALLWISE;WISE(W1);ALLWISE
55285.3880195;14.367;0.16;ALLWISE;WISE(W2);ALLWISE
55292.2023795;14.582;0.071;ALLWISE;WISE(W1);ALLWISE
55292.2023795;14.493;0.209;ALLWISE;WISE(W2);ALLWISE
55466.2238765;14.481;0.186;ALLWISE;WISE(W2);ALLWISE
55466.2238765;14.525;0.088;ALLWISE;WISE(W1);ALLWISE
55466.3561805;14.569;0.196;ALLWISE;WISE(W2);ALLWISE
55466.3561805;14.642;0.097;ALLWISE;WISE(W1);ALLWISE
55466.4884846;14.528;0.182;ALLWISE;WISE(W2);ALLWISE
55466.4884846;14.599;0.095;ALLWISE;WISE(W1);ALLWISE
55466.5545729;14.572;0.089;ALLWISE;WISE(W1);ALLWISE
55466.5545729;14.847;0.244;ALLWISE;WISE(W2);ALLWISE
55466.6206612;14.961;0.357;ALLWISE;WISE(W2);ALLWISE
55466.6206612;14.542;0.09;ALLWISE;WISE(W1);ALLWISE
