MJD;Magnitude;Error;Facility;Filter;Observer
53643.7415;16.43;0.14;CRTS;CRTS(CL);CRTS
53643.75041;16.42;0.14;CRTS;CRTS(CL);CRTS
53643.75935;16.44;0.14;CRTS;CRTS(CL);CRTS
53643.76813;16.34;0.14;CRTS;CRTS(CL);CRTS
53687.6647;16.18;0.11;CRTS;CRTS(CL);CRTS
53687.67341;16.16;0.11;CRTS;CRTS(CL);CRTS
53687.68213;16.1;0.11;CRTS;CRTS(CL);CRTS
53687.69085;16.11;0.11;CRTS;CRTS(CL);CRTS
53713.49333;16.22;0.1;CRTS;CRTS(CL);CRTS
53713.50153;16.26;0.1;CRTS;CRTS(CL);CRTS
53713.50974;16.23;0.1;CRTS;CRTS(CL);CRTS
53713.51795;16.24;0.1;CRTS;CRTS(CL);CRTS
53729.6064;16.28;0.12;CRTS;CRTS(CL);CRTS
53729.61532;16.25;0.12;CRTS;CRTS(CL);CRTS
53729.62426;16.34;0.12;CRTS;CRTS(CL);CRTS
53729.63319;16.41;0.12;CRTS;CRTS(CL);CRTS
53744.46435;16.15;0.11;CRTS;CRTS(CL);CRTS
53744.47351;16.25;0.12;CRTS;CRTS(CL);CRTS
53744.48266;16.26;0.12;CRTS;CRTS(CL);CRTS
53744.4918;16.26;0.12;CRTS;CRTS(CL);CRTS
53762.57267;16.29;0.12;CRTS;CRTS(CL);CRTS
53762.57747;16.31;0.13;CRTS;CRTS(CL);CRTS
53762.58227;16.29;0.12;CRTS;CRTS(CL);CRTS
53762.58701;16.25;0.12;CRTS;CRTS(CL);CRTS
53817.45489;16.2;0.1;CRTS;CRTS(CL);CRTS
53817.46229;16.21;0.1;CRTS;CRTS(CL);CRTS
53817.46966;16.23;0.11;CRTS;CRTS(CL);CRTS
53817.47704;16.28;0.11;CRTS;CRTS(CL);CRTS
53833.40497;16.34;0.09;CRTS;CRTS(CL);CRTS
53833.41639;16.28;0.09;CRTS;CRTS(CL);CRTS
53833.42778;16.25;0.09;CRTS;CRTS(CL);CRTS
53833.43919;16.26;0.09;CRTS;CRTS(CL);CRTS
53860.36353;16.24;0.09;CRTS;CRTS(CL);CRTS
53860.37351;16.27;0.09;CRTS;CRTS(CL);CRTS
53860.38348;16.24;0.09;CRTS;CRTS(CL);CRTS
53860.39356;16.25;0.09;CRTS;CRTS(CL);CRTS
53956.75365;16.05;0.11;CRTS;CRTS(CL);CRTS
53956.76227;16.09;0.11;CRTS;CRTS(CL);CRTS
53956.77087;16.28;0.12;CRTS;CRTS(CL);CRTS
53956.77953;16.05;0.11;CRTS;CRTS(CL);CRTS
54056.6402;16.26;0.12;CRTS;CRTS(CL);CRTS
54056.64552;16.27;0.12;CRTS;CRTS(CL);CRTS
54056.65087;16.24;0.12;CRTS;CRTS(CL);CRTS
54056.65614;16.24;0.12;CRTS;CRTS(CL);CRTS
54077.66867;16.25;0.12;CRTS;CRTS(CL);CRTS
54077.6765;16.3;0.13;CRTS;CRTS(CL);CRTS
54077.68427;16.24;0.12;CRTS;CRTS(CL);CRTS
54077.69204;16.24;0.12;CRTS;CRTS(CL);CRTS
54086.60691;16.21;0.12;CRTS;CRTS(CL);CRTS
54086.61666;16.26;0.12;CRTS;CRTS(CL);CRTS
54086.62645;16.31;0.12;CRTS;CRTS(CL);CRTS
54086.63625;16.23;0.12;CRTS;CRTS(CL);CRTS
54108.68713;16.3;0.11;CRTS;CRTS(CL);CRTS
54108.69536;16.24;0.1;CRTS;CRTS(CL);CRTS
54108.7036;16.27;0.11;CRTS;CRTS(CL);CRTS
54108.71192;16.26;0.11;CRTS;CRTS(CL);CRTS
54151.46387;16.28;0.12;CRTS;CRTS(CL);CRTS
54153.50841;16.21;0.1;CRTS;CRTS(CL);CRTS
54153.51579;16.24;0.1;CRTS;CRTS(CL);CRTS
54153.52318;16.26;0.1;CRTS;CRTS(CL);CRTS
54153.53058;16.26;0.1;CRTS;CRTS(CL);CRTS
54184.44519;16.15;0.1;CRTS;CRTS(CL);CRTS
54184.45615;16.14;0.11;CRTS;CRTS(CL);CRTS
54184.46711;16.35;0.14;CRTS;CRTS(CL);CRTS
54186.43664;16.16;0.12;CRTS;CRTS(CL);CRTS
54186.4454;16.14;0.11;CRTS;CRTS(CL);CRTS
54186.45406;16.03;0.11;CRTS;CRTS(CL);CRTS
54186.46272;16.26;0.12;CRTS;CRTS(CL);CRTS
54210.37244;16.26;0.1;CRTS;CRTS(CL);CRTS
54210.38231;16.29;0.11;CRTS;CRTS(CL);CRTS
54210.39214;16.23;0.1;CRTS;CRTS(CL);CRTS
54210.40201;16.34;0.11;CRTS;CRTS(CL);CRTS
54365.65598;16.27;0.12;CRTS;CRTS(CL);CRTS
54365.66661;16.29;0.12;CRTS;CRTS(CL);CRTS
54365.67728;16.3;0.12;CRTS;CRTS(CL);CRTS
54365.68794;16.2;0.11;CRTS;CRTS(CL);CRTS
54382.67036;16.26;0.12;CRTS;CRTS(CL);CRTS
54382.67932;16.25;0.12;CRTS;CRTS(CL);CRTS
54382.68828;16.28;0.12;CRTS;CRTS(CL);CRTS
54382.69725;16.33;0.12;CRTS;CRTS(CL);CRTS
54416.69916;16.22;0.1;CRTS;CRTS(CL);CRTS
54416.71169;16.22;0.1;CRTS;CRTS(CL);CRTS
54416.72425;16.25;0.1;CRTS;CRTS(CL);CRTS
54416.73677;16.33;0.1;CRTS;CRTS(CL);CRTS
54446.66175;16.29;0.11;CRTS;CRTS(CL);CRTS
54446.67117;16.27;0.11;CRTS;CRTS(CL);CRTS
54446.67998;16.36;0.11;CRTS;CRTS(CL);CRTS
54446.68905;16.35;0.11;CRTS;CRTS(CL);CRTS
54465.61505;16.3;0.1;CRTS;CRTS(CL);CRTS
54465.62742;16.31;0.1;CRTS;CRTS(CL);CRTS
54465.63974;16.26;0.1;CRTS;CRTS(CL);CRTS
54465.65204;16.27;0.1;CRTS;CRTS(CL);CRTS
54503.56605;16.27;0.13;CRTS;CRTS(CL);CRTS
