MJD;Magnitude;Error;Facility;Filter;Observer
52614.4821486;18.873;0.607;LINEAR;LINEAR(CL);LINEAR
52614.4974266;18.567;0.353;LINEAR;LINEAR(CL);LINEAR
52614.512585;18.68;0.383;LINEAR;LINEAR(CL);LINEAR
52619.47302;18.639;0.431;LINEAR;LINEAR(CL);LINEAR
52619.4884831;18.332;0.329;LINEAR;LINEAR(CL);LINEAR
52619.5039532;18.428;0.361;LINEAR;LINEAR(CL);LINEAR
52619.5194704;18.314;0.316;LINEAR;LINEAR(CL);LINEAR
52620.4540425;18.996;0.596;LINEAR;LINEAR(CL);LINEAR
52639.4029254;18.603;0.388;LINEAR;LINEAR(CL);LINEAR
52639.4641008;18.757;0.424;LINEAR;LINEAR(CL);LINEAR
52644.3907723;18.845;0.383;LINEAR;LINEAR(CL);LINEAR
52644.4255567;18.294;0.237;LINEAR;LINEAR(CL);LINEAR
52644.4449442;18.736;0.346;LINEAR;LINEAR(CL);LINEAR
52644.4597996;18.793;0.363;LINEAR;LINEAR(CL);LINEAR
52644.4747649;18.703;0.346;LINEAR;LINEAR(CL);LINEAR
52648.3698154;18.614;0.377;LINEAR;LINEAR(CL);LINEAR
52648.3844843;18.64;0.383;LINEAR;LINEAR(CL);LINEAR
52666.3192426;18.635;0.318;LINEAR;LINEAR(CL);LINEAR
52666.3345776;18.629;0.313;LINEAR;LINEAR(CL);LINEAR
52666.35;18.57;0.281;LINEAR;LINEAR(CL);LINEAR
52666.3654207;18.38;0.24;LINEAR;LINEAR(CL);LINEAR
52666.3811049;18.959;0.427;LINEAR;LINEAR(CL);LINEAR
52671.3242291;18.813;0.411;LINEAR;LINEAR(CL);LINEAR
52671.3545925;18.851;0.416;LINEAR;LINEAR(CL);LINEAR
52671.3699027;18.877;0.435;LINEAR;LINEAR(CL);LINEAR
52671.3850308;19.087;0.516;LINEAR;LINEAR(CL);LINEAR
52674.3285126;18.813;0.388;LINEAR;LINEAR(CL);LINEAR
52674.3441795;18.673;0.357;LINEAR;LINEAR(CL);LINEAR
52674.3725057;19.092;0.54;LINEAR;LINEAR(CL);LINEAR
52674.386604;19.189;0.572;LINEAR;LINEAR(CL);LINEAR
52698.2852823;18.763;0.348;LINEAR;LINEAR(CL);LINEAR
52698.2993199;18.791;0.361;LINEAR;LINEAR(CL);LINEAR
52704.3040381;19.219;0.586;LINEAR;LINEAR(CL);LINEAR
52704.317438;18.809;0.407;LINEAR;LINEAR(CL);LINEAR
52704.3308457;18.6;0.337;LINEAR;LINEAR(CL);LINEAR
52704.3444126;18.511;0.32;LINEAR;LINEAR(CL);LINEAR
52704.3578434;18.943;0.481;LINEAR;LINEAR(CL);LINEAR
52725.3097728;18.742;0.439;LINEAR;LINEAR(CL);LINEAR
52728.2300376;18.48;0.296;LINEAR;LINEAR(CL);LINEAR
52728.2419941;18.789;0.392;LINEAR;LINEAR(CL);LINEAR
52728.24980367;19.472101;0.025435915;SDSS;SDSS(r);SDSS
