MJD;Magnitude;Error;Facility;Filter;Observer
51502.17370000016;15.057;0.079;2MASS;2MASS(J);2MASS
51502.17370000016;14.306;0.074;2MASS;2MASS(H);2MASS
51502.17370000016;13.854;0.078;2MASS;2MASS(K);2MASS
55248.0343539;13.159;0.037;ALLWISE;WISE(W1);ALLWISE
55248.0343539;13.011;0.055;ALLWISE;WISE(W2);ALLWISE
55248.166658;13.096;0.045;ALLWISE;WISE(W1);ALLWISE
55248.166658;12.987;0.056;ALLWISE;WISE(W2);ALLWISE
55248.2990894;12.889;0.06;ALLWISE;WISE(W2);ALLWISE
55248.2990894;13.163;0.043;ALLWISE;WISE(W1);ALLWISE
55248.5636976;13.05;0.035;ALLWISE;WISE(W1);ALLWISE
55248.5636976;13.012;0.061;ALLWISE;WISE(W2);ALLWISE
55248.6960017;13.07;0.036;ALLWISE;WISE(W1);ALLWISE
55248.6960017;12.903;0.058;ALLWISE;WISE(W2);ALLWISE
55248.8283058;12.98;0.038;ALLWISE;WISE(W1);ALLWISE
55248.8283058;12.885;0.055;ALLWISE;WISE(W2);ALLWISE
55248.8284332;12.894;0.066;ALLWISE;WISE(W2);ALLWISE
55248.8284332;13.078;0.036;ALLWISE;WISE(W1);ALLWISE
55248.9607373;12.919;0.059;ALLWISE;WISE(W2);ALLWISE
55248.9607373;13.138;0.037;ALLWISE;WISE(W1);ALLWISE
55249.0930415;13.055;0.037;ALLWISE;WISE(W1);ALLWISE
55249.0930415;13.09;0.084;ALLWISE;WISE(W2);ALLWISE
55249.2253456;13.122;0.037;ALLWISE;WISE(W1);ALLWISE
55249.2253456;12.833;0.056;ALLWISE;WISE(W2);ALLWISE
55249.3576496;13.188;0.036;ALLWISE;WISE(W1);ALLWISE
55249.3576496;12.929;0.054;ALLWISE;WISE(W2);ALLWISE
55250.284033;13.037;0.039;ALLWISE;WISE(W1);ALLWISE
55250.284033;12.922;0.059;ALLWISE;WISE(W2);ALLWISE
