MJD;Magnitude;Error;Facility;Filter;Observer
52666.4849829;17.479;0.13;LINEAR;LINEAR(CL);LINEAR
52666.5139727;17.393;0.128;LINEAR;LINEAR(CL);LINEAR
52712.3814475;17.511;0.186;LINEAR;LINEAR(CL);LINEAR
52712.3950006;17.346;0.16;LINEAR;LINEAR(CL);LINEAR
52712.3956042;16.982;0.14;LINEAR;LINEAR(CL);LINEAR
52712.4087932;17.173;0.168;LINEAR;LINEAR(CL);LINEAR
52712.4344056;17.217;0.13;LINEAR;LINEAR(CL);LINEAR
52712.4350092;17.091;0.144;LINEAR;LINEAR(CL);LINEAR
52724.4213107;17.008;0.132;LINEAR;LINEAR(CL);LINEAR
52771.2718055;17.171;0.188;LINEAR;LINEAR(CL);LINEAR
52771.2951058;17.265;0.191;LINEAR;LINEAR(CL);LINEAR
52771.3065352;17.318;0.198;LINEAR;LINEAR(CL);LINEAR
52771.3180169;17.129;0.17;LINEAR;LINEAR(CL);LINEAR
52820.2227309;17.762;0.203;LINEAR;LINEAR(CL);LINEAR
52820.2326252;17.707;0.185;LINEAR;LINEAR(CL);LINEAR
52820.2426191;17.465;0.152;LINEAR;LINEAR(CL);LINEAR
52820.2525765;17.781;0.198;LINEAR;LINEAR(CL);LINEAR
52820.2624655;17.637;0.185;LINEAR;LINEAR(CL);LINEAR
52826.2195733;17.718;0.238;LINEAR;LINEAR(CL);LINEAR
52826.2399901;17.671;0.229;LINEAR;LINEAR(CL);LINEAR
52826.2500291;17.669;0.226;LINEAR;LINEAR(CL);LINEAR
52826.2601198;17.961;0.289;LINEAR;LINEAR(CL);LINEAR
52848.163028;17.769;0.207;LINEAR;LINEAR(CL);LINEAR
52848.1733055;17.499;0.172;LINEAR;LINEAR(CL);LINEAR
52848.1937768;17.652;0.209;LINEAR;LINEAR(CL);LINEAR
52848.2040792;17.681;0.263;LINEAR;LINEAR(CL);LINEAR
53034.4529365;17.548;0.181;LINEAR;LINEAR(CL);LINEAR
53034.4648298;17.632;0.195;LINEAR;LINEAR(CL);LINEAR
53034.4766585;17.735;0.205;LINEAR;LINEAR(CL);LINEAR
53034.4886828;17.584;0.177;LINEAR;LINEAR(CL);LINEAR
53034.5005426;17.476;0.155;LINEAR;LINEAR(CL);LINEAR
53051.4203129;17.651;0.142;LINEAR;LINEAR(CL);LINEAR
53065.3537724;17.437;0.135;LINEAR;LINEAR(CL);LINEAR
53065.3679772;17.535;0.14;LINEAR;LINEAR(CL);LINEAR
53065.4165761;17.641;0.124;LINEAR;LINEAR(CL);LINEAR
53078.4102978;17.195;0.144;LINEAR;LINEAR(CL);LINEAR
53109.3057584;17.629;0.16;LINEAR;LINEAR(CL);LINEAR
53109.3160795;17.596;0.157;LINEAR;LINEAR(CL);LINEAR
53109.336254;17.656;0.165;LINEAR;LINEAR(CL);LINEAR
53109.3463028;17.589;0.153;LINEAR;LINEAR(CL);LINEAR
53122.299598;17.35;0.104;LINEAR;LINEAR(CL);LINEAR
53137.2590541;17.818;0.188;LINEAR;LINEAR(CL);LINEAR
53137.2688308;17.507;0.145;LINEAR;LINEAR(CL);LINEAR
53137.2787349;17.639;0.158;LINEAR;LINEAR(CL);LINEAR
53137.2885099;17.71;0.181;LINEAR;LINEAR(CL);LINEAR
53137.2983361;17.744;0.185;LINEAR;LINEAR(CL);LINEAR
53153.2549758;17.516;0.133;LINEAR;LINEAR(CL);LINEAR
53153.2638525;17.371;0.118;LINEAR;LINEAR(CL);LINEAR
53153.2726365;17.55;0.141;LINEAR;LINEAR(CL);LINEAR
53165.2404811;17.505;0.163;LINEAR;LINEAR(CL);LINEAR
53165.2502893;17.675;0.186;LINEAR;LINEAR(CL);LINEAR
53165.2628089;17.683;0.223;LINEAR;LINEAR(CL);LINEAR
53165.2726163;17.961;0.259;LINEAR;LINEAR(CL);LINEAR
53165.2827039;17.505;0.239;LINEAR;LINEAR(CL);LINEAR
53170.23035805;19.113466;0.016504938;SDSS;SDSS(r);SDSS
53170.23035805;19.074545;0.016404271;SDSS;SDSS(r);SDSS
53170.23035805;19.119858;0.018335098;SDSS;SDSS(r);SDSS
53170.23118732;18.79918;0.015688347;SDSS;SDSS(i);SDSS
53170.23118732;18.751959;0.015543302;SDSS;SDSS(i);SDSS
53170.23118732;18.804548;0.017233772;SDSS;SDSS(i);SDSS
53170.23201658;21.36696;0.092667;SDSS;SDSS(u);SDSS
53170.23201658;21.446962;0.101889774;SDSS;SDSS(u);SDSS
53170.23201658;21.31632;0.08858799;SDSS;SDSS(u);SDSS
53170.23284585;18.469894;0.028352771;SDSS;SDSS(z);SDSS
53170.23284585;18.460033;0.032976553;SDSS;SDSS(z);SDSS
53170.23284585;18.490995;0.0299074;SDSS;SDSS(z);SDSS
53170.23367511;19.85082;0.020910924;SDSS;SDSS(g);SDSS
53170.23367511;19.811403;0.020094885;SDSS;SDSS(g);SDSS
53170.23367511;19.841635;0.019116674;SDSS;SDSS(g);SDSS
53178.2560492;17.02;0.215;LINEAR;LINEAR(CL);LINEAR
53178.2660398;16.93;0.189;LINEAR;LINEAR(CL);LINEAR
53507.32824;17.79;0.13;CRTS;CRTS(CL);CRTS
53507.33628;18.03;0.16;CRTS;CRTS(CL);CRTS
53529.2183719;17.415;0.15;LINEAR;LINEAR(CL);LINEAR
53529.2402979;17.413;0.159;LINEAR;LINEAR(CL);LINEAR
53529.25147;17.515;0.181;LINEAR;LINEAR(CL);LINEAR
53529.2623301;17.308;0.141;LINEAR;LINEAR(CL);LINEAR
53788.4221431;17.499;0.139;LINEAR;LINEAR(CL);LINEAR
53788.4346587;17.409;0.125;LINEAR;LINEAR(CL);LINEAR
53788.4598537;17.54;0.142;LINEAR;LINEAR(CL);LINEAR
53813.4270563;17.316;0.183;LINEAR;LINEAR(CL);LINEAR
53813.4384985;17.373;0.198;LINEAR;LINEAR(CL);LINEAR
53813.4499604;17.371;0.201;LINEAR;LINEAR(CL);LINEAR
53813.4614079;17.415;0.206;LINEAR;LINEAR(CL);LINEAR
53813.4728409;17.502;0.228;LINEAR;LINEAR(CL);LINEAR
53820.3507454;17.531;0.363;LINEAR;LINEAR(CL);LINEAR
53820.3620822;17.585;0.384;LINEAR;LINEAR(CL);LINEAR
53844.2996846;17.481;0.157;LINEAR;LINEAR(CL);LINEAR
53844.3106613;17.494;0.17;LINEAR;LINEAR(CL);LINEAR
53844.3215751;17.369;0.157;LINEAR;LINEAR(CL);LINEAR
53844.3324974;17.441;0.177;LINEAR;LINEAR(CL);LINEAR
53844.3435792;17.597;0.21;LINEAR;LINEAR(CL);LINEAR
53852.2974936;17.38;0.16;LINEAR;LINEAR(CL);LINEAR
53852.3080723;17.449;0.165;LINEAR;LINEAR(CL);LINEAR
53852.3188;17.359;0.15;LINEAR;LINEAR(CL);LINEAR
53852.3298306;17.302;0.145;LINEAR;LINEAR(CL);LINEAR
53852.3405242;17.362;0.152;LINEAR;LINEAR(CL);LINEAR
53887.2652121;17.488;0.18;LINEAR;LINEAR(CL);LINEAR
53887.2755426;17.568;0.188;LINEAR;LINEAR(CL);LINEAR
53887.2858681;17.485;0.175;LINEAR;LINEAR(CL);LINEAR
53887.2962713;17.261;0.149;LINEAR;LINEAR(CL);LINEAR
53887.3066223;17.347;0.16;LINEAR;LINEAR(CL);LINEAR
53902.2536399;17.226;0.157;LINEAR;LINEAR(CL);LINEAR
53902.2636022;17.231;0.159;LINEAR;LINEAR(CL);LINEAR
53905.28904;17.62;0.24;CRTS;CRTS(CL);CRTS
53905.29011;17.32;0.21;CRTS;CRTS(CL);CRTS
53905.2912;17.29;0.21;CRTS;CRTS(CL);CRTS
53914.2213832;16.833;0.175;LINEAR;LINEAR(CL);LINEAR
53931.1846795;17.443;0.205;LINEAR;LINEAR(CL);LINEAR
53931.1950652;17.336;0.183;LINEAR;LINEAR(CL);LINEAR
53931.2054163;17.412;0.202;LINEAR;LINEAR(CL);LINEAR
53931.2158581;17.475;0.228;LINEAR;LINEAR(CL);LINEAR
53940.1882062;18.092;0.54;LINEAR;LINEAR(CL);LINEAR
53940.1991282;17.156;0.195;LINEAR;LINEAR(CL);LINEAR
53940.213133;17.433;0.234;LINEAR;LINEAR(CL);LINEAR
53992.12373;17.15;0.09;CRTS;CRTS(CL);CRTS
53992.12851;17.39;0.09;CRTS;CRTS(CL);CRTS
53992.1333;17.53;0.1;CRTS;CRTS(CL);CRTS
53992.13809;17.36;0.09;CRTS;CRTS(CL);CRTS
54117.50361;17.27;0.09;CRTS;CRTS(CL);CRTS
54117.5103;17.37;0.09;CRTS;CRTS(CL);CRTS
54117.51692;17.18;0.09;CRTS;CRTS(CL);CRTS
54117.52362;17.41;0.09;CRTS;CRTS(CL);CRTS
54154.4067608;17.31;0.124;LINEAR;LINEAR(CL);LINEAR
54169.3922897;17.24;0.177;LINEAR;LINEAR(CL);LINEAR
54169.403262;17.265;0.193;LINEAR;LINEAR(CL);LINEAR
54169.4250814;17.273;0.186;LINEAR;LINEAR(CL);LINEAR
54175.3894;17.42;0.09;CRTS;CRTS(CL);CRTS
54175.39727;17.13;0.09;CRTS;CRTS(CL);CRTS
54175.40512;17.33;0.09;CRTS;CRTS(CL);CRTS
54175.41299;17.07;0.08;CRTS;CRTS(CL);CRTS
54201.37288;17.09;0.09;CRTS;CRTS(CL);CRTS
54201.38216;17.02;0.08;CRTS;CRTS(CL);CRTS
54201.39142;17.33;0.09;CRTS;CRTS(CL);CRTS
54201.40069;17.36;0.09;CRTS;CRTS(CL);CRTS
54228.36987;17.21;0.13;CRTS;CRTS(CL);CRTS
54228.37755;17.18;0.09;CRTS;CRTS(CL);CRTS
54228.38522;17.04;0.09;CRTS;CRTS(CL);CRTS
54228.39773;17.29;0.1;CRTS;CRTS(CL);CRTS
54242.30775;17.26;0.09;CRTS;CRTS(CL);CRTS
54242.31588;17.19;0.09;CRTS;CRTS(CL);CRTS
54242.32404;17.22;0.09;CRTS;CRTS(CL);CRTS
54242.33215;17.13;0.09;CRTS;CRTS(CL);CRTS
54257.26487;17.23;0.09;CRTS;CRTS(CL);CRTS
54257.2745;17.3;0.09;CRTS;CRTS(CL);CRTS
54257.28417;17.13;0.09;CRTS;CRTS(CL);CRTS
54257.29381;17.31;0.09;CRTS;CRTS(CL);CRTS
54267.23809;17.49;0.1;CRTS;CRTS(CL);CRTS
54267.24618;17.25;0.09;CRTS;CRTS(CL);CRTS
54267.25426;17.15;0.09;CRTS;CRTS(CL);CRTS
54267.26251;17.36;0.1;CRTS;CRTS(CL);CRTS
54290.20036;17.19;0.09;CRTS;CRTS(CL);CRTS
54290.2073;17.39;0.1;CRTS;CRTS(CL);CRTS
54290.21422;17.32;0.1;CRTS;CRTS(CL);CRTS
54290.22114;17.41;0.1;CRTS;CRTS(CL);CRTS
54346.14478;17.09;0.09;CRTS;CRTS(CL);CRTS
54346.14961;17.32;0.09;CRTS;CRTS(CL);CRTS
54346.15446;17.38;0.09;CRTS;CRTS(CL);CRTS
54346.1593;17.48;0.1;CRTS;CRTS(CL);CRTS
54355.10692;17.15;0.09;CRTS;CRTS(CL);CRTS
54355.11066;17.37;0.09;CRTS;CRTS(CL);CRTS
54355.11442;17.41;0.09;CRTS;CRTS(CL);CRTS
54355.11816;17.47;0.1;CRTS;CRTS(CL);CRTS
54504.45057;17.36;0.09;CRTS;CRTS(CL);CRTS
54504.46009;17.33;0.09;CRTS;CRTS(CL);CRTS
54504.46958;17.3;0.08;CRTS;CRTS(CL);CRTS
54504.47911;17.23;0.08;CRTS;CRTS(CL);CRTS
54514.47219;17.35;0.09;CRTS;CRTS(CL);CRTS
54514.47878;17.25;0.09;CRTS;CRTS(CL);CRTS
54514.48539;17.21;0.09;CRTS;CRTS(CL);CRTS
54514.49198;17.12;0.08;CRTS;CRTS(CL);CRTS
54528.44155;17.48;0.09;CRTS;CRTS(CL);CRTS
54528.44805;17.42;0.09;CRTS;CRTS(CL);CRTS
54528.45459;17.29;0.09;CRTS;CRTS(CL);CRTS
54528.46114;17.34;0.09;CRTS;CRTS(CL);CRTS
54536.4371;17.44;0.09;CRTS;CRTS(CL);CRTS
