MJD;Magnitude;Error;Facility;Filter;Observer
52639.3799997;18.894;0.448;LINEAR;LINEAR(CL);LINEAR
52649.5085207;19.034;0.533;LINEAR;LINEAR(CL);LINEAR
52677.3193565;18.647;0.34;LINEAR;LINEAR(CL);LINEAR
52706.3551686;19.373;0.636;LINEAR;LINEAR(CL);LINEAR
52724.2898993;19.148;0.5;LINEAR;LINEAR(CL);LINEAR
52753.2062421;18.859;0.462;LINEAR;LINEAR(CL);LINEAR
52992.4047203;18.882;0.398;LINEAR;LINEAR(CL);LINEAR
52992.4583222;19.582;0.642;LINEAR;LINEAR(CL);LINEAR
53001.4423842;19.637;0.569;LINEAR;LINEAR(CL);LINEAR
53001.4758119;19.737;0.571;LINEAR;LINEAR(CL);LINEAR
53034.3546555;19.141;0.561;LINEAR;LINEAR(CL);LINEAR
53034.379944;19.146;0.546;LINEAR;LINEAR(CL);LINEAR
53051.3295107;19.372;0.512;LINEAR;LINEAR(CL);LINEAR
53051.3417072;19.265;0.49;LINEAR;LINEAR(CL);LINEAR
53087.2878107;19.449;0.488;LINEAR;LINEAR(CL);LINEAR
53087.3010527;19.099;0.36;LINEAR;LINEAR(CL);LINEAR
53462.29948825;20.25009;0.023358015;SDSS;SDSS(r);SDSS
53462.30031751;19.904476;0.025101349;SDSS;SDSS(i);SDSS
53462.30114678;22.624622;0.29303452;SDSS;SDSS(u);SDSS
53462.30197604;19.539875;0.060238373;SDSS;SDSS(z);SDSS
53462.30280531;21.17181;0.038365725;SDSS;SDSS(g);SDSS
53469.25136;20.6;0.37;CRTS;CRTS(CL);CRTS
53469.25948;19.95;0.26;CRTS;CRTS(CL);CRTS
53469.26761;20.1;0.29;CRTS;CRTS(CL);CRTS
53469.27575;19.68;0.23;CRTS;CRTS(CL);CRTS
53469.28874;19.76;0.23;CRTS;CRTS(CL);CRTS
53500.23406;19.74;0.24;CRTS;CRTS(CL);CRTS
53500.24055;19.91;0.26;CRTS;CRTS(CL);CRTS
53500.25353;20.66;0.39;CRTS;CRTS(CL);CRTS
53500.27173;20.63;0.39;CRTS;CRTS(CL);CRTS
53529.16184;19.73;0.24;CRTS;CRTS(CL);CRTS
