MJD;Magnitude;Error;Facility;Filter;Observer
51639.252900000196;16.456;0.121;2MASS;2MASS(J);2MASS
51639.252900000196;15.925;0.245;2MASS;2MASS(K);2MASS
51639.252900000196;15.809;0.134;2MASS;2MASS(H);2MASS
52614.448076;18.109;0.651;LINEAR;LINEAR(CL);LINEAR
52614.4634978;18.321;0.542;LINEAR;LINEAR(CL);LINEAR
52614.4790162;17.894;0.279;LINEAR;LINEAR(CL);LINEAR
52614.4942912;18.115;0.25;LINEAR;LINEAR(CL);LINEAR
52614.5094493;17.891;0.194;LINEAR;LINEAR(CL);LINEAR
52619.4543523;17.833;0.202;LINEAR;LINEAR(CL);LINEAR
52619.4698759;17.983;0.237;LINEAR;LINEAR(CL);LINEAR
52619.4853287;18.353;0.344;LINEAR;LINEAR(CL);LINEAR
52619.5007968;18.053;0.263;LINEAR;LINEAR(CL);LINEAR
52619.5163281;17.81;0.207;LINEAR;LINEAR(CL);LINEAR
52639.3997386;18.277;0.271;LINEAR;LINEAR(CL);LINEAR
52639.414767;18.209;0.251;LINEAR;LINEAR(CL);LINEAR
52639.4299043;18.106;0.219;LINEAR;LINEAR(CL);LINEAR
52639.4452297;18.188;0.229;LINEAR;LINEAR(CL);LINEAR
52639.4609022;18.379;0.279;LINEAR;LINEAR(CL);LINEAR
52644.3853674;18.431;0.274;LINEAR;LINEAR(CL);LINEAR
52644.4143341;18.242;0.231;LINEAR;LINEAR(CL);LINEAR
52644.4418167;18.269;0.237;LINEAR;LINEAR(CL);LINEAR
52644.4567459;18.167;0.211;LINEAR;LINEAR(CL);LINEAR
52644.4717505;18.162;0.22;LINEAR;LINEAR(CL);LINEAR
52648.3224514;18.186;0.274;LINEAR;LINEAR(CL);LINEAR
52648.3370888;18.453;0.359;LINEAR;LINEAR(CL);LINEAR
52648.3517714;18.215;0.283;LINEAR;LINEAR(CL);LINEAR
52648.3813625;18.068;0.237;LINEAR;LINEAR(CL);LINEAR
52666.3161152;18.197;0.22;LINEAR;LINEAR(CL);LINEAR
52666.3314421;17.987;0.181;LINEAR;LINEAR(CL);LINEAR
52666.346825;18.235;0.228;LINEAR;LINEAR(CL);LINEAR
52666.3622461;18.231;0.22;LINEAR;LINEAR(CL);LINEAR
52666.3778496;18.186;0.224;LINEAR;LINEAR(CL);LINEAR
52671.3211002;18.181;0.233;LINEAR;LINEAR(CL);LINEAR
52671.3362483;18.0;0.202;LINEAR;LINEAR(CL);LINEAR
52671.351388;18.092;0.211;LINEAR;LINEAR(CL);LINEAR
52671.3667776;18.388;0.285;LINEAR;LINEAR(CL);LINEAR
52671.381907;18.199;0.244;LINEAR;LINEAR(CL);LINEAR
52674.3252012;18.013;0.211;LINEAR;LINEAR(CL);LINEAR
52674.3410559;18.243;0.255;LINEAR;LINEAR(CL);LINEAR
52674.3552999;18.122;0.24;LINEAR;LINEAR(CL);LINEAR
52674.3695281;18.258;0.283;LINEAR;LINEAR(CL);LINEAR
52674.3836375;18.064;0.228;LINEAR;LINEAR(CL);LINEAR
52697.2599077;18.291;0.366;LINEAR;LINEAR(CL);LINEAR
52704.2461181;18.305;0.246;LINEAR;LINEAR(CL);LINEAR
52704.2595224;18.298;0.248;LINEAR;LINEAR(CL);LINEAR
52704.27278;18.28;0.246;LINEAR;LINEAR(CL);LINEAR
52704.286117;18.297;0.253;LINEAR;LINEAR(CL);LINEAR
52704.2994809;18.081;0.207;LINEAR;LINEAR(CL);LINEAR
52706.2429375;18.103;0.211;LINEAR;LINEAR(CL);LINEAR
52706.2559879;18.1;0.203;LINEAR;LINEAR(CL);LINEAR
52706.2691611;18.055;0.202;LINEAR;LINEAR(CL);LINEAR
