MJD;Magnitude;Error;Facility;Filter;Observer
51167.304000000004;15.419;0.112;2MASS;2MASS(J);2MASS
51167.304000000004;14.737;0.129;2MASS;2MASS(H);2MASS
51167.304000000004;14.339;0.14;2MASS;2MASS(K);2MASS
53498.12369;15.83;0.06;CRTS;CRTS(CL);CRTS
53498.12848;15.97;0.07;CRTS;CRTS(CL);CRTS
53498.13323;15.9;0.07;CRTS;CRTS(CL);CRTS
53498.13801;15.92;0.07;CRTS;CRTS(CL);CRTS
53706.43514;15.9;0.07;CRTS;CRTS(CL);CRTS
53706.44351;16.31;0.14;CRTS;CRTS(CL);CRTS
53706.45188;15.89;0.07;CRTS;CRTS(CL);CRTS
53706.46008;15.92;0.07;CRTS;CRTS(CL);CRTS
53712.49134;15.91;0.07;CRTS;CRTS(CL);CRTS
53712.50003;15.94;0.07;CRTS;CRTS(CL);CRTS
53712.50871;15.89;0.07;CRTS;CRTS(CL);CRTS
53712.51746;15.91;0.07;CRTS;CRTS(CL);CRTS
53729.39976;15.89;0.07;CRTS;CRTS(CL);CRTS
53729.40782;15.92;0.07;CRTS;CRTS(CL);CRTS
53729.41591;15.93;0.07;CRTS;CRTS(CL);CRTS
53729.42406;15.94;0.07;CRTS;CRTS(CL);CRTS
53736.41029;15.92;0.07;CRTS;CRTS(CL);CRTS
53736.41728;15.95;0.07;CRTS;CRTS(CL);CRTS
53736.42426;15.9;0.07;CRTS;CRTS(CL);CRTS
53736.43128;15.93;0.07;CRTS;CRTS(CL);CRTS
53742.3618;15.92;0.07;CRTS;CRTS(CL);CRTS
53742.36715;15.91;0.07;CRTS;CRTS(CL);CRTS
53742.3725;15.93;0.07;CRTS;CRTS(CL);CRTS
53742.37786;15.92;0.07;CRTS;CRTS(CL);CRTS
53763.33258;15.9;0.07;CRTS;CRTS(CL);CRTS
53763.34054;15.9;0.07;CRTS;CRTS(CL);CRTS
53763.34846;15.92;0.07;CRTS;CRTS(CL);CRTS
53763.35645;15.95;0.07;CRTS;CRTS(CL);CRTS
53772.2314;15.89;0.07;CRTS;CRTS(CL);CRTS
53772.23724;15.89;0.07;CRTS;CRTS(CL);CRTS
53772.24309;15.87;0.07;CRTS;CRTS(CL);CRTS
53772.24896;15.75;0.08;CRTS;CRTS(CL);CRTS
53790.25694;15.89;0.07;CRTS;CRTS(CL);CRTS
53790.26496;15.93;0.07;CRTS;CRTS(CL);CRTS
53790.27293;15.93;0.07;CRTS;CRTS(CL);CRTS
53790.28093;15.92;0.07;CRTS;CRTS(CL);CRTS
53798.28158;15.93;0.07;CRTS;CRTS(CL);CRTS
53798.28914;15.9;0.07;CRTS;CRTS(CL);CRTS
53798.29674;15.93;0.07;CRTS;CRTS(CL);CRTS
53798.30434;15.92;0.07;CRTS;CRTS(CL);CRTS
53846.17233;15.87;0.07;CRTS;CRTS(CL);CRTS
53846.18038;15.87;0.07;CRTS;CRTS(CL);CRTS
53846.18845;15.89;0.07;CRTS;CRTS(CL);CRTS
53846.19651;15.91;0.07;CRTS;CRTS(CL);CRTS
53852.13264;15.87;0.07;CRTS;CRTS(CL);CRTS
53852.14023;15.92;0.07;CRTS;CRTS(CL);CRTS
53852.14783;15.92;0.07;CRTS;CRTS(CL);CRTS
53852.15542;15.91;0.07;CRTS;CRTS(CL);CRTS
53858.17025;15.86;0.07;CRTS;CRTS(CL);CRTS
53858.1767;15.88;0.07;CRTS;CRTS(CL);CRTS
53858.18316;15.93;0.07;CRTS;CRTS(CL);CRTS
53858.19335;15.87;0.07;CRTS;CRTS(CL);CRTS
53893.40152;15.89;0.1;CRTS;CRTS(CL);CRTS
53893.41034;15.88;0.1;CRTS;CRTS(CL);CRTS
53893.41917;15.94;0.1;CRTS;CRTS(CL);CRTS
53893.428;15.84;0.1;CRTS;CRTS(CL);CRTS
53912.34997;15.93;0.1;CRTS;CRTS(CL);CRTS
53912.35513;15.91;0.1;CRTS;CRTS(CL);CRTS
53912.36031;15.94;0.1;CRTS;CRTS(CL);CRTS
53912.36548;15.86;0.1;CRTS;CRTS(CL);CRTS
54057.43364;15.93;0.06;CRTS;CRTS(CL);CRTS
54057.44014;15.91;0.06;CRTS;CRTS(CL);CRTS
54057.44662;15.92;0.06;CRTS;CRTS(CL);CRTS
54057.45316;15.92;0.06;CRTS;CRTS(CL);CRTS
54090.44655;15.93;0.06;CRTS;CRTS(CL);CRTS
54090.45357;15.9;0.06;CRTS;CRTS(CL);CRTS
54090.46081;15.93;0.06;CRTS;CRTS(CL);CRTS
54090.46785;15.92;0.06;CRTS;CRTS(CL);CRTS
54128.32825;15.9;0.06;CRTS;CRTS(CL);CRTS
54128.33478;15.89;0.06;CRTS;CRTS(CL);CRTS
54128.34133;15.92;0.06;CRTS;CRTS(CL);CRTS
54128.34788;15.91;0.06;CRTS;CRTS(CL);CRTS
54141.32151;15.88;0.07;CRTS;CRTS(CL);CRTS
54141.32793;15.94;0.07;CRTS;CRTS(CL);CRTS
54141.3344;15.9;0.06;CRTS;CRTS(CL);CRTS
54141.34083;15.91;0.06;CRTS;CRTS(CL);CRTS
54171.22795;15.88;0.06;CRTS;CRTS(CL);CRTS
54171.23226;15.9;0.06;CRTS;CRTS(CL);CRTS
54171.23658;15.9;0.06;CRTS;CRTS(CL);CRTS
54171.2409;15.9;0.06;CRTS;CRTS(CL);CRTS
54213.4889;15.81;0.09;CRTS;CRTS(CL);CRTS
54213.5025;15.94;0.1;CRTS;CRTS(CL);CRTS
54213.51608;15.96;0.1;CRTS;CRTS(CL);CRTS
54213.52967;15.95;0.1;CRTS;CRTS(CL);CRTS
54239.15233;15.94;0.07;CRTS;CRTS(CL);CRTS
54239.15995;15.88;0.07;CRTS;CRTS(CL);CRTS
