MJD;Magnitude;Error;Facility;Filter;Observer
53035.42998961;19.696367;0.04419878;SDSS;SDSS(r);SDSS
53035.43081888;19.491241;0.05545125;SDSS;SDSS(i);SDSS
53035.43164814;22.057646;0.15331678;SDSS;SDSS(u);SDSS
53035.43247741;19.199278;0.066275075;SDSS;SDSS(z);SDSS
53035.43330667;20.331705;0.031853575;SDSS;SDSS(g);SDSS
53495.19044;18.29;0.15;CRTS;CRTS(CL);CRTS
53495.19688;18.2;0.13;CRTS;CRTS(CL);CRTS
53495.20331;18.49;0.18;CRTS;CRTS(CL);CRTS
53496.17658;18.25;0.12;CRTS;CRTS(CL);CRTS
53496.18303;18.33;0.12;CRTS;CRTS(CL);CRTS
53496.18947;18.2;0.12;CRTS;CRTS(CL);CRTS
53496.19599;18.26;0.12;CRTS;CRTS(CL);CRTS
53537.17721;18.28;0.14;CRTS;CRTS(CL);CRTS
53537.18301;17.41;0.1;CRTS;CRTS(CL);CRTS
53537.18881;17.93;0.12;CRTS;CRTS(CL);CRTS
53537.1946;17.78;0.12;CRTS;CRTS(CL);CRTS
53711.41297;18.13;0.12;CRTS;CRTS(CL);CRTS
53711.42038;18.23;0.12;CRTS;CRTS(CL);CRTS
53711.4278;18.37;0.13;CRTS;CRTS(CL);CRTS
53711.43523;17.98;0.11;CRTS;CRTS(CL);CRTS
53737.43081;18.12;0.12;CRTS;CRTS(CL);CRTS
53737.4393;18.24;0.13;CRTS;CRTS(CL);CRTS
53737.44782;18.3;0.12;CRTS;CRTS(CL);CRTS
53741.38332;18.18;0.12;CRTS;CRTS(CL);CRTS
53741.39027;18.14;0.12;CRTS;CRTS(CL);CRTS
53741.39729;18.24;0.12;CRTS;CRTS(CL);CRTS
53741.40429;18.11;0.12;CRTS;CRTS(CL);CRTS
53757.38324;18.11;0.12;CRTS;CRTS(CL);CRTS
53757.39182;18.22;0.12;CRTS;CRTS(CL);CRTS
53757.40057;18.23;0.12;CRTS;CRTS(CL);CRTS
53757.40939;18.38;0.13;CRTS;CRTS(CL);CRTS
53762.33502;18.14;0.12;CRTS;CRTS(CL);CRTS
53762.34437;18.13;0.14;CRTS;CRTS(CL);CRTS
53762.35979;18.24;0.18;CRTS;CRTS(CL);CRTS
53762.36932;18.2;0.15;CRTS;CRTS(CL);CRTS
53770.29454;18.21;0.12;CRTS;CRTS(CL);CRTS
53770.30314;18.17;0.12;CRTS;CRTS(CL);CRTS
53770.3117;18.27;0.13;CRTS;CRTS(CL);CRTS
53770.32029;18.42;0.13;CRTS;CRTS(CL);CRTS
53796.31231;18.3;0.13;CRTS;CRTS(CL);CRTS
53796.32006;18.17;0.12;CRTS;CRTS(CL);CRTS
53796.32782;18.12;0.12;CRTS;CRTS(CL);CRTS
53796.33559;18.13;0.12;CRTS;CRTS(CL);CRTS
53817.31214;18.26;0.13;CRTS;CRTS(CL);CRTS
53817.32074;18.23;0.12;CRTS;CRTS(CL);CRTS
53817.32931;18.39;0.13;CRTS;CRTS(CL);CRTS
53817.33788;18.39;0.13;CRTS;CRTS(CL);CRTS
53852.1642;18.37;0.13;CRTS;CRTS(CL);CRTS
53852.17191;18.34;0.13;CRTS;CRTS(CL);CRTS
53852.17958;18.34;0.13;CRTS;CRTS(CL);CRTS
53852.18726;18.35;0.13;CRTS;CRTS(CL);CRTS
53885.20676;18.23;0.11;CRTS;CRTS(CL);CRTS
53885.21867;18.03;0.11;CRTS;CRTS(CL);CRTS
53885.23054;18.44;0.12;CRTS;CRTS(CL);CRTS
53885.2425;18.04;0.11;CRTS;CRTS(CL);CRTS
53902.17602;18.18;0.33;CRTS;CRTS(CL);CRTS
53902.177;18.18;0.33;CRTS;CRTS(CL);CRTS
53902.17798;18.79;0.47;CRTS;CRTS(CL);CRTS
53902.17896;18.63;0.42;CRTS;CRTS(CL);CRTS
