MJD;Magnitude;Error;Facility;Filter;Observer
53523.35556;15.67;0.06;CRTS;CRTS(CL);CRTS
53523.36267;15.68;0.06;CRTS;CRTS(CL);CRTS
53523.36973;15.65;0.06;CRTS;CRTS(CL);CRTS
53523.37688;15.65;0.06;CRTS;CRTS(CL);CRTS
53529.33384;15.69;0.06;CRTS;CRTS(CL);CRTS
53529.33869;15.7;0.06;CRTS;CRTS(CL);CRTS
53529.34354;15.7;0.06;CRTS;CRTS(CL);CRTS
53529.34922;15.68;0.06;CRTS;CRTS(CL);CRTS
53550.29428;15.7;0.06;CRTS;CRTS(CL);CRTS
53550.30237;15.7;0.06;CRTS;CRTS(CL);CRTS
53550.31043;15.69;0.06;CRTS;CRTS(CL);CRTS
53550.31852;15.67;0.06;CRTS;CRTS(CL);CRTS
53558.30951;15.71;0.06;CRTS;CRTS(CL);CRTS
53558.31594;15.72;0.06;CRTS;CRTS(CL);CRTS
53558.32236;15.72;0.06;CRTS;CRTS(CL);CRTS
53558.32887;15.7;0.06;CRTS;CRTS(CL);CRTS
53567.25642;15.68;0.06;CRTS;CRTS(CL);CRTS
53567.26232;15.86;0.07;CRTS;CRTS(CL);CRTS
53567.26829;15.76;0.07;CRTS;CRTS(CL);CRTS
53567.27426;15.41;0.07;CRTS;CRTS(CL);CRTS
53618.12872;15.71;0.06;CRTS;CRTS(CL);CRTS
53643.0968;15.69;0.06;CRTS;CRTS(CL);CRTS
53643.10323;15.69;0.06;CRTS;CRTS(CL);CRTS
53643.1097;15.7;0.06;CRTS;CRTS(CL);CRTS
53643.11615;15.72;0.06;CRTS;CRTS(CL);CRTS
53654.11297;15.71;0.07;CRTS;CRTS(CL);CRTS
53654.11827;15.7;0.07;CRTS;CRTS(CL);CRTS
53654.12356;15.72;0.07;CRTS;CRTS(CL);CRTS
53654.12887;15.7;0.07;CRTS;CRTS(CL);CRTS
53674.079;15.73;0.06;CRTS;CRTS(CL);CRTS
53674.08224;15.75;0.06;CRTS;CRTS(CL);CRTS
53674.08546;15.7;0.06;CRTS;CRTS(CL);CRTS
53674.08866;15.72;0.06;CRTS;CRTS(CL);CRTS
53686.05556;15.6;0.07;CRTS;CRTS(CL);CRTS
