MJD;Magnitude;Error;Facility;Filter;Observer
53770.17743;19.42;0.21;CRTS;CRTS(CL);CRTS
54095.26121;20.14;0.26;CRTS;CRTS(CL);CRTS
54353.45764;19.45;0.21;CRTS;CRTS(CL);CRTS
54451.38317;20.35;0.32;CRTS;CRTS(CL);CRTS
54451.38703;21.0;0.46;CRTS;CRTS(CL);CRTS
54476.28121;19.87;0.25;CRTS;CRTS(CL);CRTS
54534.20554;20.16;0.3;CRTS;CRTS(CL);CRTS
54586.1395;19.97;0.28;CRTS;CRTS(CL);CRTS
54793.38476;19.92;0.26;CRTS;CRTS(CL);CRTS
54805.22587;20.14;0.29;CRTS;CRTS(CL);CRTS
54831.28471;20.63;0.37;CRTS;CRTS(CL);CRTS
54831.29423;19.94;0.26;CRTS;CRTS(CL);CRTS
54831.30373;19.94;0.26;CRTS;CRTS(CL);CRTS
54864.18284;20.04;0.27;CRTS;CRTS(CL);CRTS
54891.24193;19.78;0.24;CRTS;CRTS(CL);CRTS
54891.25405;20.44;0.34;CRTS;CRTS(CL);CRTS
55093.46093;19.82;0.26;CRTS;CRTS(CL);CRTS
55093.47314;20.22;0.32;CRTS;CRTS(CL);CRTS
55130.39971;20.13;0.29;CRTS;CRTS(CL);CRTS
55151.33792;20.24;0.31;CRTS;CRTS(CL);CRTS
55151.34655;20.07;0.28;CRTS;CRTS(CL);CRTS
55185.35252;19.82;0.24;CRTS;CRTS(CL);CRTS
55206.19972;19.62;0.29;CRTS;CRTS(CL);CRTS
55244.17462;19.79;0.24;CRTS;CRTS(CL);CRTS
55280.8690533;16.62;0.449;ALLWISE;WISE(W1);ALLWISE
55281.0013574;16.601;0.403;ALLWISE;WISE(W1);ALLWISE
55281.1336614;15.899;0.24;ALLWISE;WISE(W1);ALLWISE
55281.2660928;16.766;0.431;ALLWISE;WISE(W1);ALLWISE
55281.3321812;16.023;0.241;ALLWISE;WISE(W1);ALLWISE
55281.3983969;16.543;0.352;ALLWISE;WISE(W1);ALLWISE
55281.4644853;16.071;0.239;ALLWISE;WISE(W1);ALLWISE
55281.5967893;16.071;0.23;ALLWISE;WISE(W1);ALLWISE
55281.7292207;16.485;0.344;ALLWISE;WISE(W1);ALLWISE
55281.8615247;16.754;0.449;ALLWISE;WISE(W1);ALLWISE
55294.12199;20.69;0.52;CRTS;CRTS(CL);CRTS
55472.5265881;15.627;0.521;ALLWISE;WISE(W2);ALLWISE
55472.5265881;15.919;0.196;ALLWISE;WISE(W1);ALLWISE
55472.6588921;15.778;0.17;ALLWISE;WISE(W1);ALLWISE
55472.7911966;16.267;0.254;ALLWISE;WISE(W1);ALLWISE
55472.7911966;15.713;0.518;ALLWISE;WISE(W2);ALLWISE
55472.9233733;15.601;0.47;ALLWISE;WISE(W2);ALLWISE
55472.9233733;16.914;0.428;ALLWISE;WISE(W1);ALLWISE
55472.989589;16.402;0.288;ALLWISE;WISE(W1);ALLWISE
55473.0556773;16.192;0.227;ALLWISE;WISE(W1);ALLWISE
55473.1218929;15.871;0.197;ALLWISE;WISE(W1);ALLWISE
55473.2540696;16.711;0.397;ALLWISE;WISE(W1);ALLWISE
55473.2541969;16.319;0.259;ALLWISE;WISE(W1);ALLWISE
55473.5186775;16.112;0.226;ALLWISE;WISE(W1);ALLWISE
55486.42102;18.62;0.14;CRTS;CRTS(CL);CRTS
55533.31799;20.97;0.46;CRTS;CRTS(CL);CRTS
55544.37201;20.07;0.29;CRTS;CRTS(CL);CRTS
55569.31487;20.49;0.36;CRTS;CRTS(CL);CRTS
55589.35509;19.38;0.2;CRTS;CRTS(CL);CRTS
55589.37135;19.31;0.2;CRTS;CRTS(CL);CRTS
55601.29047;20.46;0.37;CRTS;CRTS(CL);CRTS
55601.29684;20.07;0.3;CRTS;CRTS(CL);CRTS
55680.14446;19.52;0.2;CRTS;CRTS(CL);CRTS
55867.36136;20.22;0.31;CRTS;CRTS(CL);CRTS
55867.36704;19.72;0.24;CRTS;CRTS(CL);CRTS
55867.37271;20.45;0.35;CRTS;CRTS(CL);CRTS
55903.2294872;20.32529640197754;0.2156280130147934;PTF;PTF(R);PTF
55903.2342672;20.35804748535156;0.2060628235340118;PTF;PTF(R);PTF
55903.3286472;20.335494995117188;0.2389236688613891;PTF;PTF(R);PTF
55903.3334072;20.04933738708496;0.2244609147310257;PTF;PTF(R);PTF
55903.3478972;19.996591567993164;0.2029162794351577;PTF;PTF(R);PTF
55903.3586372;20.3625545501709;0.1835738569498062;PTF;PTF(R);PTF
55903.3699972;20.401586532592773;0.1815173029899597;PTF;PTF(R);PTF
55903.5467172;20.81414604187012;0.2047995179891586;PTF;PTF(R);PTF
55903.5729472;20.83611869812012;0.218049868941307;PTF;PTF(R);PTF
55944.2174872;20.515230178833008;0.1624872833490371;PTF;PTF(R);PTF
55944.2186072;20.130016326904297;0.1502595990896225;PTF;PTF(R);PTF
55945.21989;20.24;0.31;CRTS;CRTS(CL);CRTS
55945.22501;19.5;0.21;CRTS;CRTS(CL);CRTS
55945.23005;19.79;0.25;CRTS;CRTS(CL);CRTS
55983.18499;20.1;0.29;CRTS;CRTS(CL);CRTS
56066.9373286;19.6818;0.020924;PS1;PS1(z);PS1
56271.30637;19.8;0.25;CRTS;CRTS(CL);CRTS
56351.0041659;21.2073;0.02671;PS1;PS1(g);PS1
56567.46414;20.62;0.39;CRTS;CRTS(CL);CRTS
