MJD;Magnitude;Error;Facility;Filter;Observer
51606.46689999988;15.086;0.138;2MASS;2MASS(K);2MASS
51606.46689999988;15.705;0.173;2MASS;2MASS(H);2MASS
51606.46689999988;16.113;0.116;2MASS;2MASS(J);2MASS
52434.39654227;18.862024;0.015511507;SDSS;SDSS(r);SDSS
52434.39654227;18.897179;0.017058553;SDSS;SDSS(r);SDSS
52434.39654227;18.863262;0.015530075;SDSS;SDSS(r);SDSS
52434.39737153;18.357471;0.022545088;SDSS;SDSS(i);SDSS
52434.39737153;18.357882;0.021109372;SDSS;SDSS(i);SDSS
52434.39737153;18.392662;0.023159951;SDSS;SDSS(i);SDSS
52434.3982008;21.905176;0.22731355;SDSS;SDSS(u);SDSS
52434.3982008;21.88791;0.2162995;SDSS;SDSS(u);SDSS
52434.3982008;21.888006;0.2163501;SDSS;SDSS(u);SDSS
52434.39903006;17.982965;0.029013263;SDSS;SDSS(z);SDSS
52434.39903006;17.944386;0.027073711;SDSS;SDSS(z);SDSS
52434.39903006;17.944805;0.026999112;SDSS;SDSS(z);SDSS
52434.39985933;20.147497;0.031605184;SDSS;SDSS(g);SDSS
52434.39985933;20.212538;0.034445513;SDSS;SDSS(g);SDSS
52434.39985933;20.1443;0.03151823;SDSS;SDSS(g);SDSS
52681.4302705;17.749;0.269;LINEAR;LINEAR(CL);LINEAR
52681.46035;17.452;0.152;LINEAR;LINEAR(CL);LINEAR
52681.4750967;17.494;0.162;LINEAR;LINEAR(CL);LINEAR
52681.4897989;17.441;0.158;LINEAR;LINEAR(CL);LINEAR
52723.4212084;17.367;0.122;LINEAR;LINEAR(CL);LINEAR
52723.4215665;17.441;0.127;LINEAR;LINEAR(CL);LINEAR
52723.4338954;17.459;0.173;LINEAR;LINEAR(CL);LINEAR
52723.4342809;17.466;0.214;LINEAR;LINEAR(CL);LINEAR
52723.4460616;17.386;0.21;LINEAR;LINEAR(CL);LINEAR
52723.4464206;17.695;0.259;LINEAR;LINEAR(CL);LINEAR
52723.4581043;17.187;0.353;LINEAR;LINEAR(CL);LINEAR
52752.3511964;17.468;0.149;LINEAR;LINEAR(CL);LINEAR
52752.3515488;17.339;0.124;LINEAR;LINEAR(CL);LINEAR
52752.3617925;17.394;0.145;LINEAR;LINEAR(CL);LINEAR
52752.3621977;17.331;0.13;LINEAR;LINEAR(CL);LINEAR
52752.3725925;17.353;0.153;LINEAR;LINEAR(CL);LINEAR
52752.3729446;17.5;0.168;LINEAR;LINEAR(CL);LINEAR
52752.3834859;17.38;0.15;LINEAR;LINEAR(CL);LINEAR
52752.3838376;17.429;0.149;LINEAR;LINEAR(CL);LINEAR
52752.3940818;17.513;0.18;LINEAR;LINEAR(CL);LINEAR
52752.3944339;17.521;0.177;LINEAR;LINEAR(CL);LINEAR
52800.2712687;17.49;0.317;LINEAR;LINEAR(CL);LINEAR
52800.2815612;17.144;0.233;LINEAR;LINEAR(CL);LINEAR
52800.2919507;17.509;0.309;LINEAR;LINEAR(CL);LINEAR
52800.3022989;17.27;0.231;LINEAR;LINEAR(CL);LINEAR
52800.3125279;17.275;0.224;LINEAR;LINEAR(CL);LINEAR
52810.2703504;17.395;0.16;LINEAR;LINEAR(CL);LINEAR
52812.2831637;17.395;0.139;LINEAR;LINEAR(CL);LINEAR
52812.2930463;17.508;0.15;LINEAR;LINEAR(CL);LINEAR
52812.3032106;17.384;0.137;LINEAR;LINEAR(CL);LINEAR
52812.3130941;17.351;0.134;LINEAR;LINEAR(CL);LINEAR
52812.3231889;17.483;0.157;LINEAR;LINEAR(CL);LINEAR
52839.2301658;17.344;0.133;LINEAR;LINEAR(CL);LINEAR
52839.2401239;17.41;0.141;LINEAR;LINEAR(CL);LINEAR
52872.1444492;17.262;0.154;LINEAR;LINEAR(CL);LINEAR
52872.1563856;17.519;0.492;LINEAR;LINEAR(CL);LINEAR
52872.19271;17.164;0.203;LINEAR;LINEAR(CL);LINEAR
52918.0937471;17.14;0.178;LINEAR;LINEAR(CL);LINEAR
52918.1074227;17.441;0.242;LINEAR;LINEAR(CL);LINEAR
52918.1205153;17.084;0.183;LINEAR;LINEAR(CL);LINEAR
52918.1340498;17.173;0.216;LINEAR;LINEAR(CL);LINEAR
52918.147364;17.061;0.213;LINEAR;LINEAR(CL);LINEAR
53023.4733039;17.388;0.119;LINEAR;LINEAR(CL);LINEAR
53023.4854327;17.54;0.125;LINEAR;LINEAR(CL);LINEAR
53023.4974505;17.305;0.097;LINEAR;LINEAR(CL);LINEAR
53035.4805001;17.393;0.139;LINEAR;LINEAR(CL);LINEAR
53035.4926343;17.575;0.16;LINEAR;LINEAR(CL);LINEAR
53035.5048872;17.389;0.134;LINEAR;LINEAR(CL);LINEAR
53035.5170709;17.228;0.111;LINEAR;LINEAR(CL);LINEAR
53037.4811472;17.464;0.14;LINEAR;LINEAR(CL);LINEAR
53037.5195344;17.535;0.127;LINEAR;LINEAR(CL);LINEAR
53037.532164;17.434;0.119;LINEAR;LINEAR(CL);LINEAR
53049.4020082;17.266;0.126;LINEAR;LINEAR(CL);LINEAR
53049.4138925;17.386;0.141;LINEAR;LINEAR(CL);LINEAR
53049.4258052;17.475;0.154;LINEAR;LINEAR(CL);LINEAR
53049.4377544;17.406;0.141;LINEAR;LINEAR(CL);LINEAR
53049.4503632;17.43;0.141;LINEAR;LINEAR(CL);LINEAR
53107.3383218;17.355;0.111;LINEAR;LINEAR(CL);LINEAR
53107.3485643;17.285;0.099;LINEAR;LINEAR(CL);LINEAR
53107.3587983;17.252;0.097;LINEAR;LINEAR(CL);LINEAR
53107.369047;17.3;0.104;LINEAR;LINEAR(CL);LINEAR
53107.3793236;17.142;0.094;LINEAR;LINEAR(CL);LINEAR
53136.2882158;17.467;0.157;LINEAR;LINEAR(CL);LINEAR
53136.2969236;17.431;0.14;LINEAR;LINEAR(CL);LINEAR
53136.3056442;17.503;0.147;LINEAR;LINEAR(CL);LINEAR
53136.314351;17.46;0.147;LINEAR;LINEAR(CL);LINEAR
53136.3233016;17.343;0.13;LINEAR;LINEAR(CL);LINEAR
53154.2903614;17.462;0.2;LINEAR;LINEAR(CL);LINEAR
53154.2989029;17.334;0.167;LINEAR;LINEAR(CL);LINEAR
53154.3072594;17.412;0.17;LINEAR;LINEAR(CL);LINEAR
53154.31613;17.142;0.135;LINEAR;LINEAR(CL);LINEAR
53154.3246152;17.357;0.163;LINEAR;LINEAR(CL);LINEAR
53164.2675692;17.282;0.124;LINEAR;LINEAR(CL);LINEAR
53164.2771828;17.295;0.124;LINEAR;LINEAR(CL);LINEAR
53164.2867598;17.407;0.149;LINEAR;LINEAR(CL);LINEAR
53164.2962314;17.546;0.178;LINEAR;LINEAR(CL);LINEAR
53164.3061549;17.505;0.178;LINEAR;LINEAR(CL);LINEAR
53181.2746551;17.192;0.091;LINEAR;LINEAR(CL);LINEAR
53181.3134091;17.246;0.094;LINEAR;LINEAR(CL);LINEAR
53194.2289045;17.318;0.181;LINEAR;LINEAR(CL);LINEAR
53194.2294964;17.561;0.236;LINEAR;LINEAR(CL);LINEAR
53194.2385591;17.311;0.229;LINEAR;LINEAR(CL);LINEAR
53194.2484392;17.371;0.175;LINEAR;LINEAR(CL);LINEAR
53194.2576815;17.359;0.173;LINEAR;LINEAR(CL);LINEAR
53243.1397946;17.308;0.16;LINEAR;LINEAR(CL);LINEAR
53243.1500837;17.391;0.175;LINEAR;LINEAR(CL);LINEAR
53243.1604276;17.255;0.158;LINEAR;LINEAR(CL);LINEAR
53243.1706205;17.524;0.206;LINEAR;LINEAR(CL);LINEAR
53243.1814231;17.551;0.218;LINEAR;LINEAR(CL);LINEAR
53254.1197966;17.439;0.106;LINEAR;LINEAR(CL);LINEAR
53254.1309349;17.435;0.104;LINEAR;LINEAR(CL);LINEAR
53254.1425515;17.399;0.102;LINEAR;LINEAR(CL);LINEAR
53254.1536493;17.511;0.117;LINEAR;LINEAR(CL);LINEAR
53254.1648756;17.38;0.111;LINEAR;LINEAR(CL);LINEAR
53422.4077814;17.16;0.327;LINEAR;LINEAR(CL);LINEAR
53422.4197207;17.239;0.248;LINEAR;LINEAR(CL);LINEAR
53422.4316375;17.226;0.279;LINEAR;LINEAR(CL);LINEAR
53422.4441874;17.244;0.185;LINEAR;LINEAR(CL);LINEAR
53422.4561086;17.357;0.183;LINEAR;LINEAR(CL);LINEAR
53450.387688;17.462;0.181;LINEAR;LINEAR(CL);LINEAR
53450.398214;17.575;0.196;LINEAR;LINEAR(CL);LINEAR
53450.4087461;17.164;0.131;LINEAR;LINEAR(CL);LINEAR
53450.4193257;17.373;0.157;LINEAR;LINEAR(CL);LINEAR
53450.4298591;17.427;0.163;LINEAR;LINEAR(CL);LINEAR
53474.4491666;17.312;0.144;LINEAR;LINEAR(CL);LINEAR
53521.2651044;17.382;0.185;LINEAR;LINEAR(CL);LINEAR
53521.2754141;17.214;0.17;LINEAR;LINEAR(CL);LINEAR
53521.2857595;17.344;0.13;LINEAR;LINEAR(CL);LINEAR
53521.2960999;17.347;0.13;LINEAR;LINEAR(CL);LINEAR
53521.3064086;17.182;0.117;LINEAR;LINEAR(CL);LINEAR
53527.36366;17.16;0.08;CRTS;CRTS(CL);CRTS
53527.3724;17.27;0.09;CRTS;CRTS(CL);CRTS
53527.38131;17.3;0.09;CRTS;CRTS(CL);CRTS
53527.38991;17.16;0.09;CRTS;CRTS(CL);CRTS
53538.2664875;17.306;0.209;LINEAR;LINEAR(CL);LINEAR
53538.2760274;17.16;0.181;LINEAR;LINEAR(CL);LINEAR
53538.2855588;17.124;0.174;LINEAR;LINEAR(CL);LINEAR
53538.2950977;17.299;0.205;LINEAR;LINEAR(CL);LINEAR
53538.30461;17.467;0.231;LINEAR;LINEAR(CL);LINEAR
53549.25274;17.28;0.09;CRTS;CRTS(CL);CRTS
53549.25943;17.29;0.09;CRTS;CRTS(CL);CRTS
53549.266;17.31;0.09;CRTS;CRTS(CL);CRTS
53549.27256;17.1;0.09;CRTS;CRTS(CL);CRTS
53557.27588;17.1;0.08;CRTS;CRTS(CL);CRTS
53557.28241;17.34;0.09;CRTS;CRTS(CL);CRTS
53557.28891;17.28;0.09;CRTS;CRTS(CL);CRTS
53557.29545;17.37;0.09;CRTS;CRTS(CL);CRTS
53562.24704;17.28;0.09;CRTS;CRTS(CL);CRTS
53562.25412;17.37;0.09;CRTS;CRTS(CL);CRTS
53562.26123;17.25;0.09;CRTS;CRTS(CL);CRTS
53562.26826;17.26;0.09;CRTS;CRTS(CL);CRTS
53605.1448582;17.246;0.118;LINEAR;LINEAR(CL);LINEAR
53605.1559059;17.305;0.133;LINEAR;LINEAR(CL);LINEAR
53605.1669426;17.432;0.172;LINEAR;LINEAR(CL);LINEAR
53605.1779509;17.334;0.176;LINEAR;LINEAR(CL);LINEAR
53605.1890166;17.362;0.205;LINEAR;LINEAR(CL);LINEAR
53627.12376;17.34;0.1;CRTS;CRTS(CL);CRTS
53627.13028;17.12;0.09;CRTS;CRTS(CL);CRTS
53627.1368;17.56;0.11;CRTS;CRTS(CL);CRTS
53627.14336;17.41;0.1;CRTS;CRTS(CL);CRTS
53628.1161218;17.289;0.202;LINEAR;LINEAR(CL);LINEAR
53628.1283457;17.246;0.194;LINEAR;LINEAR(CL);LINEAR
53628.1405616;17.405;0.235;LINEAR;LINEAR(CL);LINEAR
53628.1527274;17.338;0.228;LINEAR;LINEAR(CL);LINEAR
53628.1648433;17.243;0.215;LINEAR;LINEAR(CL);LINEAR
53644.11638;17.27;0.09;CRTS;CRTS(CL);CRTS
53644.12126;17.52;0.1;CRTS;CRTS(CL);CRTS
53644.12616;17.34;0.09;CRTS;CRTS(CL);CRTS
53644.13104;17.28;0.09;CRTS;CRTS(CL);CRTS
53657.11525;17.16;0.09;CRTS;CRTS(CL);CRTS
53657.12175;17.38;0.1;CRTS;CRTS(CL);CRTS
53657.12815;17.47;0.11;CRTS;CRTS(CL);CRTS
53657.1345;17.51;0.11;CRTS;CRTS(CL);CRTS
53673.07415;17.28;0.09;CRTS;CRTS(CL);CRTS
53673.07904;17.46;0.1;CRTS;CRTS(CL);CRTS
53673.08392;17.33;0.09;CRTS;CRTS(CL);CRTS
53673.08882;17.37;0.09;CRTS;CRTS(CL);CRTS
53686.05803;17.38;0.11;CRTS;CRTS(CL);CRTS
53686.06227;16.68;0.09;CRTS;CRTS(CL);CRTS
53686.06651;17.45;0.11;CRTS;CRTS(CL);CRTS
53686.07074;17.22;0.1;CRTS;CRTS(CL);CRTS
53772.4863285;17.214;0.13;LINEAR;LINEAR(CL);LINEAR
