MJD;Magnitude;Error;Facility;Filter;Observer
53560.40525;18.66;0.15;CRTS;CRTS(CL);CRTS
53560.4123;18.64;0.15;CRTS;CRTS(CL);CRTS
53560.4194;18.39;0.14;CRTS;CRTS(CL);CRTS
53560.42645;18.43;0.14;CRTS;CRTS(CL);CRTS
53636.26063;18.51;0.15;CRTS;CRTS(CL);CRTS
53636.26921;18.72;0.16;CRTS;CRTS(CL);CRTS
53636.27778;18.56;0.15;CRTS;CRTS(CL);CRTS
53636.28635;18.51;0.15;CRTS;CRTS(CL);CRTS
53644.27079;18.61;0.15;CRTS;CRTS(CL);CRTS
53644.27801;18.56;0.15;CRTS;CRTS(CL);CRTS
53644.28517;18.46;0.14;CRTS;CRTS(CL);CRTS
53644.29233;18.5;0.14;CRTS;CRTS(CL);CRTS
53654.22161;18.19;0.13;CRTS;CRTS(CL);CRTS
53654.22699;18.28;0.13;CRTS;CRTS(CL);CRTS
53654.23243;18.45;0.14;CRTS;CRTS(CL);CRTS
53654.23785;18.5;0.15;CRTS;CRTS(CL);CRTS
53677.12355;18.61;0.08;CRTS;CRTS(CL);CRTS
53677.1279;18.6;0.08;CRTS;CRTS(CL);CRTS
53677.13229;18.53;0.08;CRTS;CRTS(CL);CRTS
53677.13667;18.57;0.08;CRTS;CRTS(CL);CRTS
53710.07332;18.47;0.14;CRTS;CRTS(CL);CRTS
53710.07971;18.52;0.14;CRTS;CRTS(CL);CRTS
53710.08608;18.34;0.13;CRTS;CRTS(CL);CRTS
53710.09244;18.17;0.12;CRTS;CRTS(CL);CRTS
53744.10954;19.62;0.25;CRTS;CRTS(CL);CRTS
53744.12297;18.68;0.16;CRTS;CRTS(CL);CRTS
53744.12967;18.47;0.15;CRTS;CRTS(CL);CRTS
53745.07144;18.93;0.17;CRTS;CRTS(CL);CRTS
53745.07732;18.27;0.13;CRTS;CRTS(CL);CRTS
53745.08319;18.83;0.16;CRTS;CRTS(CL);CRTS
53745.08908;18.82;0.16;CRTS;CRTS(CL);CRTS
53871.80772;17.97;0.23;CRTS;CRTS(CL);CRTS
53871.81172;18.33;0.28;CRTS;CRTS(CL);CRTS
53871.81572;17.94;0.22;CRTS;CRTS(CL);CRTS
