MJD;Magnitude;Error;Facility;Filter;Observer
53556.36594;15.93;0.07;CRTS;CRTS(CL);CRTS
53556.37512;15.93;0.07;CRTS;CRTS(CL);CRTS
53556.38428;15.96;0.07;CRTS;CRTS(CL);CRTS
53556.39348;15.95;0.07;CRTS;CRTS(CL);CRTS
53616.18528;15.92;0.07;CRTS;CRTS(CL);CRTS
53616.19117;15.89;0.07;CRTS;CRTS(CL);CRTS
53616.19704;15.93;0.07;CRTS;CRTS(CL);CRTS
53616.20295;15.95;0.07;CRTS;CRTS(CL);CRTS
53639.28735;15.94;0.07;CRTS;CRTS(CL);CRTS
53639.29553;15.93;0.07;CRTS;CRTS(CL);CRTS
53639.30357;15.92;0.07;CRTS;CRTS(CL);CRTS
53639.31166;15.92;0.07;CRTS;CRTS(CL);CRTS
53639.38668;15.92;0.07;CRTS;CRTS(CL);CRTS
53639.38981;15.91;0.07;CRTS;CRTS(CL);CRTS
53639.39294;15.98;0.07;CRTS;CRTS(CL);CRTS
53639.39607;15.95;0.07;CRTS;CRTS(CL);CRTS
53649.18208;15.93;0.07;CRTS;CRTS(CL);CRTS
53649.18853;15.85;0.07;CRTS;CRTS(CL);CRTS
53649.19511;15.92;0.07;CRTS;CRTS(CL);CRTS
53649.20161;15.93;0.07;CRTS;CRTS(CL);CRTS
53655.22022;15.98;0.07;CRTS;CRTS(CL);CRTS
53655.22585;15.93;0.07;CRTS;CRTS(CL);CRTS
53655.23153;15.88;0.07;CRTS;CRTS(CL);CRTS
53655.23728;15.89;0.07;CRTS;CRTS(CL);CRTS
53672.15018;15.92;0.07;CRTS;CRTS(CL);CRTS
53672.1566;15.85;0.07;CRTS;CRTS(CL);CRTS
53672.163;15.93;0.07;CRTS;CRTS(CL);CRTS
53672.16941;15.89;0.07;CRTS;CRTS(CL);CRTS
53678.23947;15.91;0.07;CRTS;CRTS(CL);CRTS
53678.24685;15.91;0.07;CRTS;CRTS(CL);CRTS
53678.2543;15.93;0.07;CRTS;CRTS(CL);CRTS
53678.26169;15.94;0.07;CRTS;CRTS(CL);CRTS
53696.1383;15.9;0.07;CRTS;CRTS(CL);CRTS
53696.147;15.94;0.07;CRTS;CRTS(CL);CRTS
53696.15568;15.95;0.07;CRTS;CRTS(CL);CRTS
53696.16435;15.89;0.07;CRTS;CRTS(CL);CRTS
53709.06864;15.86;0.07;CRTS;CRTS(CL);CRTS
53709.07674;15.92;0.07;CRTS;CRTS(CL);CRTS
53709.0848;15.93;0.07;CRTS;CRTS(CL);CRTS
53709.09283;15.9;0.07;CRTS;CRTS(CL);CRTS
53760.09887;15.89;0.07;CRTS;CRTS(CL);CRTS
53760.10372;15.71;0.07;CRTS;CRTS(CL);CRTS
53760.10856;15.94;0.07;CRTS;CRTS(CL);CRTS
53760.1134;15.94;0.07;CRTS;CRTS(CL);CRTS
53890.42281;15.9;0.07;CRTS;CRTS(CL);CRTS
53890.42764;15.88;0.07;CRTS;CRTS(CL);CRTS
53890.43249;15.93;0.07;CRTS;CRTS(CL);CRTS
53890.43731;15.9;0.07;CRTS;CRTS(CL);CRTS
53902.43573;15.86;0.11;CRTS;CRTS(CL);CRTS
53902.43676;16.03;0.12;CRTS;CRTS(CL);CRTS
53902.43778;15.9;0.12;CRTS;CRTS(CL);CRTS
53902.4389;15.93;0.12;CRTS;CRTS(CL);CRTS
53994.24699;15.72;0.06;CRTS;CRTS(CL);CRTS
53994.25345;15.73;0.06;CRTS;CRTS(CL);CRTS
53994.25991;15.74;0.06;CRTS;CRTS(CL);CRTS
53994.26637;15.73;0.06;CRTS;CRTS(CL);CRTS
54006.22357;15.61;0.06;CRTS;CRTS(CL);CRTS
54006.23007;15.63;0.06;CRTS;CRTS(CL);CRTS
54006.23656;15.64;0.06;CRTS;CRTS(CL);CRTS
54006.24305;15.64;0.06;CRTS;CRTS(CL);CRTS
54028.27158;15.65;0.06;CRTS;CRTS(CL);CRTS
54028.28198;15.63;0.06;CRTS;CRTS(CL);CRTS
54028.29236;15.66;0.06;CRTS;CRTS(CL);CRTS
54028.30282;15.68;0.06;CRTS;CRTS(CL);CRTS
54039.09383;15.75;0.08;CRTS;CRTS(CL);CRTS
54039.09745;15.68;0.08;CRTS;CRTS(CL);CRTS
54039.10114;15.68;0.08;CRTS;CRTS(CL);CRTS
54039.1048;15.71;0.08;CRTS;CRTS(CL);CRTS
54039.11329;15.69;0.06;CRTS;CRTS(CL);CRTS
54039.11976;15.72;0.06;CRTS;CRTS(CL);CRTS
54039.12622;15.77;0.06;CRTS;CRTS(CL);CRTS
54039.13268;15.74;0.06;CRTS;CRTS(CL);CRTS
54054.13083;15.71;0.06;CRTS;CRTS(CL);CRTS
54054.13732;15.7;0.06;CRTS;CRTS(CL);CRTS
54054.14385;15.73;0.06;CRTS;CRTS(CL);CRTS
54054.15038;15.71;0.06;CRTS;CRTS(CL);CRTS
54062.12021;15.74;0.06;CRTS;CRTS(CL);CRTS
54062.12558;15.75;0.06;CRTS;CRTS(CL);CRTS
