MJD;Magnitude;Error;Facility;Filter;Observer
53526.3439;19.3;0.19;CRTS;CRTS(CL);CRTS
53526.3615;18.96;0.16;CRTS;CRTS(CL);CRTS
53526.36873;19.28;0.19;CRTS;CRTS(CL);CRTS
53526.37687;19.1;0.17;CRTS;CRTS(CL);CRTS
53526.3848;19.1;0.17;CRTS;CRTS(CL);CRTS
53534.38555;19.11;0.18;CRTS;CRTS(CL);CRTS
53534.39268;19.01;0.17;CRTS;CRTS(CL);CRTS
53534.39979;19.11;0.17;CRTS;CRTS(CL);CRTS
53534.40692;18.87;0.16;CRTS;CRTS(CL);CRTS
53549.3433;19.04;0.18;CRTS;CRTS(CL);CRTS
53549.34824;19.17;0.19;CRTS;CRTS(CL);CRTS
53549.35317;19.3;0.2;CRTS;CRTS(CL);CRTS
53549.35811;18.99;0.17;CRTS;CRTS(CL);CRTS
53561.24407;19.14;0.18;CRTS;CRTS(CL);CRTS
53561.24974;19.14;0.18;CRTS;CRTS(CL);CRTS
53561.25538;19.23;0.19;CRTS;CRTS(CL);CRTS
53561.26102;18.83;0.16;CRTS;CRTS(CL);CRTS
53627.17991;19.35;0.23;CRTS;CRTS(CL);CRTS
53627.18697;18.98;0.19;CRTS;CRTS(CL);CRTS
53627.20108;19.87;0.3;CRTS;CRTS(CL);CRTS
53649.11766;18.74;0.16;CRTS;CRTS(CL);CRTS
53649.12203;19.03;0.19;CRTS;CRTS(CL);CRTS
53649.12636;19.23;0.2;CRTS;CRTS(CL);CRTS
53649.13075;19.11;0.19;CRTS;CRTS(CL);CRTS
53669.07575;19.15;0.18;CRTS;CRTS(CL);CRTS
53669.08166;19.03;0.17;CRTS;CRTS(CL);CRTS
53669.08758;18.85;0.16;CRTS;CRTS(CL);CRTS
53669.0935;18.93;0.16;CRTS;CRTS(CL);CRTS
53796.50147;19.14;0.18;CRTS;CRTS(CL);CRTS
53796.50875;18.96;0.18;CRTS;CRTS(CL);CRTS
53796.51609;19.08;0.18;CRTS;CRTS(CL);CRTS
53796.52338;18.88;0.16;CRTS;CRTS(CL);CRTS
53852.452;18.96;0.17;CRTS;CRTS(CL);CRTS
53852.45967;18.84;0.16;CRTS;CRTS(CL);CRTS
53852.46754;18.73;0.15;CRTS;CRTS(CL);CRTS
53852.47563;19.16;0.18;CRTS;CRTS(CL);CRTS
53858.44488;19.12;0.05;CRTS;CRTS(CL);CRTS
53858.44488;19.12;0.09;CRTS;CRTS(CL);CRTS
53858.44985;19.11;0.1;CRTS;CRTS(CL);CRTS
53858.44985;19.11;0.06;CRTS;CRTS(CL);CRTS
53858.45502;19.07;0.09;CRTS;CRTS(CL);CRTS
53858.45502;19.07;0.05;CRTS;CRTS(CL);CRTS
53858.46016;19.15;0.1;CRTS;CRTS(CL);CRTS
53858.46016;19.15;0.05;CRTS;CRTS(CL);CRTS
53940.27827;19.04;0.06;CRTS;CRTS(CL);CRTS
53940.27827;19.04;0.1;CRTS;CRTS(CL);CRTS
53940.28507;19.08;0.07;CRTS;CRTS(CL);CRTS
53940.28507;19.08;0.11;CRTS;CRTS(CL);CRTS
53940.29164;19.02;0.07;CRTS;CRTS(CL);CRTS
53940.29164;19.02;0.11;CRTS;CRTS(CL);CRTS
53940.31002;19.11;0.06;CRTS;CRTS(CL);CRTS
53940.31002;19.11;0.1;CRTS;CRTS(CL);CRTS
54011.11056;19.04;0.17;CRTS;CRTS(CL);CRTS
54011.11439;19.01;0.16;CRTS;CRTS(CL);CRTS
54011.11822;18.68;0.14;CRTS;CRTS(CL);CRTS
54011.12206;18.94;0.16;CRTS;CRTS(CL);CRTS
54037.11214;19.05;0.16;CRTS;CRTS(CL);CRTS
54037.11755;18.99;0.16;CRTS;CRTS(CL);CRTS
54037.12297;19.27;0.18;CRTS;CRTS(CL);CRTS
54037.1284;19.46;0.2;CRTS;CRTS(CL);CRTS
54408.07643;19.31;0.24;CRTS;CRTS(CL);CRTS
54408.08062;18.76;0.18;CRTS;CRTS(CL);CRTS
