MJD;Magnitude;Error;Facility;Filter;Observer
53481.45917;19.57;0.28;CRTS;CRTS(CL);CRTS
53481.46711;19.2;0.23;CRTS;CRTS(CL);CRTS
53628.18502;19.22;0.21;CRTS;CRTS(CL);CRTS
53628.19266;19.08;0.19;CRTS;CRTS(CL);CRTS
53628.20789;19.27;0.21;CRTS;CRTS(CL);CRTS
53642.19809;19.29;0.22;CRTS;CRTS(CL);CRTS
53642.20837;19.56;0.25;CRTS;CRTS(CL);CRTS
53642.21865;19.28;0.22;CRTS;CRTS(CL);CRTS
53642.22891;19.08;0.2;CRTS;CRTS(CL);CRTS
53655.18792;19.56;0.25;CRTS;CRTS(CL);CRTS
53655.19774;19.12;0.2;CRTS;CRTS(CL);CRTS
53655.20265;19.16;0.2;CRTS;CRTS(CL);CRTS
53668.10683;19.43;0.22;CRTS;CRTS(CL);CRTS
53668.11549;19.41;0.22;CRTS;CRTS(CL);CRTS
53668.1242;19.62;0.24;CRTS;CRTS(CL);CRTS
53668.13296;19.92;0.28;CRTS;CRTS(CL);CRTS
53674.15695;18.88;0.17;CRTS;CRTS(CL);CRTS
53674.16422;19.23;0.2;CRTS;CRTS(CL);CRTS
53674.1716;19.04;0.18;CRTS;CRTS(CL);CRTS
53674.17888;19.58;0.24;CRTS;CRTS(CL);CRTS
53684.09845;19.73;0.26;CRTS;CRTS(CL);CRTS
53684.10418;19.42;0.22;CRTS;CRTS(CL);CRTS
53684.10972;19.22;0.2;CRTS;CRTS(CL);CRTS
53684.11512;19.46;0.24;CRTS;CRTS(CL);CRTS
53686.18468;19.44;0.22;CRTS;CRTS(CL);CRTS
53686.19184;19.11;0.19;CRTS;CRTS(CL);CRTS
53686.20604;19.47;0.23;CRTS;CRTS(CL);CRTS
53694.12584;19.22;0.2;CRTS;CRTS(CL);CRTS
53694.1354;19.34;0.21;CRTS;CRTS(CL);CRTS
53694.14427;19.02;0.18;CRTS;CRTS(CL);CRTS
53694.15269;19.5;0.23;CRTS;CRTS(CL);CRTS
53708.10926;19.5;0.22;CRTS;CRTS(CL);CRTS
53708.11651;19.34;0.21;CRTS;CRTS(CL);CRTS
53708.12364;19.08;0.18;CRTS;CRTS(CL);CRTS
53708.13081;19.56;0.24;CRTS;CRTS(CL);CRTS
53714.0987;19.34;0.21;CRTS;CRTS(CL);CRTS
53714.11489;19.61;0.24;CRTS;CRTS(CL);CRTS
53714.12302;19.75;0.26;CRTS;CRTS(CL);CRTS
53734.1099;19.14;0.19;CRTS;CRTS(CL);CRTS
53734.11583;19.6;0.24;CRTS;CRTS(CL);CRTS
53734.12178;19.23;0.2;CRTS;CRTS(CL);CRTS
53734.12771;19.19;0.2;CRTS;CRTS(CL);CRTS
53746.07192;19.63;0.26;CRTS;CRTS(CL);CRTS
53746.08106;19.33;0.22;CRTS;CRTS(CL);CRTS
53746.09022;19.09;0.2;CRTS;CRTS(CL);CRTS
53769.10169;19.4;0.26;CRTS;CRTS(CL);CRTS
53769.10706;19.57;0.29;CRTS;CRTS(CL);CRTS
53885.43113;18.84;0.17;CRTS;CRTS(CL);CRTS
53885.43929;18.92;0.18;CRTS;CRTS(CL);CRTS
53885.4474;19.09;0.19;CRTS;CRTS(CL);CRTS
53885.45563;19.13;0.2;CRTS;CRTS(CL);CRTS
54007.19497;18.83;0.25;CRTS;CRTS(CL);CRTS
54007.20213;19.39;0.34;CRTS;CRTS(CL);CRTS
54007.20534;19.92;0.45;CRTS;CRTS(CL);CRTS
54012.18642;19.29;0.2;CRTS;CRTS(CL);CRTS
54012.18912;19.3;0.2;CRTS;CRTS(CL);CRTS
54040.12235;19.74;0.24;CRTS;CRTS(CL);CRTS
54040.12743;19.28;0.19;CRTS;CRTS(CL);CRTS
54040.1326;19.69;0.24;CRTS;CRTS(CL);CRTS
54040.1378;19.07;0.17;CRTS;CRTS(CL);CRTS
54059.07948;19.29;0.19;CRTS;CRTS(CL);CRTS
54059.08397;19.45;0.21;CRTS;CRTS(CL);CRTS
54059.08851;19.06;0.17;CRTS;CRTS(CL);CRTS
54059.09323;19.28;0.19;CRTS;CRTS(CL);CRTS
54276.34273;18.92;0.18;CRTS;CRTS(CL);CRTS
54276.34976;19.15;0.2;CRTS;CRTS(CL);CRTS
54276.35683;19.14;0.2;CRTS;CRTS(CL);CRTS
54276.36385;19.17;0.2;CRTS;CRTS(CL);CRTS
54453.16437;19.55;0.23;CRTS;CRTS(CL);CRTS
54453.17082;19.07;0.18;CRTS;CRTS(CL);CRTS
54453.17728;19.71;0.24;CRTS;CRTS(CL);CRTS
54586.46356;18.33;0.15;CRTS;CRTS(CL);CRTS
54733.13434;19.27;0.2;CRTS;CRTS(CL);CRTS
54733.14035;19.22;0.19;CRTS;CRTS(CL);CRTS
54733.14646;19.14;0.18;CRTS;CRTS(CL);CRTS
54733.15258;19.69;0.24;CRTS;CRTS(CL);CRTS
54746.28352;19.46;0.21;CRTS;CRTS(CL);CRTS
54746.28963;19.23;0.19;CRTS;CRTS(CL);CRTS
54746.29566;19.21;0.18;CRTS;CRTS(CL);CRTS
54746.30166;19.3;0.19;CRTS;CRTS(CL);CRTS
54770.11674;20.23;0.32;CRTS;CRTS(CL);CRTS
54770.12337;19.38;0.21;CRTS;CRTS(CL);CRTS
54770.12992;19.47;0.22;CRTS;CRTS(CL);CRTS
54770.13665;19.88;0.27;CRTS;CRTS(CL);CRTS
54803.14117;19.58;0.23;CRTS;CRTS(CL);CRTS
54803.1465;19.63;0.23;CRTS;CRTS(CL);CRTS
54803.15185;19.17;0.19;CRTS;CRTS(CL);CRTS
54803.1572;19.26;0.19;CRTS;CRTS(CL);CRTS
54803.16255;18.97;0.17;CRTS;CRTS(CL);CRTS
55044.3149;19.16;0.24;CRTS;CRTS(CL);CRTS
55044.32037;19.2;0.24;CRTS;CRTS(CL);CRTS
55044.32578;18.95;0.21;CRTS;CRTS(CL);CRTS
55044.3312;19.1;0.23;CRTS;CRTS(CL);CRTS
55062.37011;18.93;0.17;CRTS;CRTS(CL);CRTS
55062.37723;19.19;0.2;CRTS;CRTS(CL);CRTS
55062.39189;18.98;0.18;CRTS;CRTS(CL);CRTS
55062.39888;19.18;0.19;CRTS;CRTS(CL);CRTS
55086.25434;19.53;0.3;CRTS;CRTS(CL);CRTS
55086.25632;19.01;0.22;CRTS;CRTS(CL);CRTS
55086.27342;19.49;0.29;CRTS;CRTS(CL);CRTS
55121.10577;19.33;0.21;CRTS;CRTS(CL);CRTS
55121.11302;18.96;0.17;CRTS;CRTS(CL);CRTS
55121.12039;19.44;0.22;CRTS;CRTS(CL);CRTS
55121.12768;19.23;0.2;CRTS;CRTS(CL);CRTS
55121.13494;19.15;0.19;CRTS;CRTS(CL);CRTS
55159.23851;19.13;0.19;CRTS;CRTS(CL);CRTS
55159.24761;19.28;0.2;CRTS;CRTS(CL);CRTS
55159.25663;19.27;0.2;CRTS;CRTS(CL);CRTS
55159.26569;19.21;0.2;CRTS;CRTS(CL);CRTS
55359.44412;19.48;0.22;CRTS;CRTS(CL);CRTS
55372.3808995;16.462;0.332;ALLWISE;WISE(W1);ALLWISE
55372.5132032;16.1;0.222;ALLWISE;WISE(W1);ALLWISE
55372.6455069;16.015;0.216;ALLWISE;WISE(W1);ALLWISE
55372.7778107;15.498;0.422;ALLWISE;WISE(W2);ALLWISE
55372.7778107;16.072;0.237;ALLWISE;WISE(W1);ALLWISE
55372.8440263;16.507;0.348;ALLWISE;WISE(W1);ALLWISE
55372.9101145;15.234;0.351;ALLWISE;WISE(W2);ALLWISE
55372.9763301;16.895;0.509;ALLWISE;WISE(W1);ALLWISE
55373.0424182;16.446;0.334;ALLWISE;WISE(W1);ALLWISE
55373.0424182;15.343;0.359;ALLWISE;WISE(W2);ALLWISE
55373.1086338;16.241;0.271;ALLWISE;WISE(W1);ALLWISE
55373.174722;15.732;0.171;ALLWISE;WISE(W1);ALLWISE
55373.2408102;16.09;0.219;ALLWISE;WISE(W1);ALLWISE
55373.2409375;16.619;0.397;ALLWISE;WISE(W1);ALLWISE
55373.2409375;15.282;0.345;ALLWISE;WISE(W2);ALLWISE
55373.3070257;16.908;0.489;ALLWISE;WISE(W1);ALLWISE
55373.3731139;16.168;0.32;ALLWISE;WISE(W1);ALLWISE
55373.3731139;15.65;0.507;ALLWISE;WISE(W2);ALLWISE
55373.5054176;16.32;0.359;ALLWISE;WISE(W1);ALLWISE
55373.6377214;16.201;0.263;ALLWISE;WISE(W1);ALLWISE
55373.6377214;15.451;0.42;ALLWISE;WISE(W2);ALLWISE
55381.3770407;15.978;0.216;ALLWISE;WISE(W1);ALLWISE
55515.15414;19.38;0.21;CRTS;CRTS(CL);CRTS
55515.16465;19.39;0.22;CRTS;CRTS(CL);CRTS
55515.16974;19.34;0.21;CRTS;CRTS(CL);CRTS
55543.05667;19.32;0.23;CRTS;CRTS(CL);CRTS
55543.06739;19.7;0.29;CRTS;CRTS(CL);CRTS
55543.07248;19.05;0.21;CRTS;CRTS(CL);CRTS
55552.26145;16.187;0.264;ALLWISE;WISE(W1);ALLWISE
55552.3275386;16.297;0.279;ALLWISE;WISE(W1);ALLWISE
55552.3937545;16.026;0.22;ALLWISE;WISE(W1);ALLWISE
55552.459843;16.542;0.369;ALLWISE;WISE(W1);ALLWISE
55552.5259315;15.354;0.414;ALLWISE;WISE(W2);ALLWISE
55552.5259315;16.144;0.254;ALLWISE;WISE(W1);ALLWISE
55552.658236;16.125;0.24;ALLWISE;WISE(W1);ALLWISE
55552.7243245;16.028;0.238;ALLWISE;WISE(W1);ALLWISE
55552.7244518;15.641;0.513;ALLWISE;WISE(W2);ALLWISE
55552.7244518;15.711;0.171;ALLWISE;WISE(W1);ALLWISE
55552.9227175;16.218;0.272;ALLWISE;WISE(W1);ALLWISE
55553.0550219;16.705;0.403;ALLWISE;WISE(W1);ALLWISE
55829.33037;19.15;0.19;CRTS;CRTS(CL);CRTS
55829.33821;19.39;0.21;CRTS;CRTS(CL);CRTS
55829.34612;19.41;0.22;CRTS;CRTS(CL);CRTS
55829.35411;19.1;0.19;CRTS;CRTS(CL);CRTS
55857.20776;19.03;0.18;CRTS;CRTS(CL);CRTS
55857.21565;19.2;0.19;CRTS;CRTS(CL);CRTS
55857.22369;19.73;0.25;CRTS;CRTS(CL);CRTS
55857.23162;19.24;0.2;CRTS;CRTS(CL);CRTS
55868.17426;18.42;0.14;CRTS;CRTS(CL);CRTS
