MJD;Magnitude;Error;Facility;Filter;Observer
51334.32390000019;14.077;0.059;2MASS;2MASS(J);2MASS
51334.32390000019;13.292;0.065;2MASS;2MASS(H);2MASS
51334.32390000019;13.001;0.054;2MASS;2MASS(K);2MASS
53470.41543;14.87;0.06;CRTS;CRTS(CL);CRTS
53470.42264;14.88;0.06;CRTS;CRTS(CL);CRTS
53470.42978;14.87;0.06;CRTS;CRTS(CL);CRTS
53470.43702;14.88;0.06;CRTS;CRTS(CL);CRTS
53479.37962;14.96;0.06;CRTS;CRTS(CL);CRTS
53479.38835;14.93;0.06;CRTS;CRTS(CL);CRTS
53479.39702;14.92;0.06;CRTS;CRTS(CL);CRTS
53479.40574;14.9;0.06;CRTS;CRTS(CL);CRTS
53497.39837;14.94;0.06;CRTS;CRTS(CL);CRTS
53497.40539;14.92;0.06;CRTS;CRTS(CL);CRTS
53497.41235;14.94;0.06;CRTS;CRTS(CL);CRTS
53497.41936;14.91;0.06;CRTS;CRTS(CL);CRTS
53506.39074;14.87;0.06;CRTS;CRTS(CL);CRTS
53506.39749;14.84;0.06;CRTS;CRTS(CL);CRTS
53506.40434;14.93;0.06;CRTS;CRTS(CL);CRTS
53506.41106;14.88;0.06;CRTS;CRTS(CL);CRTS
53527.36806;14.86;0.06;CRTS;CRTS(CL);CRTS
53527.37684;14.85;0.06;CRTS;CRTS(CL);CRTS
53527.38561;14.87;0.06;CRTS;CRTS(CL);CRTS
53527.39427;14.87;0.06;CRTS;CRTS(CL);CRTS
53549.2835;14.87;0.06;CRTS;CRTS(CL);CRTS
53549.29006;14.89;0.06;CRTS;CRTS(CL);CRTS
53549.29657;14.9;0.06;CRTS;CRTS(CL);CRTS
53549.30312;14.91;0.06;CRTS;CRTS(CL);CRTS
53557.27266;14.84;0.06;CRTS;CRTS(CL);CRTS
53557.27919;14.87;0.06;CRTS;CRTS(CL);CRTS
53557.28571;14.89;0.06;CRTS;CRTS(CL);CRTS
53557.29222;14.87;0.06;CRTS;CRTS(CL);CRTS
53562.24812;14.87;0.06;CRTS;CRTS(CL);CRTS
53562.2552;14.87;0.06;CRTS;CRTS(CL);CRTS
53562.2623;14.86;0.06;CRTS;CRTS(CL);CRTS
53562.26932;14.92;0.06;CRTS;CRTS(CL);CRTS
53627.12163;14.91;0.06;CRTS;CRTS(CL);CRTS
53627.12815;14.9;0.06;CRTS;CRTS(CL);CRTS
53627.13466;14.9;0.06;CRTS;CRTS(CL);CRTS
53627.14118;14.89;0.06;CRTS;CRTS(CL);CRTS
53644.11531;14.86;0.06;CRTS;CRTS(CL);CRTS
53644.1202;14.87;0.06;CRTS;CRTS(CL);CRTS
53644.1251;14.89;0.06;CRTS;CRTS(CL);CRTS
53644.12998;14.89;0.06;CRTS;CRTS(CL);CRTS
53655.10653;14.94;0.06;CRTS;CRTS(CL);CRTS
53655.11193;14.91;0.06;CRTS;CRTS(CL);CRTS
53655.11733;14.94;0.06;CRTS;CRTS(CL);CRTS
53655.12271;14.92;0.06;CRTS;CRTS(CL);CRTS
53673.06105;14.92;0.06;CRTS;CRTS(CL);CRTS
53673.06428;14.85;0.06;CRTS;CRTS(CL);CRTS
53673.06757;14.85;0.06;CRTS;CRTS(CL);CRTS
53673.0708;14.91;0.06;CRTS;CRTS(CL);CRTS
53686.05721;14.96;0.06;CRTS;CRTS(CL);CRTS
53686.06144;14.93;0.06;CRTS;CRTS(CL);CRTS
53686.06569;14.91;0.06;CRTS;CRTS(CL);CRTS
53686.06991;14.93;0.06;CRTS;CRTS(CL);CRTS
53817.50516;14.9;0.06;CRTS;CRTS(CL);CRTS
53817.50733;14.9;0.06;CRTS;CRTS(CL);CRTS
53817.50951;14.9;0.06;CRTS;CRTS(CL);CRTS
53817.51171;14.9;0.06;CRTS;CRTS(CL);CRTS
53834.38974;14.84;0.06;CRTS;CRTS(CL);CRTS
53834.39701;14.87;0.06;CRTS;CRTS(CL);CRTS
53834.40432;14.87;0.06;CRTS;CRTS(CL);CRTS
53834.41165;14.82;0.06;CRTS;CRTS(CL);CRTS
53851.40778;14.87;0.06;CRTS;CRTS(CL);CRTS
53851.41369;14.84;0.06;CRTS;CRTS(CL);CRTS
53851.41973;14.89;0.06;CRTS;CRTS(CL);CRTS
53851.42566;14.88;0.06;CRTS;CRTS(CL);CRTS
53859.45045;14.84;0.06;CRTS;CRTS(CL);CRTS
53859.45555;14.85;0.06;CRTS;CRTS(CL);CRTS
53859.46068;14.89;0.06;CRTS;CRTS(CL);CRTS
53859.46585;14.88;0.06;CRTS;CRTS(CL);CRTS
53866.37748;14.9;0.08;CRTS;CRTS(CL);CRTS
53866.37827;14.98;0.08;CRTS;CRTS(CL);CRTS
