MJD;Magnitude;Error;Facility;Filter;Observer
53598.74109;18.07;0.3;CRTS;CRTS(CL);CRTS
53598.75213;17.74;0.25;CRTS;CRTS(CL);CRTS
53598.76366;17.44;0.22;CRTS;CRTS(CL);CRTS
53598.77441;17.78;0.25;CRTS;CRTS(CL);CRTS
53652.70405;17.78;0.27;CRTS;CRTS(CL);CRTS
53652.71345;17.84;0.28;CRTS;CRTS(CL);CRTS
53652.72281;17.51;0.23;CRTS;CRTS(CL);CRTS
53652.73201;17.56;0.24;CRTS;CRTS(CL);CRTS
53674.43549;17.71;0.1;CRTS;CRTS(CL);CRTS
53674.43978;17.64;0.1;CRTS;CRTS(CL);CRTS
53674.44414;17.82;0.11;CRTS;CRTS(CL);CRTS
53674.44845;17.71;0.1;CRTS;CRTS(CL);CRTS
53685.41154;17.71;0.1;CRTS;CRTS(CL);CRTS
53685.41793;17.62;0.1;CRTS;CRTS(CL);CRTS
53685.42432;17.66;0.1;CRTS;CRTS(CL);CRTS
53685.43069;17.68;0.1;CRTS;CRTS(CL);CRTS
53701.598;17.75;0.23;CRTS;CRTS(CL);CRTS
53701.60671;17.73;0.23;CRTS;CRTS(CL);CRTS
53701.61536;17.79;0.23;CRTS;CRTS(CL);CRTS
53701.62398;17.78;0.23;CRTS;CRTS(CL);CRTS
53709.33258;17.77;0.1;CRTS;CRTS(CL);CRTS
53709.33903;17.76;0.1;CRTS;CRTS(CL);CRTS
53709.34551;17.68;0.1;CRTS;CRTS(CL);CRTS
53709.352;17.82;0.11;CRTS;CRTS(CL);CRTS
53730.6151;17.71;0.22;CRTS;CRTS(CL);CRTS
53730.62492;17.77;0.23;CRTS;CRTS(CL);CRTS
53730.63474;17.85;0.24;CRTS;CRTS(CL);CRTS
53730.64456;17.8;0.23;CRTS;CRTS(CL);CRTS
53772.16946;17.62;0.1;CRTS;CRTS(CL);CRTS
53820.42878;17.59;0.18;CRTS;CRTS(CL);CRTS
53820.43427;17.65;0.19;CRTS;CRTS(CL);CRTS
53820.43959;17.8;0.2;CRTS;CRTS(CL);CRTS
53820.44493;17.63;0.19;CRTS;CRTS(CL);CRTS
53967.7364;17.67;0.22;CRTS;CRTS(CL);CRTS
53967.74568;17.7;0.22;CRTS;CRTS(CL);CRTS
53967.75476;17.69;0.22;CRTS;CRTS(CL);CRTS
53967.76386;17.65;0.21;CRTS;CRTS(CL);CRTS
54008.73579;17.59;0.2;CRTS;CRTS(CL);CRTS
54008.74697;17.68;0.21;CRTS;CRTS(CL);CRTS
54008.75835;17.67;0.21;CRTS;CRTS(CL);CRTS
54008.76973;17.55;0.2;CRTS;CRTS(CL);CRTS
54021.74212;17.65;0.21;CRTS;CRTS(CL);CRTS
54021.75142;17.61;0.21;CRTS;CRTS(CL);CRTS
54021.76036;17.89;0.24;CRTS;CRTS(CL);CRTS
54021.76906;17.55;0.2;CRTS;CRTS(CL);CRTS
54053.6528;17.74;0.22;CRTS;CRTS(CL);CRTS
54053.65922;17.78;0.27;CRTS;CRTS(CL);CRTS
54053.66565;17.55;0.2;CRTS;CRTS(CL);CRTS
54053.67209;17.82;0.23;CRTS;CRTS(CL);CRTS
54064.34551;17.66;0.1;CRTS;CRTS(CL);CRTS
54064.35212;17.73;0.1;CRTS;CRTS(CL);CRTS
54064.35869;17.54;0.1;CRTS;CRTS(CL);CRTS
54064.36525;17.7;0.1;CRTS;CRTS(CL);CRTS
54095.57862;17.73;0.27;CRTS;CRTS(CL);CRTS
54095.58462;17.7;0.36;CRTS;CRTS(CL);CRTS
54095.59069;17.76;0.26;CRTS;CRTS(CL);CRTS
54095.59669;17.91;0.33;CRTS;CRTS(CL);CRTS
54111.55591;17.62;0.18;CRTS;CRTS(CL);CRTS
54111.57172;17.54;0.17;CRTS;CRTS(CL);CRTS
54111.58756;17.77;0.19;CRTS;CRTS(CL);CRTS
54111.60342;17.66;0.18;CRTS;CRTS(CL);CRTS
54168.46108;17.76;0.24;CRTS;CRTS(CL);CRTS
54168.46953;17.72;0.24;CRTS;CRTS(CL);CRTS
54168.478;17.39;0.2;CRTS;CRTS(CL);CRTS
54168.48651;17.79;0.25;CRTS;CRTS(CL);CRTS
54185.42235;17.68;0.18;CRTS;CRTS(CL);CRTS
54185.42893;17.54;0.17;CRTS;CRTS(CL);CRTS
54185.43555;17.8;0.19;CRTS;CRTS(CL);CRTS
54185.44215;17.84;0.2;CRTS;CRTS(CL);CRTS
54201.40281;17.45;0.29;CRTS;CRTS(CL);CRTS
54201.4105;17.27;0.23;CRTS;CRTS(CL);CRTS
54201.41823;17.61;0.32;CRTS;CRTS(CL);CRTS
54201.42594;17.62;0.25;CRTS;CRTS(CL);CRTS
54208.40285;17.7;0.24;CRTS;CRTS(CL);CRTS
54208.40686;17.66;0.24;CRTS;CRTS(CL);CRTS
54208.41086;17.45;0.21;CRTS;CRTS(CL);CRTS
54208.41487;17.77;0.25;CRTS;CRTS(CL);CRTS
54319.79761;17.53;0.2;CRTS;CRTS(CL);CRTS
54319.80878;17.81;0.22;CRTS;CRTS(CL);CRTS
54319.82011;17.47;0.19;CRTS;CRTS(CL);CRTS
54363.73642;17.72;0.22;CRTS;CRTS(CL);CRTS
54363.7458;17.65;0.21;CRTS;CRTS(CL);CRTS
54363.75569;17.91;0.24;CRTS;CRTS(CL);CRTS
54363.76593;17.65;0.21;CRTS;CRTS(CL);CRTS
54387.46987;17.6;0.1;CRTS;CRTS(CL);CRTS
54387.47767;17.73;0.1;CRTS;CRTS(CL);CRTS
54387.48532;17.8;0.1;CRTS;CRTS(CL);CRTS
54387.49299;17.76;0.1;CRTS;CRTS(CL);CRTS
