MJD;Magnitude;Error;Facility;Filter;Observer
53674.44992;18.65;0.15;CRTS;CRTS(CL);CRTS
53674.45635;18.55;0.14;CRTS;CRTS(CL);CRTS
53674.46308;18.9;0.17;CRTS;CRTS(CL);CRTS
53674.46966;18.55;0.14;CRTS;CRTS(CL);CRTS
53685.41259;18.44;0.14;CRTS;CRTS(CL);CRTS
53685.41898;18.36;0.13;CRTS;CRTS(CL);CRTS
53685.42537;18.55;0.14;CRTS;CRTS(CL);CRTS
53685.43176;18.54;0.14;CRTS;CRTS(CL);CRTS
53709.33364;18.92;0.17;CRTS;CRTS(CL);CRTS
53709.34009;18.61;0.14;CRTS;CRTS(CL);CRTS
53709.34658;18.72;0.15;CRTS;CRTS(CL);CRTS
53709.35305;18.76;0.15;CRTS;CRTS(CL);CRTS
53772.1342;18.77;0.16;CRTS;CRTS(CL);CRTS
53772.14006;18.63;0.15;CRTS;CRTS(CL);CRTS
53772.14592;18.8;0.16;CRTS;CRTS(CL);CRTS
53772.15551;18.4;0.14;CRTS;CRTS(CL);CRTS
54040.39765;18.92;0.16;CRTS;CRTS(CL);CRTS
54040.40618;18.8;0.15;CRTS;CRTS(CL);CRTS
54040.41263;18.47;0.13;CRTS;CRTS(CL);CRTS
54040.41911;18.38;0.13;CRTS;CRTS(CL);CRTS
54058.40291;18.39;0.12;CRTS;CRTS(CL);CRTS
54058.40948;18.58;0.14;CRTS;CRTS(CL);CRTS
54058.41605;18.78;0.15;CRTS;CRTS(CL);CRTS
54058.42258;18.64;0.14;CRTS;CRTS(CL);CRTS
54064.34718;18.7;0.15;CRTS;CRTS(CL);CRTS
54064.35376;18.79;0.15;CRTS;CRTS(CL);CRTS
54064.36033;18.29;0.12;CRTS;CRTS(CL);CRTS
54064.36687;18.47;0.13;CRTS;CRTS(CL);CRTS
54085.24587;18.49;0.14;CRTS;CRTS(CL);CRTS
54085.25593;18.75;0.15;CRTS;CRTS(CL);CRTS
54085.266;18.49;0.14;CRTS;CRTS(CL);CRTS
54085.27613;18.47;0.13;CRTS;CRTS(CL);CRTS
