MJD;Magnitude;Error;Facility;Filter;Observer
51014.3097000001;15.932;0.091;2MASS;2MASS(J);2MASS
51014.3097000001;15.125;0.113;2MASS;2MASS(H);2MASS
51014.3097000001;14.598;0.096;2MASS;2MASS(K);2MASS
55362.6017544;14.016;0.059;ALLWISE;WISE(W1);ALLWISE
55362.6017544;13.956;0.13;ALLWISE;WISE(W2);ALLWISE
55362.7340582;13.87;0.121;ALLWISE;WISE(W2);ALLWISE
55362.7340582;14.088;0.063;ALLWISE;WISE(W1);ALLWISE
55362.8662347;14.14;0.057;ALLWISE;WISE(W1);ALLWISE
55362.8662347;13.925;0.118;ALLWISE;WISE(W2);ALLWISE
55362.866362;14.069;0.06;ALLWISE;WISE(W1);ALLWISE
55362.866362;13.978;0.13;ALLWISE;WISE(W2);ALLWISE
55362.9985385;14.033;0.055;ALLWISE;WISE(W1);ALLWISE
55362.9985385;13.84;0.118;ALLWISE;WISE(W2);ALLWISE
55363.0647541;13.594;0.096;ALLWISE;WISE(W2);ALLWISE
55363.0647541;14.042;0.056;ALLWISE;WISE(W1);ALLWISE
55363.1308423;14.137;0.061;ALLWISE;WISE(W1);ALLWISE
55363.1308423;14.153;0.176;ALLWISE;WISE(W2);ALLWISE
55363.1970578;14.04;0.053;ALLWISE;WISE(W1);ALLWISE
55363.1970578;13.782;0.121;ALLWISE;WISE(W2);ALLWISE
55363.2631461;14.048;0.055;ALLWISE;WISE(W1);ALLWISE
55363.2631461;13.881;0.12;ALLWISE;WISE(W2);ALLWISE
55363.3293616;14.022;0.052;ALLWISE;WISE(W1);ALLWISE
55363.3293616;13.911;0.122;ALLWISE;WISE(W2);ALLWISE
55363.4616654;14.048;0.058;ALLWISE;WISE(W1);ALLWISE
55363.4616654;13.792;0.122;ALLWISE;WISE(W2);ALLWISE
55363.5939692;14.085;0.058;ALLWISE;WISE(W1);ALLWISE
55363.5939692;13.826;0.12;ALLWISE;WISE(W2);ALLWISE
55363.7262731;13.915;0.117;ALLWISE;WISE(W2);ALLWISE
55363.7262731;14.047;0.06;ALLWISE;WISE(W1);ALLWISE
55540.1485282;14.07;0.053;ALLWISE;WISE(W1);ALLWISE
55540.1485282;13.888;0.12;ALLWISE;WISE(W2);ALLWISE
55540.2808327;14.026;0.058;ALLWISE;WISE(W1);ALLWISE
55540.2808327;13.751;0.113;ALLWISE;WISE(W2);ALLWISE
55540.4130097;14.233;0.079;ALLWISE;WISE(W1);ALLWISE
55540.4130097;14.146;0.156;ALLWISE;WISE(W2);ALLWISE
55540.4131371;14.12;0.06;ALLWISE;WISE(W1);ALLWISE
55540.4131371;13.904;0.121;ALLWISE;WISE(W2);ALLWISE
55540.5453141;13.951;0.05;ALLWISE;WISE(W1);ALLWISE
55540.5453141;13.823;0.121;ALLWISE;WISE(W2);ALLWISE
55540.6114027;14.061;0.063;ALLWISE;WISE(W1);ALLWISE
55540.61153;14.178;0.067;ALLWISE;WISE(W1);ALLWISE
55540.61153;13.923;0.135;ALLWISE;WISE(W2);ALLWISE
55540.6776185;14.13;0.057;ALLWISE;WISE(W1);ALLWISE
55540.6776185;13.93;0.132;ALLWISE;WISE(W2);ALLWISE
55540.743707;14.292;0.086;ALLWISE;WISE(W1);ALLWISE
55540.743707;13.834;0.122;ALLWISE;WISE(W2);ALLWISE
55540.8099229;14.078;0.066;ALLWISE;WISE(W1);ALLWISE
55540.8099229;13.845;0.119;ALLWISE;WISE(W2);ALLWISE
55540.8760115;14.016;0.055;ALLWISE;WISE(W1);ALLWISE
55540.8760115;14.025;0.164;ALLWISE;WISE(W2);ALLWISE
55541.0083158;14.185;0.07;ALLWISE;WISE(W1);ALLWISE
55541.0083158;13.853;0.124;ALLWISE;WISE(W2);ALLWISE
55541.1404929;14.026;0.053;ALLWISE;WISE(W1);ALLWISE
