MJD;Magnitude;Error;Facility;Filter;Observer
53671.39838;19.15;0.18;CRTS;CRTS(CL);CRTS
53671.40435;20.38;0.35;CRTS;CRTS(CL);CRTS
53671.41031;19.9;0.27;CRTS;CRTS(CL);CRTS
53725.44332;19.2;0.19;CRTS;CRTS(CL);CRTS
53734.26517;19.23;0.19;CRTS;CRTS(CL);CRTS
53734.27265;19.62;0.22;CRTS;CRTS(CL);CRTS
53734.28008;19.32;0.19;CRTS;CRTS(CL);CRTS
53734.28751;19.43;0.2;CRTS;CRTS(CL);CRTS
53742.29707;20.0;0.28;CRTS;CRTS(CL);CRTS
53742.29811;19.34;0.2;CRTS;CRTS(CL);CRTS
53742.30434;19.24;0.19;CRTS;CRTS(CL);CRTS
53742.30988;19.4;0.2;CRTS;CRTS(CL);CRTS
53742.31042;19.86;0.26;CRTS;CRTS(CL);CRTS
53742.31587;19.2;0.19;CRTS;CRTS(CL);CRTS
53742.31641;19.62;0.22;CRTS;CRTS(CL);CRTS
53757.34488;19.78;0.25;CRTS;CRTS(CL);CRTS
53757.35238;19.33;0.2;CRTS;CRTS(CL);CRTS
53757.35987;19.36;0.2;CRTS;CRTS(CL);CRTS
53762.20048;19.45;0.21;CRTS;CRTS(CL);CRTS
53762.2136;20.45;0.38;CRTS;CRTS(CL);CRTS
53762.22169;19.73;0.29;CRTS;CRTS(CL);CRTS
53770.16181;19.44;0.21;CRTS;CRTS(CL);CRTS
53770.16962;19.87;0.26;CRTS;CRTS(CL);CRTS
53770.17796;19.76;0.25;CRTS;CRTS(CL);CRTS
53788.10533;19.33;0.23;CRTS;CRTS(CL);CRTS
53788.11188;19.59;0.25;CRTS;CRTS(CL);CRTS
53794.15506;19.34;0.2;CRTS;CRTS(CL);CRTS
53794.15613;18.44;0.13;CRTS;CRTS(CL);CRTS
53794.16263;19.54;0.22;CRTS;CRTS(CL);CRTS
53794.1697;19.25;0.19;CRTS;CRTS(CL);CRTS
53794.17023;19.12;0.18;CRTS;CRTS(CL);CRTS
53794.17617;19.63;0.23;CRTS;CRTS(CL);CRTS
53794.17671;19.56;0.23;CRTS;CRTS(CL);CRTS
54095.25087;19.16;0.16;CRTS;CRTS(CL);CRTS
54095.26121;19.41;0.18;CRTS;CRTS(CL);CRTS
54095.27154;19.38;0.19;CRTS;CRTS(CL);CRTS
54170.13645;20.33;0.32;CRTS;CRTS(CL);CRTS
54170.1636;19.64;0.22;CRTS;CRTS(CL);CRTS
54353.44335;19.68;0.24;CRTS;CRTS(CL);CRTS
54353.45764;19.46;0.21;CRTS;CRTS(CL);CRTS
54353.46479;18.98;0.17;CRTS;CRTS(CL);CRTS
54413.43425;20.27;0.32;CRTS;CRTS(CL);CRTS
54413.43761;19.42;0.21;CRTS;CRTS(CL);CRTS
54413.43816;19.66;0.23;CRTS;CRTS(CL);CRTS
54413.44215;19.54;0.22;CRTS;CRTS(CL);CRTS
54413.44561;20.51;0.42;CRTS;CRTS(CL);CRTS
54425.3104;19.34;0.19;CRTS;CRTS(CL);CRTS
54451.3793;19.97;0.26;CRTS;CRTS(CL);CRTS
54451.37983;19.9;0.26;CRTS;CRTS(CL);CRTS
54451.38317;19.4;0.2;CRTS;CRTS(CL);CRTS
54451.38372;19.66;0.23;CRTS;CRTS(CL);CRTS
54451.38703;19.39;0.2;CRTS;CRTS(CL);CRTS
54451.38757;19.59;0.22;CRTS;CRTS(CL);CRTS
54451.39138;19.82;0.25;CRTS;CRTS(CL);CRTS
54464.43734;19.75;0.24;CRTS;CRTS(CL);CRTS
54476.26581;20.07;0.28;CRTS;CRTS(CL);CRTS
54476.26636;19.17;0.18;CRTS;CRTS(CL);CRTS
54476.2735;19.31;0.19;CRTS;CRTS(CL);CRTS
54476.27404;19.61;0.22;CRTS;CRTS(CL);CRTS
54476.28121;19.25;0.18;CRTS;CRTS(CL);CRTS
54476.28222;19.22;0.18;CRTS;CRTS(CL);CRTS
54534.19145;19.72;0.24;CRTS;CRTS(CL);CRTS
54534.20608;19.41;0.2;CRTS;CRTS(CL);CRTS
54586.12939;19.78;0.25;CRTS;CRTS(CL);CRTS
54586.13446;19.4;0.21;CRTS;CRTS(CL);CRTS
54586.1395;19.19;0.19;CRTS;CRTS(CL);CRTS
54586.14458;19.6;0.23;CRTS;CRTS(CL);CRTS
54598.16203;19.99;0.39;CRTS;CRTS(CL);CRTS
54769.42943;19.92;0.26;CRTS;CRTS(CL);CRTS
54769.43736;19.3;0.19;CRTS;CRTS(CL);CRTS
54769.44539;19.74;0.23;CRTS;CRTS(CL);CRTS
54769.45336;19.3;0.19;CRTS;CRTS(CL);CRTS
54793.3648;20.03;0.3;CRTS;CRTS(CL);CRTS
54793.36858;19.92;0.27;CRTS;CRTS(CL);CRTS
54793.36919;19.88;0.26;CRTS;CRTS(CL);CRTS
54793.38476;19.39;0.2;CRTS;CRTS(CL);CRTS
54793.38537;19.41;0.22;CRTS;CRTS(CL);CRTS
54793.40306;19.79;0.24;CRTS;CRTS(CL);CRTS
54793.40362;19.6;0.22;CRTS;CRTS(CL);CRTS
