MJD;Magnitude;Error;Facility;Filter;Observer
53710.07279;18.793;0.155;CRTS;CSS-V;CSS
53710.07918;18.506;0.137;CRTS;CSS-V;CSS
53710.08555;18.812;0.157;CRTS;CSS-V;CSS
53710.09191;18.748;0.153;CRTS;CSS-V;CSS
53560.40472;18.401;0.135;CRTS;CSS-V;CSS
53560.41177;18.505;0.141;CRTS;CSS-V;CSS
53560.41886;18.521;0.141;CRTS;CSS-V;CSS
53560.42591;18.678;0.151;CRTS;CSS-V;CSS
53702.08604;18.448;0.134;CRTS;CSS-V;CSS
53702.09259;18.419;0.133;CRTS;CSS-V;CSS
53702.09914;18.517;0.139;CRTS;CSS-V;CSS
53702.1057;18.834;0.159;CRTS;CSS-V;CSS
53654.22108;18.374;0.137;CRTS;CSS-V;CSS
53654.22646;18.755;0.161;CRTS;CSS-V;CSS
53654.23188;18.743;0.16;CRTS;CSS-V;CSS
53654.23732;18.909;0.172;CRTS;CSS-V;CSS
53636.23564;18.657;0.155;CRTS;CSS-V;CSS
53636.24206;18.676;0.157;CRTS;CSS-V;CSS
53636.24851;18.634;0.154;CRTS;CSS-V;CSS
53636.25498;18.673;0.156;CRTS;CSS-V;CSS
54081.14492;18.816;0.154;CRTS;CSS-V;CSS
54081.15044;18.696;0.147;CRTS;CSS-V;CSS
54081.15594;18.692;0.147;CRTS;CSS-V;CSS
54081.16144;18.685;0.146;CRTS;CSS-V;CSS
54093.0884;18.756;0.148;CRTS;CSS-V;CSS
54093.09596;18.671;0.143;CRTS;CSS-V;CSS
54093.10346;18.448;0.13;CRTS;CSS-V;CSS
54093.11098;18.613;0.14;CRTS;CSS-V;CSS
53744.07314;18.587;0.15;CRTS;CSS-V;CSS
53744.07791;18.67;0.156;CRTS;CSS-V;CSS
53744.08268;19.077;0.189;CRTS;CSS-V;CSS
53744.08746;19.177;0.198;CRTS;CSS-V;CSS
53937.38745;18.582;0.156;CRTS;CSS-V;CSS
53937.39632;18.576;0.156;CRTS;CSS-V;CSS
53937.40518;18.82;0.174;CRTS;CSS-V;CSS
53937.41407;18.782;0.171;CRTS;CSS-V;CSS
54024.17326;18.458;0.13;CRTS;CSS-V;CSS
54024.18086;18.805;0.15;CRTS;CSS-V;CSS
54024.18845;18.851;0.153;CRTS;CSS-V;CSS
54024.19607;18.586;0.136;CRTS;CSS-V;CSS
53992.31967;18.737;0.147;CRTS;CSS-V;CSS
53992.3268;18.655;0.142;CRTS;CSS-V;CSS
53992.33395;18.585;0.138;CRTS;CSS-V;CSS
53992.3411;19.002;0.165;CRTS;CSS-V;CSS
54008.24493;18.683;0.143;CRTS;CSS-V;CSS
54008.25467;18.413;0.128;CRTS;CSS-V;CSS
54008.26442;18.638;0.14;CRTS;CSS-V;CSS
54008.27418;18.693;0.143;CRTS;CSS-V;CSS
54454.1265;18.431;0.131;CRTS;CSS-V;CSS
54454.13294;18.734;0.148;CRTS;CSS-V;CSS
54454.13943;18.929;0.162;CRTS;CSS-V;CSS
54454.14589;18.29;0.124;CRTS;CSS-V;CSS
54109.08699;18.304;0.131;CRTS;CSS-V;CSS
54109.09132;17.873;0.11;CRTS;CSS-V;CSS
54109.09575;18.73;0.156;CRTS;CSS-V;CSS
54109.10021;18.335;0.133;CRTS;CSS-V;CSS
54406.15013;18.62;0.14;CRTS;CSS-V;CSS
54406.15727;18.671;0.143;CRTS;CSS-V;CSS
54406.16441;18.746;0.148;CRTS;CSS-V;CSS
54406.17156;18.744;0.147;CRTS;CSS-V;CSS
54415.14862;18.641;0.141;CRTS;CSS-V;CSS
54415.15518;18.792;0.151;CRTS;CSS-V;CSS
54415.16176;18.468;0.132;CRTS;CSS-V;CSS
54415.16837;18.603;0.139;CRTS;CSS-V;CSS
54421.07414;18.455;0.133;CRTS;CSS-V;CSS
54421.08162;18.399;0.131;CRTS;CSS-V;CSS
54421.08912;18.796;0.154;CRTS;CSS-V;CSS
54421.09661;18.262;0.124;CRTS;CSS-V;CSS
54377.23007;18.764;0.15;CRTS;CSS-V;CSS
54377.23823;18.511;0.135;CRTS;CSS-V;CSS
54377.24639;18.449;0.131;CRTS;CSS-V;CSS
54377.2545;18.683;0.145;CRTS;CSS-V;CSS
54386.18745;18.302;0.123;CRTS;CSS-V;CSS
54386.19465;18.538;0.136;CRTS;CSS-V;CSS
54386.20185;18.883;0.157;CRTS;CSS-V;CSS
54386.20908;18.694;0.144;CRTS;CSS-V;CSS
54388.21799;18.716;0.146;CRTS;CSS-V;CSS
54388.22608;18.693;0.144;CRTS;CSS-V;CSS
54388.23413;18.89;0.157;CRTS;CSS-V;CSS
54388.24217;18.739;0.147;CRTS;CSS-V;CSS
54346.28079;19.112;0.177;CRTS;CSS-V;CSS
54346.28798;18.686;0.146;CRTS;CSS-V;CSS
54346.29516;18.431;0.131;CRTS;CSS-V;CSS
54346.30234;18.766;0.151;CRTS;CSS-V;CSS
54355.23102;18.771;0.154;CRTS;CSS-V;CSS
54355.23752;18.841;0.158;CRTS;CSS-V;CSS
54355.24403;18.845;0.17;CRTS;CSS-V;CSS
54355.25052;18.532;0.142;CRTS;CSS-V;CSS
54466.08532;18.744;0.147;CRTS;CSS-V;CSS
54466.09078;18.914;0.159;CRTS;CSS-V;CSS
54466.09621;18.625;0.14;CRTS;CSS-V;CSS
54466.10172;18.625;0.14;CRTS;CSS-V;CSS
54477.07279;18.385;0.154;CRTS;CSS-V;CSS
54477.07699;18.131;0.139;CRTS;CSS-V;CSS
