MJD;Magnitude;Error;Facility;Filter;Observer
55326.55;25.43;1.49;PANSTARRS;gPS1;PANSTARRS
55329.53;24.09;0.46;PANSTARRS;gPS1;PANSTARRS
55332.43;23.96;0.39;PANSTARRS;gPS1;PANSTARRS
55335.43;23.3;0.24;PANSTARRS;gPS1;PANSTARRS
55338.43;22.75;0.24;PANSTARRS;gPS1;PANSTARRS
55347.45;21.84;0.08;PANSTARRS;gPS1;PANSTARRS
55350.51;21.5;0.05;PANSTARRS;gPS1;PANSTARRS
55353.42;21.25;0.03;PANSTARRS;gPS1;PANSTARRS
55362.37;20.56;0.02;PANSTARRS;gPS1;PANSTARRS
55365.33;20.4;0.02;PANSTARRS;gPS1;PANSTARRS
55368.4;20.31;0.02;PANSTARRS;gPS1;PANSTARRS
55377.44;20.02;0.01;PANSTARRS;gPS1;PANSTARRS
55389.31;19.78;0.01;PANSTARRS;gPS1;PANSTARRS
55407.34;19.91;0.01;PANSTARRS;gPS1;PANSTARRS
55413.32;20.07;0.01;PANSTARRS;gPS1;PANSTARRS
55416.3;20.12;0.01;PANSTARRS;gPS1;PANSTARRS
55422.29;20.36;0.02;PANSTARRS;gPS1;PANSTARRS
55425.26;20.38;0.02;PANSTARRS;gPS1;PANSTARRS
55428.27;20.47;0.02;PANSTARRS;gPS1;PANSTARRS
55437.26;20.75;0.02;PANSTARRS;gPS1;PANSTARRS
55440.29;20.69;0.02;PANSTARRS;gPS1;PANSTARRS
55443.26;20.82;0.02;PANSTARRS;gPS1;PANSTARRS
55446.27;20.84;0.03;PANSTARRS;gPS1;PANSTARRS
55449.23;20.9;0.03;PANSTARRS;gPS1;PANSTARRS
55452.25;20.94;0.03;PANSTARRS;gPS1;PANSTARRS
55602.62;22.47;0.1;PANSTARRS;gPS1;PANSTARRS
55674.51;23.03;0.2;PANSTARRS;gPS1;PANSTARRS
55677.58;22.77;0.13;PANSTARRS;gPS1;PANSTARRS
55701.57;23.1;0.29;PANSTARRS;gPS1;PANSTARRS
55710.46;22.99;0.16;PANSTARRS;gPS1;PANSTARRS
55737.39;22.75;0.14;PANSTARRS;gPS1;PANSTARRS
55740.38;23.09;0.28;PANSTARRS;gPS1;PANSTARRS
55743.32;23.2;0.19;PANSTARRS;gPS1;PANSTARRS
55746.33;22.74;0.12;PANSTARRS;gPS1;PANSTARRS
55752.31;22.74;0.19;PANSTARRS;gPS1;PANSTARRS
55761.28;23.28;0.21;PANSTARRS;gPS1;PANSTARRS
55764.28;23.54;0.38;PANSTARRS;gPS1;PANSTARRS
55767.28;22.96;0.16;PANSTARRS;gPS1;PANSTARRS
55770.28;22.49;0.1;PANSTARRS;gPS1;PANSTARRS
55773.28;22.81;0.14;PANSTARRS;gPS1;PANSTARRS
55776.3;23.04;0.16;PANSTARRS;gPS1;PANSTARRS
55779.27;24.08;0.6;PANSTARRS;gPS1;PANSTARRS
55791.29;22.96;0.15;PANSTARRS;gPS1;PANSTARRS
55794.27;23.07;0.16;PANSTARRS;gPS1;PANSTARRS
55797.27;23.14;0.18;PANSTARRS;gPS1;PANSTARRS
55800.25;22.87;0.2;PANSTARRS;gPS1;PANSTARRS
55803.28;24.01;0.43;PANSTARRS;gPS1;PANSTARRS
54958.4905272;21.100860595703125;0.1642273515462875;PTF;PTF(R);PTF
54966.2264972;21.39745330810547;0.1674540042877197;PTF;PTF(R);PTF
54966.3705672;21.08840751647949;0.1620594710111618;PTF;PTF(R);PTF
54968.2507272;21.16754913330078;0.1498444974422454;PTF;PTF(R);PTF
54968.3964072;21.044511795043945;0.1719080507755279;PTF;PTF(R);PTF
54972.3243572;20.82788848876953;0.153748407959938;PTF;PTF(R);PTF
55003.3637672;21.160505294799805;0.1413897275924682;PTF;PTF(R);PTF
55031.2529472;20.86767578125;0.1540722995996475;PTF;PTF(R);PTF
55031.3356172;21.064456939697266;0.1524604260921478;PTF;PTF(R);PTF
55041.3271572;20.569047927856445;0.1497930884361267;PTF;PTF(R);PTF
55062.2273672;20.558338165283203;0.143144816160202;PTF;PTF(R);PTF
55069.2208872;21.006244659423828;0.1980211585760116;PTF;PTF(R);PTF
55217.3675004;16.463;0.302;ALLWISE;WISE(W1);ALLWISE
55218.5585462;16.462;0.285;ALLWISE;WISE(W1);ALLWISE
55318.2567372;20.544286727905277;0.1498724222183227;PTF;PTF(R);PTF
55323.2555172;21.27622413635254;0.1597688943147659;PTF;PTF(R);PTF
55323.2989172;21.089235305786133;0.1511407345533371;PTF;PTF(R);PTF
55337.4807472;20.76186180114746;0.1611470133066177;PTF;PTF(R);PTF
55351.2872872;20.559850692749023;0.0978318005800247;PTF;PTF(R);PTF
55351.3311372;20.754379272460938;0.1341067403554916;PTF;PTF(R);PTF
55356.1903472;20.61354255676269;0.1086770072579383;PTF;PTF(R);PTF
55356.2548372;20.492481231689453;0.0902114510536193;PTF;PTF(R);PTF
55356.3155072;20.379302978515625;0.096955232322216;PTF;PTF(R);PTF
55356.4394172;20.492544174194336;0.0949286073446273;PTF;PTF(R);PTF
55357.1819472;20.393779754638672;0.1311328262090683;PTF;PTF(R);PTF
55362.26646;20.4;0.34;CRTS;CRTS(CL);CRTS
55362.3986072;20.405317306518555;0.0863101929426193;PTF;PTF(R);PTF
55362.4449872;20.429882049560547;0.1151509806513786;PTF;PTF(R);PTF
55367.25602;20.07;0.28;CRTS;CRTS(CL);CRTS
55367.27323;19.44;0.21;CRTS;CRTS(CL);CRTS
55367.3982472;20.02427291870117;0.0956374928355217;PTF;PTF(R);PTF
55367.4415672;20.336990356445312;0.0974131152033805;PTF;PTF(R);PTF
55373.3097172;20.123735427856445;0.1546104997396469;PTF;PTF(R);PTF
55373.3621872;20.01891326904297;0.1244391575455665;PTF;PTF(R);PTF
55378.3789072;20.035783767700195;0.1013141795992851;PTF;PTF(R);PTF
55378.4264972;20.33585548400879;0.1321899890899658;PTF;PTF(R);PTF
55393.7341338;16.942;0.419;ALLWISE;WISE(W1);ALLWISE
55394.0648296;16.518;0.296;ALLWISE;WISE(W1);ALLWISE
55394.3956526;15.19;0.379;ALLWISE;WISE(W2);ALLWISE
55394.5279564;16.817;0.407;ALLWISE;WISE(W1);ALLWISE
55394.7925644;15.76;0.489;ALLWISE;WISE(W2);ALLWISE
55394.7925644;16.694;0.427;ALLWISE;WISE(W1);ALLWISE
55394.9247408;17.128;0.521;ALLWISE;WISE(W1);ALLWISE
55394.9248682;16.875;0.502;ALLWISE;WISE(W1);ALLWISE
55396.2477784;16.767;0.37;ALLWISE;WISE(W1);ALLWISE
55396.4461703;17.102;0.474;ALLWISE;WISE(W1);ALLWISE
55396.5123858;17.181;0.524;ALLWISE;WISE(W1);ALLWISE
55396.776866;17.121;0.504;ALLWISE;WISE(W1);ALLWISE
55396.7769933;15.371;0.394;ALLWISE;WISE(W2);ALLWISE
55397.1076891;15.546;0.495;ALLWISE;WISE(W2);ALLWISE
55397.306081;16.742;0.351;ALLWISE;WISE(W1);ALLWISE
55397.3722966;16.825;0.436;ALLWISE;WISE(W1);ALLWISE
55465.1586172;20.21222305297852;0.1733603477478027;PTF;PTF(R);PTF
55580.1812399;15.524;0.454;ALLWISE;WISE(W2);ALLWISE
55580.6441142;16.449;0.303;ALLWISE;WISE(W1);ALLWISE
55581.5698574;15.632;0.512;ALLWISE;WISE(W2);ALLWISE
55581.7021617;16.332;0.284;ALLWISE;WISE(W1);ALLWISE
55581.7021617;15.336;0.415;ALLWISE;WISE(W2);ALLWISE
55581.7683775;15.575;0.515;ALLWISE;WISE(W2);ALLWISE
55582.2312516;16.807;0.415;ALLWISE;WISE(W1);ALLWISE
55653.45494;20.63;0.39;CRTS;CRTS(CL);CRTS
56563.16557;19.32;0.2;CRTS;CRTS(CL);CRTS
56563.17228;20.37;0.34;CRTS;CRTS(CL);CRTS
56678.45515581;16.874;0.481;NEOWISE;WISE(W1);NEOWISE
56678.45515581;15.425;0.496;NEOWISE;WISE(W2);NEOWISE
56681.28791931;15.876;0.231;NEOWISE;WISE(W1);NEOWISE
56681.48567536;13.429;0.131;NEOWISE;WISE(W2);NEOWISE
57044.89075461;15.945;0.239;NEOWISE;WISE(W1);NEOWISE
57045.15358069;14.751;0.489;NEOWISE;WISE(W2);NEOWISE
57135.46483;21.42;0.61;CRTS;CRTS(CL);CRTS
57141.4728;20.9;0.45;CRTS;CRTS(CL);CRTS
57216.15560851;16.343;0.247;NEOWISE;WISE(W1);NEOWISE
57448.610238;19.743;0.368;ATLAS;ATLAS(c);ATLAS
57545.398628;20.557;0.755;ATLAS;ATLAS(c);ATLAS
57576.73987045;16.046;0.344;NEOWISE;WISE(W1);NEOWISE
57605.341065;20.46;0.654;ATLAS;ATLAS(c);ATLAS
57621.301735;17.652;0.141;ATLAS;ATLAS(o);ATLAS
57772.21661574;16.491;0.504;NEOWISE;WISE(W1);NEOWISE
57772.34764706;16.033;0.214;NEOWISE;WISE(W1);NEOWISE
57778.668397;20.406;0.764;ATLAS;ATLAS(c);ATLAS
57778.680762;17.91;0.488;ATLAS;ATLAS(c);ATLAS
57794.597466;19.647;0.953;ATLAS;ATLAS(o);ATLAS
57794.617441;19.043;0.807;ATLAS;ATLAS(o);ATLAS
57798.614275;18.927;0.728;ATLAS;ATLAS(o);ATLAS
57822.61187;19.442;0.522;ATLAS;ATLAS(o);ATLAS
57838.60532;20.415;0.842;ATLAS;ATLAS(c);ATLAS
57854.498109;19.155;0.573;ATLAS;ATLAS(o);ATLAS
57870.558572;20.747;0.436;ATLAS;ATLAS(c);ATLAS
57870.609237;21.022;0.627;ATLAS;ATLAS(c);ATLAS
57882.470239;20.313;0.611;ATLAS;ATLAS(o);ATLAS
57887.528711;20.503;0.942;ATLAS;ATLAS(o);ATLAS
57899.486066;21.112;0.986;ATLAS;ATLAS(o);ATLAS
57902.495238;19.074;0.66;ATLAS;ATLAS(c);ATLAS
57906.511241;21.541;0.929;ATLAS;ATLAS(o);ATLAS
57907.490843;20.546;0.61;ATLAS;ATLAS(o);ATLAS
57910.479046;19.788;0.43;ATLAS;ATLAS(o);ATLAS
57912.507132;19.886;0.941;ATLAS;ATLAS(o);ATLAS
57914.445143;19.236;0.376;ATLAS;ATLAS(o);ATLAS
57916.479698;19.68;0.376;ATLAS;ATLAS(o);ATLAS
57927.416451;20.591;0.41;ATLAS;ATLAS(o);ATLAS
57927.421736;21.142;0.621;ATLAS;ATLAS(o);ATLAS
57927.422687;20.758;0.509;ATLAS;ATLAS(o);ATLAS
57937.413772;20.836;0.955;ATLAS;ATLAS(o);ATLAS
57945.386358;19.558;0.718;ATLAS;ATLAS(o);ATLAS
57955.356099;20.845;0.669;ATLAS;ATLAS(o);ATLAS
57955.373843;20.548;0.492;ATLAS;ATLAS(o);ATLAS
57957.354535;20.25;0.585;ATLAS;ATLAS(o);ATLAS
57959.341675;21.247;0.789;ATLAS;ATLAS(o);ATLAS
57959.354506;20.651;0.532;ATLAS;ATLAS(o);ATLAS
57959.364348;21.132;0.697;ATLAS;ATLAS(o);ATLAS
57965.351522;19.958;0.539;ATLAS;ATLAS(o);ATLAS
57969.323181;20.733;0.832;ATLAS;ATLAS(o);ATLAS
57972.301308;20.084;0.597;ATLAS;ATLAS(o);ATLAS
57974.331781;19.952;0.602;ATLAS;ATLAS(o);ATLAS
57976.292554;20.463;0.358;ATLAS;ATLAS(o);ATLAS
57978.323537;20.9;0.852;ATLAS;ATLAS(o);ATLAS
57980.297308;21.134;0.832;ATLAS;ATLAS(o);ATLAS
57984.279588;21.225;0.728;ATLAS;ATLAS(c);ATLAS
57992.302383;20.555;0.447;ATLAS;ATLAS(o);ATLAS
58000.269214;20.272;0.607;ATLAS;ATLAS(o);ATLAS
58000.280286;20.575;0.749;ATLAS;ATLAS(o);ATLAS
58000.287472;20.512;0.761;ATLAS;ATLAS(o);ATLAS
58000.296388;20.235;0.645;ATLAS;ATLAS(o);ATLAS
58004.301613;20.402;0.795;ATLAS;ATLAS(o);ATLAS
58008.249211;20.645;0.393;ATLAS;ATLAS(o);ATLAS
58008.253824;20.166;0.321;ATLAS;ATLAS(o);ATLAS
58008.26137;20.876;0.651;ATLAS;ATLAS(o);ATLAS
58008.262738;20.95;0.593;ATLAS;ATLAS(o);ATLAS
58010.247249;20.873;0.875;ATLAS;ATLAS(o);ATLAS
58012.255874;20.669;0.493;ATLAS;ATLAS(c);ATLAS
58014.251749;16.963;0.024;ATLAS;ATLAS(o);ATLAS
58020.277957;21.316;0.893;ATLAS;ATLAS(c);ATLAS
58020.285949;20.912;0.664;ATLAS;ATLAS(c);ATLAS
58022.263259;20.361;0.689;ATLAS;ATLAS(o);ATLAS
58026.261853;19.596;0.547;ATLAS;ATLAS(o);ATLAS
58026.273501;20.164;0.931;ATLAS;ATLAS(o);ATLAS
58026.280411;19.368;0.474;ATLAS;ATLAS(o);ATLAS
58036.248588;20.797;0.855;ATLAS;ATLAS(o);ATLAS
58036.265774;20.557;0.674;ATLAS;ATLAS(o);ATLAS
58040.255167;19.66;0.363;ATLAS;ATLAS(o);ATLAS
58040.272508;19.981;0.459;ATLAS;ATLAS(o);ATLAS
58042.246539;20.42;0.708;ATLAS;ATLAS(o);ATLAS
58042.262834;19.559;0.542;ATLAS;ATLAS(o);ATLAS
58046.231401;20.238;0.789;ATLAS;ATLAS(o);ATLAS
58054.233445;19.772;0.776;ATLAS;ATLAS(o);ATLAS
58056.20055;20.46;0.917;ATLAS;ATLAS(o);ATLAS
58056.208548;20.264;0.689;ATLAS;ATLAS(o);ATLAS
58060.191786;19.252;0.878;ATLAS;ATLAS(o);ATLAS
58138.39977598;14.882;0.439;NEOWISE;WISE(W2);NEOWISE
58139.25065053;16.58;0.54;NEOWISE;WISE(W1);NEOWISE
58176.64888;20.476;0.505;ATLAS;ATLAS(o);ATLAS
58198.3922801;20.9482117;0.189517498;ZTF;ZTF(zr);ZTF
58198.4;20.9754982;0.191579223;ZTF;ZTF(zr);ZTF
58198.4289352;20.8502369;0.18211472;ZTF;ZTF(zr);ZTF
58198.449838;20.7748528;0.176418781;ZTF;ZTF(zr);ZTF
58198.4508449;20.8746071;0.183956146;ZTF;ZTF(zr);ZTF
