MJD;Magnitude;Error;Facility;Filter;Observer
53470.38791;19.38;0.22;CRTS;CRTS(CL);CRTS
53470.39514;19.43;0.22;CRTS;CRTS(CL);CRTS
53470.40242;19.95;0.29;CRTS;CRTS(CL);CRTS
53470.40973;19.64;0.25;CRTS;CRTS(CL);CRTS
53470.41639;19.9;0.28;CRTS;CRTS(CL);CRTS
53470.42359;19.8;0.27;CRTS;CRTS(CL);CRTS
53470.43797;20.05;0.31;CRTS;CRTS(CL);CRTS
53479.39593;19.43;0.2;CRTS;CRTS(CL);CRTS
53479.4041;19.87;0.25;CRTS;CRTS(CL);CRTS
53497.35374;20.35;0.33;CRTS;CRTS(CL);CRTS
53497.35428;19.88;0.26;CRTS;CRTS(CL);CRTS
53497.36238;19.79;0.24;CRTS;CRTS(CL);CRTS
53497.36988;19.71;0.24;CRTS;CRTS(CL);CRTS
53497.37042;20.1;0.29;CRTS;CRTS(CL);CRTS
53497.37794;20.21;0.3;CRTS;CRTS(CL);CRTS
53497.37848;19.18;0.18;CRTS;CRTS(CL);CRTS
53506.35999;19.34;0.22;CRTS;CRTS(CL);CRTS
53506.36768;19.89;0.29;CRTS;CRTS(CL);CRTS
53506.37541;20.05;0.31;CRTS;CRTS(CL);CRTS
53506.38309;20.07;0.32;CRTS;CRTS(CL);CRTS
53506.39169;19.54;0.24;CRTS;CRTS(CL);CRTS
53506.39844;21.01;0.54;CRTS;CRTS(CL);CRTS
53506.40528;19.82;0.28;CRTS;CRTS(CL);CRTS
53506.41202;20.12;0.33;CRTS;CRTS(CL);CRTS
53527.36915;20.43;0.35;CRTS;CRTS(CL);CRTS
53527.36968;19.55;0.22;CRTS;CRTS(CL);CRTS
53527.37795;19.53;0.22;CRTS;CRTS(CL);CRTS
53527.37851;19.51;0.21;CRTS;CRTS(CL);CRTS
53527.38668;19.41;0.2;CRTS;CRTS(CL);CRTS
53527.38722;19.54;0.22;CRTS;CRTS(CL);CRTS
53527.39537;19.98;0.27;CRTS;CRTS(CL);CRTS
53527.39592;19.96;0.27;CRTS;CRTS(CL);CRTS
53549.28191;19.45;0.22;CRTS;CRTS(CL);CRTS
53549.28244;18.46;0.14;CRTS;CRTS(CL);CRTS
53549.28841;19.21;0.19;CRTS;CRTS(CL);CRTS
53549.28896;19.73;0.25;CRTS;CRTS(CL);CRTS
53549.29494;20.09;0.3;CRTS;CRTS(CL);CRTS
53549.29547;19.46;0.22;CRTS;CRTS(CL);CRTS
53549.30149;19.55;0.23;CRTS;CRTS(CL);CRTS
53549.30203;19.31;0.2;CRTS;CRTS(CL);CRTS
53557.27373;19.55;0.22;CRTS;CRTS(CL);CRTS
53557.27426;19.83;0.26;CRTS;CRTS(CL);CRTS
53557.28026;19.98;0.28;CRTS;CRTS(CL);CRTS
53557.28079;20.71;0.41;CRTS;CRTS(CL);CRTS
53557.28677;19.78;0.25;CRTS;CRTS(CL);CRTS
53557.2873;20.17;0.31;CRTS;CRTS(CL);CRTS
53557.29329;19.68;0.24;CRTS;CRTS(CL);CRTS
53557.29382;19.99;0.28;CRTS;CRTS(CL);CRTS
53562.24919;19.79;0.25;CRTS;CRTS(CL);CRTS
53562.25628;19.63;0.23;CRTS;CRTS(CL);CRTS
53562.26336;19.77;0.25;CRTS;CRTS(CL);CRTS
53562.2704;19.25;0.19;CRTS;CRTS(CL);CRTS
53654.09401;19.85;0.28;CRTS;CRTS(CL);CRTS
53654.09876;20.59;0.41;CRTS;CRTS(CL);CRTS
53654.10299;20.43;0.38;CRTS;CRTS(CL);CRTS
53654.10353;20.53;0.4;CRTS;CRTS(CL);CRTS
53797.47775;18.93;0.17;CRTS;CRTS(CL);CRTS
53797.48596;21.1;0.53;CRTS;CRTS(CL);CRTS
53797.48596;19.57;0.23;CRTS;CRTS(CL);CRTS
53797.49418;19.53;0.23;CRTS;CRTS(CL);CRTS
53797.50265;19.2;0.19;CRTS;CRTS(CL);CRTS
53816.51261;20.73;0.54;CRTS;CRTS(CL);CRTS
53851.37524;19.77;0.25;CRTS;CRTS(CL);CRTS
53851.37577;20.28;0.33;CRTS;CRTS(CL);CRTS
53851.3826;19.65;0.24;CRTS;CRTS(CL);CRTS
53851.38313;19.73;0.25;CRTS;CRTS(CL);CRTS
53851.38996;20.08;0.3;CRTS;CRTS(CL);CRTS
53851.3905;19.69;0.24;CRTS;CRTS(CL);CRTS
53851.39734;19.52;0.22;CRTS;CRTS(CL);CRTS
53851.39788;19.24;0.19;CRTS;CRTS(CL);CRTS
53859.41312;19.18;0.19;CRTS;CRTS(CL);CRTS
53859.41365;19.86;0.27;CRTS;CRTS(CL);CRTS
53859.42116;19.73;0.25;CRTS;CRTS(CL);CRTS
53859.42171;19.48;0.22;CRTS;CRTS(CL);CRTS
53859.42923;20.33;0.35;CRTS;CRTS(CL);CRTS
53859.42977;19.4;0.21;CRTS;CRTS(CL);CRTS
53859.43729;19.9;0.27;CRTS;CRTS(CL);CRTS
53859.43783;20.26;0.33;CRTS;CRTS(CL);CRTS
53866.37429;19.46;0.65;CRTS;CRTS(CL);CRTS
53879.40126;19.39;0.21;CRTS;CRTS(CL);CRTS
53879.40181;19.57;0.23;CRTS;CRTS(CL);CRTS
53879.41133;20.25;0.33;CRTS;CRTS(CL);CRTS
53879.42031;19.52;0.22;CRTS;CRTS(CL);CRTS
53879.42085;20.02;0.29;CRTS;CRTS(CL);CRTS
53879.42974;20.11;0.3;CRTS;CRTS(CL);CRTS
53879.43028;19.57;0.23;CRTS;CRTS(CL);CRTS
53886.25371;19.73;0.23;CRTS;CRTS(CL);CRTS
53886.25665;19.62;0.22;CRTS;CRTS(CL);CRTS
53886.26437;19.63;0.22;CRTS;CRTS(CL);CRTS
53886.26732;19.27;0.18;CRTS;CRTS(CL);CRTS
53886.27504;19.86;0.24;CRTS;CRTS(CL);CRTS
53886.278;20.34;0.32;CRTS;CRTS(CL);CRTS
53886.28571;19.93;0.25;CRTS;CRTS(CL);CRTS
53886.28865;19.84;0.24;CRTS;CRTS(CL);CRTS
53995.11649;19.57;0.21;CRTS;CRTS(CL);CRTS
53995.11809;19.7;0.22;CRTS;CRTS(CL);CRTS
53995.1278;19.25;0.18;CRTS;CRTS(CL);CRTS
53995.13584;19.84;0.24;CRTS;CRTS(CL);CRTS
53995.13742;19.61;0.21;CRTS;CRTS(CL);CRTS
53995.1455;20.48;0.34;CRTS;CRTS(CL);CRTS
