MJD;Magnitude;Error;Facility;Filter;Observer
51623.32949999999;15.165;0.121;2MASS;2MASS(K);2MASS
51623.32949999999;16.116;0.104;2MASS;2MASS(J);2MASS
51623.32949999999;15.326;0.123;2MASS;2MASS(H);2MASS
54907.3201772;17.286943435668945;0.028100576251745224;PTF;PTF(R);PTF
54907.4201472;17.27591896057129;0.028390169143676758;PTF;PTF(R);PTF
54907.5225472;17.31789779663086;0.02852199226617813;PTF;PTF(R);PTF
54907.5264072;17.304832458496094;0.02876090072095394;PTF;PTF(R);PTF
54910.3539172;18.003963470458984;0.10355742275714874;PTF;PTF(g);PTF
54910.4573272;17.961044311523438;0.10367730259895325;PTF;PTF(g);PTF
54915.2638572;17.934144973754883;0.16181887686252594;PTF;PTF(g);PTF
54916.2302272;18.045944213867188;0.11713496595621109;PTF;PTF(g);PTF
54917.2617372;17.964506149291992;0.04921874776482582;PTF;PTF(g);PTF
54917.3587772;18.060701370239258;0.04814445227384567;PTF;PTF(g);PTF
54918.4069572;17.93044090270996;0.035244256258010864;PTF;PTF(g);PTF
54918.4521772;17.97307586669922;0.034789908677339554;PTF;PTF(g);PTF
54921.2426572;18.005916595458984;0.057117629796266556;PTF;PTF(g);PTF
54921.3199072;17.99839973449707;0.05430535972118378;PTF;PTF(g);PTF
54922.2498372;18.14337730407715;0.40934979915618896;PTF;PTF(g);PTF
54958.1777372;17.188962936401367;0.033160462975502014;PTF;PTF(R);PTF
54958.2340572;17.18343734741211;0.032653406262397766;PTF;PTF(R);PTF
54958.4176272;17.172269821166992;0.03148698806762695;PTF;PTF(R);PTF
54958.4645372;17.15116310119629;0.03175707533955574;PTF;PTF(R);PTF
54966.2074972;17.07010841369629;0.02680274285376072;PTF;PTF(R);PTF
54966.3496472;17.05988883972168;0.0275245513767004;PTF;PTF(R);PTF
54966.4539672;17.046066284179688;0.02810099720954895;PTF;PTF(R);PTF
54968.2312472;17.03026580810547;0.02543686144053936;PTF;PTF(R);PTF
54968.3852772;17.032291412353516;0.025902673602104187;PTF;PTF(R);PTF
54972.2144872;17.546796798706055;0.21137635409832;PTF;PTF(R);PTF
54972.3138272;16.950498580932617;0.09276644885540009;PTF;PTF(R);PTF
54975.3055272;17.14657211303711;0.02995149977505207;PTF;PTF(g);PTF
54975.3592472;17.154775619506836;0.030049778521060944;PTF;PTF(g);PTF
54975.4026472;17.164949417114258;0.030026130378246307;PTF;PTF(g);PTF
54975.4371072;17.17369842529297;0.03006584942340851;PTF;PTF(g);PTF
54975.4638172;17.158721923828125;0.03026447631418705;PTF;PTF(g);PTF
54975.4858772;17.248435974121094;0.03528197109699249;PTF;PTF(g);PTF
54977.2682772;16.853158950805664;0.029354790225625038;PTF;PTF(R);PTF
54977.3222372;16.84899139404297;0.02929043211042881;PTF;PTF(R);PTF
54977.4099872;16.850616455078125;0.02942841872572899;PTF;PTF(R);PTF
54977.4386472;16.857288360595703;0.029454493895173073;PTF;PTF(R);PTF
54977.4735972;16.865121841430664;0.029913391917943954;PTF;PTF(R);PTF
54984.2555372;16.79549217224121;0.21287418901920319;PTF;PTF(R);PTF
54984.3147072;16.787736892700195;0.2128565013408661;PTF;PTF(R);PTF
54984.3734972;16.804874420166016;0.21276840567588806;PTF;PTF(R);PTF
54984.4256572;16.81671142578125;0.21623411774635315;PTF;PTF(R);PTF
54984.4483072;16.802349090576172;0.21323619782924652;PTF;PTF(R);PTF
54984.4776372;17.061870574951172;0.23007358610630035;PTF;PTF(R);PTF
55003.3527672;16.79654884338379;0.02989560179412365;PTF;PTF(R);PTF
55003.4414272;16.80247688293457;0.03063918836414814;PTF;PTF(R);PTF
55012.2831472;16.875091552734375;0.031005844473838806;PTF;PTF(R);PTF
55012.3763272;16.895938873291016;0.031077193096280098;PTF;PTF(R);PTF
55016.3673772;16.93866539001465;0.03303499147295952;PTF;PTF(R);PTF
55020.2010472;16.948671340942383;0.03819098696112633;PTF;PTF(R);PTF
55020.2475972;16.96889305114746;0.032827265560626984;PTF;PTF(R);PTF
55020.3011272;17.000289916992188;0.03930076211690903;PTF;PTF(R);PTF
55020.3422872;16.968225479125977;0.03573715314269066;PTF;PTF(R);PTF
55024.2041372;16.944744110107422;0.03391600027680397;PTF;PTF(R);PTF
55024.3025672;16.98155403137207;0.035215795040130615;PTF;PTF(R);PTF
55026.2250272;16.952838897705078;0.03813667595386505;PTF;PTF(R);PTF
55026.3452472;16.9846248626709;0.03957437351346016;PTF;PTF(R);PTF
55030.1770172;16.97145652770996;0.16463647782802582;PTF;PTF(R);PTF
55031.2412572;17.00442123413086;0.03493744507431984;PTF;PTF(R);PTF
55031.3300672;17.003568649291992;0.035915251821279526;PTF;PTF(R);PTF
55033.2036572;16.972373962402344;0.034629937261343;PTF;PTF(R);PTF
55040.1890172;17.013877868652344;0.03593650832772255;PTF;PTF(R);PTF
55040.2949872;17.043367385864258;0.036570604890584946;PTF;PTF(R);PTF
55041.2184672;17.04192543029785;0.030823539942502975;PTF;PTF(R);PTF
55042.2162872;16.975692749023438;0.030538517981767654;PTF;PTF(R);PTF
55042.3498972;17.04703140258789;0.03033577837049961;PTF;PTF(R);PTF
55045.1968072;17.01060676574707;0.028548672795295715;PTF;PTF(R);PTF
55045.3114072;17.064271926879883;0.030434701591730118;PTF;PTF(R);PTF
55050.1729972;17.064558029174805;0.029975110664963722;PTF;PTF(R);PTF
55050.2782472;17.071176528930664;0.033412668853998184;PTF;PTF(R);PTF
55053.3197072;17.117956161499023;0.0337996669113636;PTF;PTF(R);PTF
55054.2652672;17.082210540771484;0.05741231516003609;PTF;PTF(R);PTF
55056.3036072;17.107818603515625;0.02982817031443119;PTF;PTF(R);PTF
55056.3108872;17.070709228515625;0.028576679527759552;PTF;PTF(R);PTF
55058.1613672;17.053207397460938;0.027585137635469437;PTF;PTF(R);PTF
55059.2076472;17.070594787597656;0.027153486385941505;PTF;PTF(R);PTF
55061.2186672;17.022245407104492;0.026162495836615562;PTF;PTF(R);PTF
55061.2942772;17.082847595214844;0.02798549458384514;PTF;PTF(R);PTF
55062.2340372;17.080917358398438;0.029439430683851242;PTF;PTF(R);PTF
55063.1975272;17.109127044677734;0.026982145383954048;PTF;PTF(R);PTF
55064.2103672;17.121715545654297;0.028096884489059448;PTF;PTF(R);PTF
55064.2541372;17.060791015625;0.028445076197385788;PTF;PTF(R);PTF
55066.1920672;17.092451095581055;0.02954804338514805;PTF;PTF(R);PTF
55066.2437772;17.123472213745117;0.030571648851037025;PTF;PTF(R);PTF
55069.1925472;17.131900787353516;0.027225865051150322;PTF;PTF(R);PTF
55069.1987872;17.12952995300293;0.029143352061510086;PTF;PTF(R);PTF
55069.2382472;17.11439323425293;0.02785502001643181;PTF;PTF(R);PTF
55081.1563372;17.147626876831055;0.03848696127533913;PTF;PTF(R);PTF
55081.2328172;17.18123435974121;0.04249666631221771;PTF;PTF(R);PTF
55088.1313172;17.094284057617188;0.0376279316842556;PTF;PTF(R);PTF
55088.1754472;17.153459548950195;0.03792697563767433;PTF;PTF(R);PTF
55203.4888272;17.26666259765625;0.1598428636789322;PTF;PTF(R);PTF
55203.5340972;17.230731964111328;0.1615496277809143;PTF;PTF(R);PTF
55203.8046759;14.224;0.059;ALLWISE;WISE(W1);ALLWISE
55203.8046759;14.19;0.15;ALLWISE;WISE(W2);ALLWISE
55203.8707646;14.345;0.061;ALLWISE;WISE(W1);ALLWISE
55203.8707646;14.211;0.147;ALLWISE;WISE(W2);ALLWISE
55203.9369806;14.145;0.165;ALLWISE;WISE(W2);ALLWISE
55203.9369806;14.312;0.06;ALLWISE;WISE(W1);ALLWISE
55204.0030692;14.064;0.116;ALLWISE;WISE(W2);ALLWISE
55204.0030692;14.293;0.062;ALLWISE;WISE(W1);ALLWISE
55204.0031966;14.278;0.063;ALLWISE;WISE(W1);ALLWISE
55204.0031966;14.132;0.129;ALLWISE;WISE(W2);ALLWISE
55204.0692852;14.489;0.192;ALLWISE;WISE(W2);ALLWISE
55204.0692852;14.338;0.059;ALLWISE;WISE(W1);ALLWISE
55204.1355012;14.002;0.118;ALLWISE;WISE(W2);ALLWISE
55204.1355012;14.334;0.062;ALLWISE;WISE(W1);ALLWISE
55204.2678059;14.545;0.195;ALLWISE;WISE(W2);ALLWISE
55204.2678059;14.466;0.066;ALLWISE;WISE(W1);ALLWISE
55204.3340219;14.393;0.184;ALLWISE;WISE(W2);ALLWISE
55204.3340219;14.283;0.06;ALLWISE;WISE(W1);ALLWISE
55204.4001105;14.06;0.123;ALLWISE;WISE(W2);ALLWISE
55204.4001105;14.493;0.074;ALLWISE;WISE(W1);ALLWISE
55204.4663265;14.243;0.16;ALLWISE;WISE(W2);ALLWISE
55204.4663265;14.271;0.058;ALLWISE;WISE(W1);ALLWISE
55204.5986312;14.153;0.138;ALLWISE;WISE(W2);ALLWISE
55204.5986312;14.396;0.069;ALLWISE;WISE(W1);ALLWISE
55204.6648472;14.207;0.152;ALLWISE;WISE(W2);ALLWISE
55204.6648472;14.429;0.066;ALLWISE;WISE(W1);ALLWISE
55204.7310632;14.264;0.171;ALLWISE;WISE(W2);ALLWISE
55204.7310632;14.167;0.061;ALLWISE;WISE(W1);ALLWISE
55204.7971519;14.44;0.071;ALLWISE;WISE(W1);ALLWISE
55204.7971519;14.723;0.25;ALLWISE;WISE(W2);ALLWISE
55204.9294566;14.116;0.135;ALLWISE;WISE(W2);ALLWISE
55204.9294566;14.449;0.077;ALLWISE;WISE(W1);ALLWISE
55204.9295839;14.434;0.18;ALLWISE;WISE(W2);ALLWISE
55204.9295839;14.399;0.07;ALLWISE;WISE(W1);ALLWISE
55205.0618885;14.323;0.061;ALLWISE;WISE(W1);ALLWISE
55205.0618885;14.099;0.133;ALLWISE;WISE(W2);ALLWISE
55244.4893672;17.26078224182129;0.07094127684831619;PTF;PTF(R);PTF
55244.5331072;17.292177200317383;0.0707322433590889;PTF;PTF(R);PTF
55251.4894972;17.32246208190918;0.24810916185379028;PTF;PTF(R);PTF
55251.5345672;17.26575469970703;0.24828995764255524;PTF;PTF(R);PTF
55301.3594772;17.31749725341797;0.1341584324836731;PTF;PTF(R);PTF
55301.4025772;17.30398178100586;0.13432450592517853;PTF;PTF(R);PTF
55310.4949672;17.311830520629883;0.027285097166895866;PTF;PTF(R);PTF
55311.2641772;17.37021827697754;0.032194916158914566;PTF;PTF(R);PTF
55311.3076072;17.415292739868164;0.032356590032577515;PTF;PTF(R);PTF
55313.4800372;17.374942779541016;0.034859783947467804;PTF;PTF(R);PTF
55316.4004372;17.273113250732422;0.03264279291033745;PTF;PTF(R);PTF
55316.4568472;17.29852294921875;0.0349699966609478;PTF;PTF(R);PTF
55322.3747472;17.288238525390625;0.027735482901334763;PTF;PTF(R);PTF
55322.4239572;17.283626556396484;0.02836553007364273;PTF;PTF(R);PTF
55331.4232272;17.273380279541016;0.024461206048727036;PTF;PTF(R);PTF
55331.4665672;17.32935333251953;0.02488330379128456;PTF;PTF(R);PTF
55337.4410972;17.27558135986328;0.0259661003947258;PTF;PTF(R);PTF
55337.4874072;17.324052810668945;0.03134988620877266;PTF;PTF(R);PTF
55345.3965072;17.319643020629883;0.037989210337400436;PTF;PTF(R);PTF
55345.4397972;17.359251022338867;0.04332087188959122;PTF;PTF(R);PTF
55350.3913672;17.27088737487793;0.0545593798160553;PTF;PTF(R);PTF
55355.3937072;17.288705825805664;0.02911687083542347;PTF;PTF(R);PTF
55355.4473372;17.333755493164062;0.030012097209692;PTF;PTF(R);PTF
55361.3994872;17.319034576416016;0.02725142426788807;PTF;PTF(R);PTF
55365.3895672;17.24713706970215;0.02762221172451973;PTF;PTF(R);PTF
55365.4336672;17.307415008544922;0.028826192021369934;PTF;PTF(R);PTF
55366.4424872;17.278444290161133;0.030293907970190048;PTF;PTF(R);PTF
55367.2023872;17.300779342651367;0.029141472652554512;PTF;PTF(R);PTF
55367.2484872;17.267587661743164;0.029125433415174484;PTF;PTF(R);PTF
55373.2991472;17.367294311523438;0.03824809938669205;PTF;PTF(R);PTF
55373.3499072;17.350658416748047;0.03846244513988495;PTF;PTF(R);PTF
55376.9309266;14.531;0.074;ALLWISE;WISE(W1);ALLWISE
55376.9309266;14.426;0.177;ALLWISE;WISE(W2);ALLWISE
55377.0632304;14.389;0.174;ALLWISE;WISE(W2);ALLWISE
55377.0632304;14.385;0.07;ALLWISE;WISE(W1);ALLWISE
55377.1955341;14.206;0.162;ALLWISE;WISE(W2);ALLWISE
55377.1955341;14.342;0.063;ALLWISE;WISE(W1);ALLWISE
55377.3278379;14.377;0.06;ALLWISE;WISE(W1);ALLWISE
55377.3278379;14.186;0.14;ALLWISE;WISE(W2);ALLWISE
55377.3939261;14.308;0.15;ALLWISE;WISE(W2);ALLWISE
55377.3939261;14.473;0.069;ALLWISE;WISE(W1);ALLWISE
55377.4601416;14.212;0.148;ALLWISE;WISE(W2);ALLWISE
55377.4601416;14.275;0.062;ALLWISE;WISE(W1);ALLWISE
55377.5262299;14.42;0.069;ALLWISE;WISE(W1);ALLWISE
55377.5262299;14.125;0.133;ALLWISE;WISE(W2);ALLWISE
55377.5924453;14.17;0.159;ALLWISE;WISE(W2);ALLWISE
55377.5924453;14.51;0.071;ALLWISE;WISE(W1);ALLWISE
55377.6585336;14.241;0.058;ALLWISE;WISE(W1);ALLWISE
55377.6585336;14.396;0.16;ALLWISE;WISE(W2);ALLWISE
55377.7247491;14.385;0.064;ALLWISE;WISE(W1);ALLWISE
55377.7247491;14.362;0.15;ALLWISE;WISE(W2);ALLWISE
55377.7908374;14.284;0.056;ALLWISE;WISE(W1);ALLWISE
55377.7908374;14.221;0.146;ALLWISE;WISE(W2);ALLWISE
55377.8570529;14.426;0.068;ALLWISE;WISE(W1);ALLWISE
55377.8570529;14.177;0.152;ALLWISE;WISE(W2);ALLWISE
55377.9231411;14.254;0.058;ALLWISE;WISE(W1);ALLWISE
55377.9231411;14.074;0.13;ALLWISE;WISE(W2);ALLWISE
55377.9892293;14.416;0.068;ALLWISE;WISE(W1);ALLWISE
55377.9892293;14.579;0.214;ALLWISE;WISE(W2);ALLWISE
55377.9893567;14.277;0.157;ALLWISE;WISE(W2);ALLWISE
55377.9893567;14.54;0.075;ALLWISE;WISE(W1);ALLWISE
55378.0554449;13.911;0.127;ALLWISE;WISE(W2);ALLWISE
55378.0554449;14.225;0.053;ALLWISE;WISE(W1);ALLWISE
55378.1215331;14.46;0.069;ALLWISE;WISE(W1);ALLWISE
55378.1215331;14.04;0.126;ALLWISE;WISE(W2);ALLWISE
55378.1877487;14.467;0.212;ALLWISE;WISE(W2);ALLWISE
55378.1877487;14.432;0.064;ALLWISE;WISE(W1);ALLWISE
55378.2538368;14.218;0.059;ALLWISE;WISE(W1);ALLWISE
55378.2538368;14.09;0.127;ALLWISE;WISE(W2);ALLWISE
55378.3021872;17.28573226928711;0.032636504620313644;PTF;PTF(R);PTF
55378.3200523;14.455;0.065;ALLWISE;WISE(W1);ALLWISE
55378.3200523;14.302;0.165;ALLWISE;WISE(W2);ALLWISE
55378.3495072;17.26251220703125;0.035681769251823425;PTF;PTF(R);PTF
55378.3861406;14.399;0.061;ALLWISE;WISE(W1);ALLWISE
55378.3861406;14.469;0.179;ALLWISE;WISE(W2);ALLWISE
55378.4523562;14.43;0.067;ALLWISE;WISE(W1);ALLWISE
55378.4523562;14.255;0.146;ALLWISE;WISE(W2);ALLWISE
55378.5846552;14.426;0.163;ALLWISE;WISE(W2);ALLWISE
55378.5846552;14.432;0.064;ALLWISE;WISE(W1);ALLWISE
55378.7169589;14.381;0.073;ALLWISE;WISE(W1);ALLWISE
55378.7169589;14.235;0.151;ALLWISE;WISE(W2);ALLWISE
55378.8492627;14.406;0.069;ALLWISE;WISE(W1);ALLWISE
55378.8492627;14.275;0.145;ALLWISE;WISE(W2);ALLWISE
55561.5764772;17.296125411987305;0.10666759312152863;PTF;PTF(R);PTF
55565.2374643;14.55;0.073;ALLWISE;WISE(W1);ALLWISE
55565.2374643;14.267;0.185;ALLWISE;WISE(W2);ALLWISE
55565.3697687;14.607;0.079;ALLWISE;WISE(W1);ALLWISE
55565.3697687;14.439;0.187;ALLWISE;WISE(W2);ALLWISE
55565.5681615;14.572;0.075;ALLWISE;WISE(W1);ALLWISE
55565.5681615;14.42;0.176;ALLWISE;WISE(W2);ALLWISE
55565.63425;14.577;0.212;ALLWISE;WISE(W2);ALLWISE
55565.63425;14.598;0.085;ALLWISE;WISE(W1);ALLWISE
55565.7004659;14.453;0.189;ALLWISE;WISE(W2);ALLWISE
55565.7004659;14.559;0.096;ALLWISE;WISE(W1);ALLWISE
55565.7665544;14.567;0.074;ALLWISE;WISE(W1);ALLWISE
55565.7665544;14.685;0.234;ALLWISE;WISE(W2);ALLWISE
55565.8326429;14.488;0.068;ALLWISE;WISE(W1);ALLWISE
55565.8326429;14.244;0.168;ALLWISE;WISE(W2);ALLWISE
55565.8988588;14.514;0.073;ALLWISE;WISE(W1);ALLWISE
55565.8988588;14.491;0.238;ALLWISE;WISE(W2);ALLWISE
55565.9649473;14.557;0.217;ALLWISE;WISE(W2);ALLWISE
55565.9649473;14.383;0.064;ALLWISE;WISE(W1);ALLWISE
55566.0310358;14.683;0.095;ALLWISE;WISE(W1);ALLWISE
55566.0310358;14.375;0.173;ALLWISE;WISE(W2);ALLWISE
55566.1633402;14.369;0.185;ALLWISE;WISE(W2);ALLWISE
55566.1633402;14.562;0.077;ALLWISE;WISE(W1);ALLWISE
55566.2294287;14.645;0.091;ALLWISE;WISE(W1);ALLWISE
55566.2294287;14.421;0.178;ALLWISE;WISE(W2);ALLWISE
55566.2956446;14.496;0.195;ALLWISE;WISE(W2);ALLWISE
55566.2956446;14.733;0.09;ALLWISE;WISE(W1);ALLWISE
55566.3617331;14.633;0.237;ALLWISE;WISE(W2);ALLWISE
55566.3617331;14.605;0.076;ALLWISE;WISE(W1);ALLWISE
55566.4837372;18.005958557128906;0.0381360799074173;PTF;PTF(g);PTF
55566.560126;14.525;0.069;ALLWISE;WISE(W1);ALLWISE
55566.560126;14.231;0.153;ALLWISE;WISE(W2);ALLWISE
55566.6262146;14.505;0.072;ALLWISE;WISE(W1);ALLWISE
55566.6262146;14.302;0.163;ALLWISE;WISE(W2);ALLWISE
55566.758519;14.431;0.209;ALLWISE;WISE(W2);ALLWISE
55566.758519;14.588;0.078;ALLWISE;WISE(W1);ALLWISE
55566.8908233;14.553;0.204;ALLWISE;WISE(W2);ALLWISE
55566.8908233;14.631;0.084;ALLWISE;WISE(W1);ALLWISE
55567.4122172;17.964611053466797;0.26424381136894226;PTF;PTF(g);PTF
55571.4186172;17.1771240234375;0.08989246934652328;PTF;PTF(R);PTF
55572.3938172;17.958946228027344;0.1330249309539795;PTF;PTF(g);PTF
55576.4235772;17.2855224609375;0.09747710078954697;PTF;PTF(R);PTF
55576.4735072;17.235355377197266;0.09614385664463043;PTF;PTF(R);PTF
55577.4300872;17.479272842407227;0.0793866515159607;PTF;PTF(R);PTF
55577.4817572;17.35245132446289;0.06633339822292328;PTF;PTF(R);PTF
55578.5127972;17.30590057373047;0.10223816335201263;PTF;PTF(R);PTF
55579.4279772;17.34148597717285;0.034778520464897156;PTF;PTF(R);PTF
55579.4922772;17.292808532714844;0.032316893339157104;PTF;PTF(R);PTF
55580.4949372;17.342350006103516;0.034080684185028076;PTF;PTF(R);PTF
55580.5499872;17.347301483154297;0.03251053765416145;PTF;PTF(R);PTF
55581.3787272;17.30597496032715;0.05634160339832306;PTF;PTF(R);PTF
55584.4236072;17.28655242919922;0.04253700003027916;PTF;PTF(R);PTF
55585.5138872;17.327533721923828;0.032455895096063614;PTF;PTF(R);PTF
55585.5576672;17.29474639892578;0.032138146460056305;PTF;PTF(R);PTF
55586.5120572;17.316587448120117;0.06385329365730286;PTF;PTF(R);PTF
55586.5564172;17.340471267700195;0.06165625527501106;PTF;PTF(R);PTF
55587.5402172;17.264978408813477;0.044338125735521317;PTF;PTF(R);PTF
55587.5441472;17.2484130859375;0.04402942955493927;PTF;PTF(R);PTF
55591.5242872;17.250789642333984;0.2069087028503418;PTF;PTF(R);PTF
55591.5692072;17.261545181274414;0.20703570544719696;PTF;PTF(R);PTF
55601.5207272;17.32293701171875;0.05133805796504021;PTF;PTF(R);PTF
55604.4308672;17.261165618896484;0.028769448399543762;PTF;PTF(R);PTF
55605.4197872;17.284334182739258;0.058880530297756195;PTF;PTF(R);PTF
55605.4644472;17.298213958740234;0.05829877406358719;PTF;PTF(R);PTF
55606.4871572;17.26587677001953;0.05784960091114044;PTF;PTF(R);PTF
55614.5193272;17.340803146362305;0.030481012538075447;PTF;PTF(R);PTF
55635.5029472;17.297321319580078;0.1548980176448822;PTF;PTF(R);PTF
55635.5042572;17.303409576416016;0.15487514436244965;PTF;PTF(R);PTF
55638.5389372;17.34379768371582;0.09361372888088226;PTF;PTF(R);PTF
55638.5409672;17.318706512451172;0.09337417036294937;PTF;PTF(R);PTF
55712.2939972;17.97593116760254;0.031046757474541664;PTF;PTF(g);PTF
55712.3373472;18.00311851501465;0.03173926845192909;PTF;PTF(g);PTF
55713.3015672;18.028390884399414;0.341604083776474;PTF;PTF(g);PTF
55713.3623072;18.048938751220703;0.34156325459480286;PTF;PTF(g);PTF
55714.3125672;17.971500396728516;0.03588702529668808;PTF;PTF(g);PTF
55714.3859972;18.068803787231445;0.03686188906431198;PTF;PTF(g);PTF
55715.3047972;18.03104019165039;0.08677855134010315;PTF;PTF(g);PTF
55715.3522572;17.961986541748047;0.08734862506389618;PTF;PTF(g);PTF
55716.3042972;18.016565322875977;0.20424868166446686;PTF;PTF(g);PTF
55716.3484772;18.056398391723633;0.20411065220832825;PTF;PTF(g);PTF
55717.2816072;17.95864486694336;0.03417553752660751;PTF;PTF(g);PTF
55717.3467972;17.893722534179688;0.034981295466423035;PTF;PTF(g);PTF
55719.3202172;18.026569366455078;0.030601615086197853;PTF;PTF(g);PTF
55719.3640672;17.985435485839844;0.030814308673143387;PTF;PTF(g);PTF
55720.3313972;17.970020294189453;0.03999319672584534;PTF;PTF(g);PTF
56017.4088872;17.330326080322266;0.05805197358131409;PTF;PTF(R);PTF
56017.4111072;17.305173873901367;0.05798712000250816;PTF;PTF(R);PTF
56020.4850172;17.30133056640625;0.05810553953051567;PTF;PTF(R);PTF
56020.5185572;17.40540885925293;0.05981450155377388;PTF;PTF(R);PTF
56021.1639572;17.295616149902344;0.17615535855293274;PTF;PTF(R);PTF
56021.2258872;17.408843994140625;0.17424094676971436;PTF;PTF(R);PTF
56023.5073172;17.329923629760742;0.05806347727775574;PTF;PTF(R);PTF
56024.1593572;17.411359786987305;0.2156495302915573;PTF;PTF(R);PTF
56024.1925472;17.505828857421875;0.2115526646375656;PTF;PTF(R);PTF
56026.1864172;17.315208435058594;0.03282562270760536;PTF;PTF(R);PTF
56026.2201472;17.350868225097656;0.0348379909992218;PTF;PTF(R);PTF
56026.2538172;17.312538146972656;0.0372857004404068;PTF;PTF(R);PTF
56034.3328472;17.354516983032227;0.028476012870669365;PTF;PTF(R);PTF
56034.3947972;17.33370590209961;0.02894008532166481;PTF;PTF(R);PTF
56037.1618672;17.315994262695312;0.03898925706744194;PTF;PTF(R);PTF
56037.2551572;17.330759048461914;0.03493055701255798;PTF;PTF(R);PTF
56039.5036672;17.368837356567383;0.02897787280380726;PTF;PTF(R);PTF
56039.5059072;17.39885902404785;0.030158216133713722;PTF;PTF(R);PTF
56040.1748972;17.300703048706055;0.02809014730155468;PTF;PTF(R);PTF
56040.2126972;17.35637092590332;0.02809697762131691;PTF;PTF(R);PTF
56040.2487872;17.348304748535156;0.026897689327597618;PTF;PTF(R);PTF
56047.1913072;17.339237213134766;0.03538844361901283;PTF;PTF(R);PTF
56047.2305972;17.416635513305664;0.03350897878408432;PTF;PTF(R);PTF
56049.2880972;17.391963958740234;0.13859879970550537;PTF;PTF(R);PTF
56049.3551772;17.328781127929688;0.1387007236480713;PTF;PTF(R);PTF
56049.3892772;17.288528442382812;0.1388004869222641;PTF;PTF(R);PTF
56059.3715072;17.368288040161133;0.03272652253508568;PTF;PTF(R);PTF
56059.4051172;17.283397674560547;0.03348520025610924;PTF;PTF(R);PTF
56059.4353572;17.393709182739258;0.033586617559194565;PTF;PTF(R);PTF
56061.3899972;17.326425552368164;0.027311984449625015;PTF;PTF(R);PTF
56061.4197172;17.341251373291016;0.02795552834868431;PTF;PTF(R);PTF
56061.4506872;17.3795166015625;0.028171231970191002;PTF;PTF(R);PTF
56063.3797172;17.289508819580078;0.028142793104052544;PTF;PTF(R);PTF
56063.4117172;17.312664031982422;0.02832460217177868;PTF;PTF(R);PTF
56063.4579772;17.305994033813477;0.029706032946705818;PTF;PTF(R);PTF
56066.4065272;17.32915496826172;0.030149729922413826;PTF;PTF(R);PTF
56066.4404572;17.392173767089844;0.030849292874336243;PTF;PTF(R);PTF
56066.4734872;17.37838363647461;0.0312467310577631;PTF;PTF(R);PTF
56070.4791072;17.376405715942383;0.033728260546922684;PTF;PTF(R);PTF
56071.4633272;17.342296600341797;0.03279396891593933;PTF;PTF(R);PTF
56363.5176072;17.280725479125977;0.02607693336904049;PTF;PTF(R);PTF
56363.5358272;17.305734634399414;0.02606344036757946;PTF;PTF(R);PTF
56363.5369672;17.149993896484375;0.0255367923527956;PTF;PTF(R);PTF
56366.4938972;17.272789001464844;0.10091269016265869;PTF;PTF(R);PTF
56366.5350972;17.283153533935547;0.1018298864364624;PTF;PTF(R);PTF
56366.5467272;17.351947784423828;0.10638590157032013;PTF;PTF(R);PTF
56374.5183972;17.296016693115234;0.027040040120482445;PTF;PTF(R);PTF
56376.5112572;17.27964210510254;0.026565270498394966;PTF;PTF(R);PTF
56663.04024218;14.457;0.075;NEOWISE;WISE(W1);NEOWISE
56663.04024218;14.586;0.307;NEOWISE;WISE(W2);NEOWISE
