MJD;Magnitude;Error;Facility;Filter;Observer
56686.22787382;13.991;0.297;NEOWISE;WISE(W2);NEOWISE
56863.6144297;16.182;0.318;NEOWISE;WISE(W1);NEOWISE
57413.2436711;16.036;0.304;NEOWISE;WISE(W1);NEOWISE
57581.65447336;12.119;0.05;NEOWISE;WISE(W2);NEOWISE
57586.63350891;16.498;0.314;NEOWISE;WISE(W1);NEOWISE
57780.66426733;16.395;0.444;NEOWISE;WISE(W1);NEOWISE
57781.05723437;15.65;0.274;NEOWISE;WISE(W1);NEOWISE
57781.8431689;16.159;0.297;NEOWISE;WISE(W1);NEOWISE
59401.65972282;16.317;0.258;NEOWISE;WISE(W1);NEOWISE
59604.04213547;14.12;0.344;NEOWISE;WISE(W2);NEOWISE
59767.43498508;13.951;0.267;NEOWISE;WISE(W2);NEOWISE
60132.06564191;16.291;0.349;NEOWISE;WISE(W1);NEOWISE
