MJD;Magnitude;Error;Facility;Filter;Observer
56493.34428959992;17.170683873308178;-1.0;ASASSN;ASASSN(V);ASASSN
56682.62478009984;18.03662802254635;-1.0;ASASSN;ASASSN(V);ASASSN
56686.22787382;13.991;0.297;NEOWISE;WISE(W2);NEOWISE
56701.556570500135;17.288248478813163;-1.0;ASASSN;ASASSN(V);ASASSN
56736.458665799815;17.300709548125354;-1.0;ASASSN;ASASSN(V);ASASSN
56738.5627311999;17.890697758582707;-1.0;ASASSN;ASASSN(V);ASASSN
56741.52467400022;18.09387500895856;-1.0;ASASSN;ASASSN(V);ASASSN
56756.450727200136;17.640170016524227;-1.0;ASASSN;ASASSN(V);ASASSN
56757.4974667998;17.61826351658766;-1.0;ASASSN;ASASSN(V);ASASSN
56759.48892989988;16.842195736909996;-1.0;ASASSN;ASASSN(V);ASASSN
56764.54621230019;17.499656760093696;-1.0;ASASSN;ASASSN(V);ASASSN
56766.499649600126;17.55815082269246;-1.0;ASASSN;ASASSN(V);ASASSN
56771.61529170023;17.908435059407115;-1.0;ASASSN;ASASSN(V);ASASSN
56781.46023159986;17.92222977233653;-1.0;ASASSN;ASASSN(V);ASASSN
56783.468542399816;18.452118104856662;-1.0;ASASSN;ASASSN(V);ASASSN
56785.32569079986;17.59435489813581;-1.0;ASASSN;ASASSN(V);ASASSN
56787.32634539995;17.52036561284072;-1.0;ASASSN;ASASSN(V);ASASSN
56788.33213760005;17.497593252379573;-1.0;ASASSN;ASASSN(V);ASASSN
56794.53890080005;17.30848710022277;-1.0;ASASSN;ASASSN(V);ASASSN
56796.454094499815;17.86990374793019;-1.0;ASASSN;ASASSN(V);ASASSN
56797.56541020004;17.85728701716011;-1.0;ASASSN;ASASSN(V);ASASSN
56800.53182520019;18.464056858532555;-1.0;ASASSN;ASASSN(V);ASASSN
56801.43517079996;18.094351548844298;-1.0;ASASSN;ASASSN(V);ASASSN
56803.53235899983;18.20857104029179;-1.0;ASASSN;ASASSN(V);ASASSN
56807.4650003002;18.351721604608425;-1.0;ASASSN;ASASSN(V);ASASSN
56808.42234800011;17.739312528556464;-1.0;ASASSN;ASASSN(V);ASASSN
56810.45107989991;18.61720762906151;-1.0;ASASSN;ASASSN(V);ASASSN
56813.51043500006;17.884446909320076;-1.0;ASASSN;ASASSN(V);ASASSN
56815.41144469986;17.690765312953268;-1.0;ASASSN;ASASSN(V);ASASSN
