MJD;Magnitude;Error;Facility;Filter;Observer
57012.0;21.79;0.26;PTFP48;r;
57015.0;21.73;0.12;PTFP48;r;
57018.0;21.51;0.16;PTFP48;r;
57021.0;21.51;0.18;PTFP48;r;
57036.0;20.87;0.11;PTFP48;r;
57039.3;20.27;0.06;P60+SEDM;g;
57039.3;20.58;0.1;P60+SEDM;r;
57039.3;20.55;0.14;P60+SEDM;i;
57039.0;20.64;0.05;PTFP48;r;
57044.3;20.13;0.07;P60+SEDM;g;
57044.3;20.2;0.12;P60+SEDM;r;
57045.0;20.48;0.07;PTFP48;r;
57045.2;20.58;0.28;Las Cumbres 1m;B;
57045.2;20.5;0.29;Las Cumbres 1m;V;
57045.2;20.1;0.16;Las Cumbres 1m;g;
57045.2;20.38;0.16;Las Cumbres 1m;r;
57045.2;19.83;0.27;Las Cumbres 1m;i;
57048.0;20.48;0.09;PTFP48;r;
57049.2;19.42;0.09;Swift+UVOT;UVW1;
57049.2;19.2;0.07;Swift+UVOT;UVM2;
57049.2;18.98;0.06;Swift+UVOT;UVW2;
57049.2;19.65;0.2;Swift+UVOT;u;
57049.2;18.92;0.2;Swift+UVOT;b;
57049.2;18.03;0.21;Swift+UVOT;v;
57050.4;20.39;0.22;Las Cumbres 1m;B;
57050.4;20.2;0.15;Las Cumbres 1m;V;
57050.4;20.09;0.17;Las Cumbres 1m;g;
57050.4;20.69;0.26;Las Cumbres 1m;r;
57050.4;20.22;0.29;Las Cumbres 1m;i;
57052.5;19.82;0.43;Las Cumbres 1m;B;
57052.5;20.0;0.41;Las Cumbres 1m;V;
57052.5;19.76;0.18;Las Cumbres 1m;g;
57052.5;20.59;0.4;Las Cumbres 1m;r;
57052.5;19.91;0.3;Las Cumbres 1m;i;
57053.5;19.33;0.09;Swift+UVOT;UVW1;
57053.5;19.17;0.06;Swift+UVOT;UVM2;
57053.5;18.95;0.06;Swift+UVOT;UVW2;
57053.5;19.52;0.16;Swift+UVOT;u;
57053.5;18.87;0.18;Swift+UVOT;b;
57053.5;17.95;0.18;Swift+UVOT;v;
57059.8;19.1;0.09;Swift+UVOT;UVW1;
57059.8;19.1;0.08;Swift+UVOT;UVM2;
57059.8;18.88;0.07;Swift+UVOT;UVW2;
57059.8;19.11;0.16;Swift+UVOT;u;
57059.8;18.4;0.17;Swift+UVOT;b;
57059.8;17.58;0.18;Swift+UVOT;v;
57062.2;20.18;0.2;Las Cumbres 1m;B;
57062.2;19.85;0.28;Las Cumbres 1m;V;
57062.2;20.51;0.24;Las Cumbres 1m;g;
57063.1;20.29;0.11;P60+SEDM;i;
