"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"ASASSN-14ae",56684.893728307,56684.893728307,"xrt",0,4.684e-15,4.684e-15,1.358e-13,0,1.32691250033961,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56687.033522833,56687.033522833,"xrt",0,1.44e-14,1.44e-14,4.484e-13,0,1.36249771096446,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56697.6974626584,56697.6974626584,"xrt",0,0,0,1.2e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56702.7662011246,56702.7662011246,"xrt",5.534e-14,5.534e-14,5.534e-14,4.497e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56707.8384776614,56707.8384776614,"xrt",7.767e-14,7.767e-14,7.767e-14,6.311e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56729.0706608723,56729.0706608723,"xrt",0,0,0,2.763e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56734.3806800153,56734.3806800153,"xrt",0,0,0,7.871e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56738.5215914003,56738.5215914003,"xrt",0,3.784e-15,3.784e-15,1.102e-13,0,1.32938265111523,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56739.3881015387,56739.3881015387,"xrt",0,4.06e-15,4.06e-15,1.183e-13,0,1.32938265111523,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56744.1803674681,56744.1803674681,"xrt",0,0,0,1.651e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56749.7804152718,56749.7804152718,"xrt",0,0,0,4.756e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56755.314101,56755.314101,"xrt",0,0,0,1.422e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56760.1843606324,56760.1843606324,"xrt",0,0,0,3.631e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56763.3855569068,56763.3855569068,"xrt",2.827e-14,2.827e-14,2.827e-14,2.297e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56768.7317973799,56768.7317973799,"xrt",0,0,0,4.931e-12,0,0,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56770.0488090602,56770.0488090602,"xrt",0,0,0,2.92e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56792.0858101852,56792.0858101852,"xmm",1.28807386885469e-15,6.32017643898493e-16,6.32017643898493e-16,1.08e-14,2.03803466768653,2.55220418297868,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56792.1016550926,56792.1016550926,"xmmcat",4.36680289396101e-15,8.13153237309907e-16,8.13153237309907e-16,,5.37020907450036,,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56794.5903130975,56794.5903130975,"xrt",0,0,0,2.395e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56799.3788675368,56799.3788675368,"xrt",4.837e-14,4.354e-14,4.354e-14,2.916e-13,1.11111111111111,2.66205930056858,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56804.1135391172,56804.1135391172,"xrt",0,6.056e-15,6.056e-15,1.773e-13,0,1.33186342368206,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56809.3065153318,56809.3065153318,"xrt",3.389e-14,3.389e-14,3.389e-14,2.754e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56814.5076588864,56814.5076588864,"xrt",0,5.174e-14,5.174e-14,1.515e-12,0,1.33186342368206,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56822.0037152778,56822.0037152778,"xmm",8.38558964264626e-16,5.78272229285969e-16,5.78272229285969e-16,7.135e-15,1.45011107536679,2.40352094200335,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56825.855671126,56825.855671126,"xrt",0,1.132e-14,1.132e-14,2.391e-13,0,0.97882597234793,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",56828.4384249614,56828.4384249614,"xrt",0,4.492e-15,4.492e-15,1.296e-13,0,1.32445287632554,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",57094.2570253276,57094.2570253276,"xrt",0,9.666e-15,9.666e-15,1.691e-13,0,0.767315191748948,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",57122.3412168348,57122.3412168348,"xrt",4.11e-14,4.255e-14,4.255e-14,2.758e-13,0.965753424657534,2.27972103789988,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",57151.2308101852,57151.2308101852,"xmm",1.81640943285827e-15,7.07149886820561e-16,7.07149886820561e-16,1.181e-14,2.56863426935566,3.12993933442594,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",57162.2037957599,57162.2037957599,"xrt",0,0,0,2.963e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",57168.6392001975,57168.6392001975,"xrt",0,0,0,1.879e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",57429.7752493878,57429.7752493878,"xrt",0,7.475e-15,7.475e-15,2.178e-13,0,1.32938265111523,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",57435.1614604827,57435.1614604827,"xrt",0,1.007e-14,1.007e-14,1.688e-13,0,0.743478208088763,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",57439.2190090966,57439.2190090966,"xrt",0,6.281e-15,6.281e-15,1.304e-13,0,0.9707196566131,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",58439.909562617,58439.909562617,"chandra",1.4261027946e-13,5.217461172e-14,6.608671894e-14,3.855111414e-13,2.73332708684698,7.10451265623457,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",59582.6134049274,59582.6134049274,"xrt",0,0,0,2.303e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",59590.5690024033,59590.5690024033,"xrt",5.333e-14,2.146e-14,2.146e-14,1.43e-13,2.48496240601504,5.7446794076646,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",59861.2368632792,59861.2368632792,"xrt",2.899e-14,2.899e-14,2.899e-14,2.356e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",59891.397453586,59891.397453586,"xrt",4.854e-14,3.422e-14,3.422e-14,2.434e-13,1.41843971631206,Inf,,,,,,,,,,,,,,,,,,,,""
"ASASSN-14ae",60419.6786153905,60419.6786153905,"xrt",0,0,0,7.389e-13,0,0,,,,,,,,,,,,,,,,,,,,""
