"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"ASASSN-15oi",57257.7944494889,57257.7944494889,"xrt",2.809e-14,7.298e-14,7.298e-14,5.285e-13,0.384905660377358,1.55782736593499,,,,,,,,,,,,,,,,,,,,""
"ASASSN-15oi",57259.325307657,57259.325307657,"xrt",5.829e-14,5.191e-14,5.191e-14,3.139e-13,1.12290502793296,2.35906358215329,,,,,,,,,,,,,,,,,,,,""
"ASASSN-15oi",57264.3794351982,57264.3794351982,"xrt",6.148e-14,4.138e-14,4.138e-14,2.694e-13,1.48571428571429,3.36878260880845,,,,,,,,,,,,,,,,,,,,""
"ASASSN-15oi",57268.7186339563,57268.7186339563,"xrt",5.226e-14,5.45e-14,5.45e-14,3.531e-13,0.958904109589041,2.27479589551217,,,,,,,,,,,,,,,,,,,,""
"ASASSN-15oi",57272.5032403859,57272.5032403859,"xrt",5.662e-14,4.158e-14,4.158e-14,2.632e-13,1.36158192090395,2.95315037140078,,,,,,,,,,,,,,,,,,,,""
"ASASSN-15oi",57276.0850139829,57276.0850139829,"xrt",1.168e-13,5.804e-14,5.804e-14,3.637e-13,2.01204819277108,3.94373852404205,,,,,,,,,,,,,,,,,,,,""
"ASASSN-15oi",57280.6745944349,57280.6745944349,"xrt",5.833e-14,3.926e-14,3.926e-14,2.555e-13,1.48571428571429,3.36367358792094,,,,,,,,,,,,,,,,,,,,""
"ASASSN-15oi",57285.4109833132,57285.4109833132,"xrt",1.147e-13,5.7e-14,5.7e-14,3.574e-13,2.01204819277108,3.95562788973131,,,,,,,,,,,,,,,,,,,,""
"ASASSN-15oi",57291.3836172721,57291.3836172721,"xrt",2.309e-13,8.628e-14,8.628e-14,5.83e-13,2.67605633802817,6.23136936663228,,,,,,,,,,,,,,,,,,,,""
"ASASSN-15oi",57294.5786478551,57294.5786478551,"xrt",0,2.739e-14,2.739e-14,1.773e-13,0,0.833238874902191,,,,,,,,,,,,,,,,,,,,""
