"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2017gge",58031.1192173792,58031.1192173792,"xrt",0,2.097e-14,2.097e-14,2.782e-13,0,0.479779679257568,,,,,,,,,,,,,,,,,,,,""
"AT_2017gge",58041.7480325403,58041.7480325403,"xrt",3.387e-14,4.318e-14,4.318e-14,3.364e-13,0.784313725490196,2.37554414234888,,,,,,,,,,,,,,,,,,,,""
"AT_2017gge",58046.2842424394,58046.2842424394,"xrt",0,1.402e-14,1.402e-14,2.93e-13,0,0.973409259001116,,,,,,,,,,,,,,,,,,,,""
"AT_2017gge",58051.7811644098,58051.7811644098,"xrt",0,1.456e-14,1.456e-14,1.958e-13,0,0.487100450682143,,,,,,,,,,,,,,,,,,,,""
"AT_2017gge",58055.0374562558,58055.0374562558,"xrt",0,5.964e-15,5.964e-15,1.755e-13,0,1.33435491442083,,,,,,,,,,,,,,,,,,,,""
"AT_2017gge",58143.5714762989,58143.5714762989,"xrt",3.826e-14,4.891e-14,4.891e-14,3.809e-13,0.782352941176471,2.36867574791692,,,,,,,,,,,,,,,,,,,,""
"AT_2017gge",58156.928374832,58156.928374832,"xrt",7.788e-14,5.744e-14,5.744e-14,3.631e-13,1.35593220338983,2.9274357368664,,,,,,,,,,,,,,,,,,,,""
"AT_2017gge",58162.9749674868,58162.9749674868,"xrt",1.047e-13,7.719e-14,7.719e-14,4.88e-13,1.35593220338983,2.93107928297998,,,,,,,,,,,,,,,,,,,,""
"AT_2017gge",58168.3507032359,58168.3507032359,"xrt",5.802e-13,1.378e-13,1.378e-13,1.075e-12,4.21052631578947,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2017gge",58174.2823189866,58174.2823189866,"xrt",2.78e-13,2.208e-13,2.208e-13,1.518e-12,1.25874125874126,3.25137534864211,,,,,,,,,,,,,,,,,,,,""
"AT_2017gge",58177.7160551264,58177.7160551264,"xrt",4.539e-13,1.677e-13,1.677e-13,1.12e-12,2.70627062706271,5.66541614375361,,,,,,,,,,,,,,,,,,,,""
"AT_2017gge",58186.1471568181,58186.1471568181,"xrt",6.989e-13,2.513e-13,2.513e-13,1.701e-12,2.78145695364238,6.11476858143082,,,,,,,,,,,,,,,,,,,,""
"AT_2017gge",58193.7180623859,58193.7180623859,"xrt",0,0,0,7.977e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2017gge",58200.7607169292,58200.7607169292,"xrt",3.115e-13,2.475e-13,2.475e-13,1.701e-12,1.25874125874126,3.24733066090433,,,,,,,,,,,,,,,,,,,,""
"AT_2017gge",58211.6019581631,58211.6019581631,"xrt",6.692e-13,2.952e-13,2.952e-13,1.936e-12,2.26720647773279,5.17385980022306,,,,,,,,,,,,,,,,,,,,""
"AT_2017gge",58213.8542842804,58213.8542842804,"xrt",3.715e-13,2.142e-13,2.142e-13,1.459e-12,1.73410404624277,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2017gge",58215.9815646426,58215.9815646426,"xrt",0,2.873e-14,2.873e-14,8.411e-13,0,1.33186342368206,,,,,,,,,,,,,,,,,,,,""
"AT_2017gge",59651.8391563945,59651.8391563945,"xrt",0,2.462e-14,2.462e-14,1.672e-13,0,1.11642298895581,,,,,,,,,,,,,,,,,,,,""
"AT_2017gge",59655.2924165299,59655.2924165299,"xrt",0,8.143e-15,8.143e-15,1.708e-13,0,0.976111327335736,,,,,,,,,,,,,,,,,,,,""
