"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2018bsi",56304.6024626521,56304.6024626521,"xrt",6.062e-14,9.319e-14,9.319e-14,7.098e-13,0.650485436893204,2.01569924583359,,,,,,,,,,,,,,,,,,,,""
"AT_2018bsi",56447.8338880278,56447.8338880278,"xrt",0,2.772e-14,2.772e-14,7.066e-13,0,1.08113519380421,,,,,,,,,,,,,,,,,,,,""
"AT_2018bsi",57633.2081106339,57633.2081106339,"xrt",4.386e-14,5.305e-14,5.305e-14,4.189e-13,0.826732673267327,2.50619484788122,,,,,,,,,,,,,,,,,,,,""
"AT_2018bsi",57720.2657917112,57720.2657917112,"xrt",0,1.169e-14,1.169e-14,4.215e-13,0,1.43510219517596,,,,,,,,,,,,,,,,,,,,""
"AT_2018bsi",57726.7731515167,57726.7731515167,"xrt",1.842e-13,2.832e-13,2.832e-13,2.157e-12,0.650485436893204,2.01569924583359,,,,,,,,,,,,,,,,,,,,""
"AT_2018bsi",58261.4401855403,58261.4401855403,"xrt",0,1.832e-14,1.832e-14,3.816e-13,0,0.862163350791252,,,,,,,,,,,,,,,,,,,,""
"AT_2018bsi",58269.084737866,58269.084737866,"xrt",3.802e-14,3.367e-14,3.367e-14,2.047e-13,1.12921348314607,2.35906358215329,,,,,,,,,,,,,,,,,,,,""
"AT_2018bsi",58271.2858260132,58271.2858260132,"xrt",1.814e-14,3.957e-14,3.957e-14,2.365e-13,0.458389261744966,1.44835488814334,,,,,,,,,,,,,,,,,,,,""
"AT_2018bsi",58366.113043426,58366.113043426,"xrt",0,1.181e-14,1.181e-14,2.461e-13,0,0.862163350791252,,,,,,,,,,,,,,,,,,,,""
"AT_2018bsi",58389.5620949074,58389.5620949074,"xmm",7.74338572838901e-15,4.01272948032155e-15,4.01272948032155e-15,3.557e-14,1.92970539538302,3.41222712852451,,,,,,,,,3.52933187499455,0,0,1.50643636762809e-14,1.17657143449438e-14,1.10890985276337e-13,0.808329670862869,27.0497143273038,1.50643636762809e-14,1.17657143449438e-14,1.10890985276337e-13,"PL"
"AT_2018bsi",58543.2392124799,58543.2392124799,"xrt",1.298e-13,5.467e-14,5.467e-14,3.573e-13,2.37453183520599,5.03149661596857,,,,,,,,,,,,,,,,,,,,""
"AT_2018bsi",59586.4475878399,59586.4475878399,"xrt",0,1.289e-14,1.289e-14,2.089e-13,0,0.586107776577484,,,,,,,,,,,,,,,,,,,,""
"AT_2018bsi",60457.0499392767,60457.0499392767,"xrt",2.012e-14,6.213e-14,6.213e-14,4.519e-13,0.323809523809524,1.46828514344698,,,,,,,,,,,,,,,,,,,,""
"AT_2018bsi",60459.2156714886,60459.2156714886,"xrt",2.901e-14,8.855e-14,8.855e-14,6.443e-13,0.327619047619048,1.47332393242074,,,,,,,,,,,,,,,,,,,,""
"AT_2018bsi",60553.3219641713,60553.3219641713,"xrt",0,1.932e-14,1.932e-14,8.849e-14,0,0.203912623303728,,,,,,,,,,,,,,,,,,,,""
