"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2018dyb",58317.5875059417,58317.5875059417,"xrt",0,2.222e-13,2.222e-13,8.284e-13,0,0.687780228848914,,,,,,,,,,,,,,,,,,,,""
"AT_2018dyb",58320.6417804035,58320.6417804035,"xrt",1.308e-13,3.004e-13,3.004e-13,1.493e-12,0.435348837209302,1.29616852837211,,,,,,,,,,,,,,,,,,,,""
"AT_2018dyb",58323.5687407938,58323.5687407938,"xrt",6.995e-14,1.983e-13,1.983e-13,8.217e-13,0.352769679300292,1.10439786488634,,,,,,,,,,,,,,,,,,,,""
"AT_2018dyb",58334.5401429497,58334.5401429497,"xrt",0,2.468e-13,2.468e-13,9.876e-13,0,0.518285131103239,,,,,,,,,,,,,,,,,,,,""
"AT_2018dyb",58336.5911892584,58336.5911892584,"xrt",0,2.157e-13,2.157e-13,8.79e-13,0,0.418311001057307,,,,,,,,,,,,,,,,,,,,""
"AT_2018dyb",58339.1143443781,58339.1143443781,"xrt",7.457e-14,2.875e-13,2.875e-13,1.274e-12,0.259398496240601,1.07047886178013,,,,,,,,,,,,,,,,,,,,""
"AT_2018dyb",58349.2044439897,58349.2044439897,"xrt",3.065e-13,3.352e-13,3.352e-13,1.56e-12,0.914201183431953,1.6836172735057,,,,,,,,,,,,,,,,,,,,""
"AT_2018dyb",58352.0560787257,58352.0560787257,"xrt",0,1.789e-13,1.789e-13,7.574e-13,0,0.125864151463626,,,,,,,,,,,,,,,,,,,,""
"AT_2018dyb",58355.5161059283,58355.5161059283,"xrt",0,2.643e-13,2.643e-13,1.092e-12,0,0.763853499855764,,,,,,,,,,,,,,,,,,,,""
"AT_2018dyb",58361.3492618101,58361.3492618101,"xrt",0,2.52e-13,2.52e-13,9.582e-13,0,0.561303434681324,,,,,,,,,,,,,,,,,,,,""
"AT_2018dyb",58364.2094191183,58364.2094191183,"xrt",0,2.153e-13,2.153e-13,8.146e-13,0,0.225662259472161,,,,,,,,,,,,,,,,,,,,""
"AT_2018dyb",58372.1828996565,58372.1828996565,"xrt",1.351e-13,3.027e-13,3.027e-13,1.297e-12,0.446153846153846,1.20205367121941,,,,,,,,,,,,,,,,,,,,""
"AT_2018dyb",58375.0301410144,58375.0301410144,"xrt",6.918e-14,3.674e-13,3.674e-13,1.867e-12,0.188297872340426,1.09180936093921,,,,,,,,,,,,,,,,,,,,""
"AT_2018dyb",58385.4723051292,58385.4723051292,"xrt",0,2.452e-13,2.452e-13,1.022e-12,0,0.504719468295491,,,,,,,,,,,,,,,,,,,,""
"AT_2018dyb",58387.8611801181,58387.8611801181,"xrt",0,5.512e-13,5.512e-13,2.944e-12,0,0.863265787654352,,,,,,,,,,,,,,,,,,,,""
"AT_2018dyb",58390.5839790077,58390.5839790077,"xrt",0,2.404e-13,2.404e-13,1.149e-12,0,0.0650214515579986,,,,,,,,,,,,,,,,,,,,""
"AT_2018dyb",58393.7034485548,58393.7034485548,"xrt",1.638e-13,4.841e-13,4.841e-13,2.363e-12,0.338425925925926,1.19532591081809,,,,,,,,,,,,,,,,,,,,""
"AT_2018dyb",58394.6474662437,58394.6474662437,"xrt",5.188e-13,5.276e-13,5.276e-13,3.109e-12,0.983333333333333,2.09209636770767,,,,,,,,,,,,,,,,,,,,""
