"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2018fyk",58383.6939292875,58383.6939292875,"xrt",3.67e-14,3.197e-14,3.197e-14,2.177e-13,1.14788732394366,2.72830739426569,,,,,,,,,,,,,,,,,,,,""
"AT_2018fyk",58389.9447776174,58389.9447776174,"xrt",3.338e-14,5.368e-14,5.368e-14,4.154e-13,0.621782178217822,1.92518690890523,,,,,,,,,,,,,,,,,,,,""
"AT_2018fyk",58393.1174537949,58393.1174537949,"xrt",0,1.159e-14,1.159e-14,5.571e-13,0,1.23165556512912,,,,,,,,,,,,,,,,,,,,""
"AT_2018fyk",58395.4540829646,58395.4540829646,"xrt",8.756e-14,3.671e-14,3.671e-14,2.415e-13,2.38490566037736,4.99513301978645,,,,,,,,,,,,,,,,,,,,""
"AT_2018fyk",58396.2476175683,58396.2476175683,"xrt",1.496e-13,1.174e-13,1.174e-13,8.14e-13,1.27464788732394,3.30985482837005,,,,,,,,,,,,,,,,,,,,""
"AT_2018fyk",58397.8418930304,58397.8418930304,"xrt",3.945e-14,3.078e-14,3.078e-14,2.135e-13,1.28169014084507,3.32286338674109,,,,,,,,,,,,,,,,,,,,""
"AT_2018fyk",58398.9759740646,58398.9759740646,"xrt",0,6.442e-15,6.442e-15,3.561e-13,0,1.37576075234574,,,,,,,,,,,,,,,,,,,,""
"AT_2018fyk",58399.6396040456,58399.6396040456,"xrt",8.334e-14,3.803e-14,3.803e-14,2.471e-13,2.19105691056911,4.61857469989547,,,,,,,,,,,,,,,,,,,,""
"AT_2018fyk",58401.0827518431,58401.0827518431,"xrt",1.007e-13,5.684e-14,5.684e-14,3.68e-13,1.77114427860697,3.90703148614432,,,,,,,,,,,,,,,,,,,,""
"AT_2018fyk",58403.7465681362,58403.7465681362,"xrt",2.326e-13,1.499e-13,1.499e-13,9.895e-13,1.55172413793103,3.63689162338055,,,,,,,,,,,,,,,,,,,,""
"AT_2018fyk",58404.4721728081,58404.4721728081,"xrt",3.829e-14,3.317e-14,3.317e-14,2.054e-13,1.15428571428571,2.37371242960902,,,,,,,,,,,,,,,,,,,,""
"AT_2018fyk",58406.1310900658,58406.1310900658,"xrt",4.945e-14,6.121e-14,6.121e-14,4.823e-13,0.807920792079208,2.43266868586024,,,,,,,,,,,,,,,,,,,,""
"AT_2018fyk",58408.4526063128,58408.4526063128,"xrt",1.25e-13,1.008e-13,1.008e-13,6.952e-13,1.23943661971831,3.08749332043931,,,,,,,,,,,,,,,,,,,,""
"AT_2018fyk",58409.9848172044,58409.9848172044,"xrt",1.025e-13,5.673e-14,5.673e-14,3.693e-13,1.80597014925373,4.09927423532542,,,,,,,,,,,,,,,,,,,,""
"AT_2018fyk",58412.3724026093,58412.3724026093,"xrt",7.319e-14,8.365e-14,8.365e-14,6.699e-13,0.875,2.68786786514197,,,,,,,,,,,,,,,,,,,,""
"AT_2018fyk",58413.8999512699,58413.8999512699,"xrt",0,2.777e-15,2.777e-15,1.346e-13,0,1.23375164818198,,,,,,,,,,,,,,,,,,,,""
"AT_2018fyk",58415.9609877757,58415.9609877757,"xrt",4.582e-14,6.668e-14,6.668e-14,5.192e-13,0.687128712871287,2.07185382806681,,,,,,,,,,,,,,,,,,,,""
"AT_2018fyk",58416.1667702769,58416.1667702769,"xrt",0,1.157e-14,1.157e-14,4.96e-13,0,1.11445350128629,,,,,,,,,,,,,,,,,,,,""
"AT_2018fyk",58417.3616459153,58417.3616459153,"xrt",0,6.692e-15,6.692e-15,4.523e-13,0,1.56911923282405,,,,,,,,,,,,,,,,,,,,""
"AT_2018fyk",58417.8281711845,58417.8281711845,"xrt",4.868e-14,3.981e-14,3.981e-14,2.49e-13,1.22285714285714,2.52759840499608,,,,,,,,,,,,,,,,,,,,""
"AT_2018fyk",58418.6314771483,58418.6314771483,"xrt",7.921e-14,8.435e-14,8.435e-14,6.804e-13,0.939,3.11982757006253,,,,,,,,,,,,,,,,,,,,""
