"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2018hco",58451.7061688528,58451.7061688528,"xrt",0,3.298e-14,3.298e-14,1.8e-13,0,0.266116302360487,,,,,,,,,,,,,,,,,,,,""
"AT_2018hco",58459.942610944,58459.942610944,"xrt",0,2.512e-14,2.512e-14,5.002e-13,0,0.948346314462072,,,,,,,,,,,,,,,,,,,,""
"AT_2018hco",58463.9281156919,58463.9281156919,"xrt",3.052e-14,4.767e-14,4.767e-14,2.91e-13,0.640268456375839,1.69685313513564,,,,,,,,,,,,,,,,,,,,""
"AT_2018hco",58471.1624998903,58471.1624998903,"xrt",0,2.849e-14,2.849e-14,1.401e-13,0,0.510696546862466,,,,,,,,,,,,,,,,,,,,""
"AT_2018hco",58473.7527773151,58473.7527773151,"xrt",0,1.572e-14,1.572e-14,1.11e-13,0,0.0439858965634,,,,,,,,,,,,,,,,,,,,""
"AT_2018hco",58479.9538773148,58479.9538773148,"xmm",2.0909813644018e-15,1.04830804596001e-15,1.04830804596001e-15,2.319e-14,1.99462493153616,2.29133600677413,,,,,,,,,,,,,,,,,,,,""
"AT_2018hco",58480.0551505778,58480.0551505778,"xrt",0,3.075e-14,3.075e-14,1.822e-13,0,0.498961154449554,,,,,,,,,,,,,,,,,,,,""
"AT_2018hco",58487.0272309093,58487.0272309093,"xrt",0,2.641e-14,2.641e-14,1.603e-13,0,0.582038875676566,,,,,,,,,,,,,,,,,,,,""
"AT_2018hco",58494.1368649947,58494.1368649947,"xrt",0,1.322e-14,1.322e-14,1.242e-13,0,0.190486155142675,,,,,,,,,,,,,,,,,,,,""
"AT_2018hco",58501.0388585924,58501.0388585924,"xrt",0,1.572e-14,1.572e-14,1.238e-13,0,0.0834884092621633,,,,,,,,,,,,,,,,,,,,""
"AT_2018hco",58508.0101676732,58508.0101676732,"xrt",0,2.395e-14,2.395e-14,1.453e-13,0,0.577795087267274,,,,,,,,,,,,,,,,,,,,""
"AT_2018hco",58534.7691829579,58534.7691829579,"xrt",2.99e-14,3.751e-14,3.751e-14,1.993e-13,0.797169811320755,1.72280354359517,,,,,,,,,,,,,,,,,,,,""
"AT_2018hco",58541.0258928209,58541.0258928209,"xrt",0,1.376e-14,1.376e-14,1.171e-13,0,0.125988337576359,,,,,,,,,,,,,,,,,,,,""
"AT_2018hco",58648.9209607614,58648.9209607614,"xrt",1.146e-13,9.445e-14,9.445e-14,5.818e-13,1.21348314606742,2.55654871899683,,,,,,,,,,,,,,,,,,,,""
"AT_2018hco",58738.117367504,58738.117367504,"xrt",0,3.452e-14,3.452e-14,1.792e-13,0,0.732507368514863,,,,,,,,,,,,,,,,,,,,""
"AT_2018hco",59587.2950486681,59587.2950486681,"xrt",0,5.92e-14,5.92e-14,2.599e-13,0,0.19988898926423,,,,,,,,,,,,,,,,,,,,""
"AT_2018hco",60239.79257903,60239.79257903,"chandra",5.50441164e-13,2.86619827e-13,3.81075695e-13,1.99330859e-12,1.92045738692041,4.01154266482002,,,,,,,,,,,,,,,,,,,,""
"AT_2018hco",60240.159514817,60240.159514817,"chandra",5.704673746e-13,2.970490636e-13,3.949382063e-13,2.065840158e-12,1.92044831815454,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018hco",60240.520222306,60240.520222306,"chandra",2.193422604e-13,1.7156479976e-13,2.714630208e-13,1.4354952752e-12,1.27848055490891,2.36812184092508,,,,,,,,,,,,,,,,,,,,""
"AT_2018hco",60240.872797416,60240.872797416,"chandra",1.1744111742e-13,1.1744111742e-13,3.5232218838e-13,1.8227835048e-12,1,2.37636741352886,,,,,,,,,,,,,,,,,,,,""
"AT_2018hco",60468.666063696,60468.666063696,"xrt",0,4.735e-14,4.735e-14,6.683e-13,0,0.571847651275669,,,,,,,,,,,,,,,,,,,,""
"AT_2018hco",60554.8857430021,60554.8857430021,"xrt",1.25e-13,1.612e-13,1.612e-13,1.255e-12,0.775490196078431,2.34507681162239,,,,,,,,,,,,,,,,,,,,""
"AT_2018hco",60568.9852398382,60568.9852398382,"xrt",0,3.067e-14,3.067e-14,3.543e-13,0,0.363346617717339,,,,,,,,,,,,,,,,,,,,""
