"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2018hyz",58432.2038238776,58432.2038238776,"xrt",2.927e-14,2.927e-14,2.927e-14,2.378e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58434.6766492808,58434.6766492808,"xrt",2.573e-14,3.298e-14,3.298e-14,2.568e-13,0.780392156862745,2.36186412901256,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58436.3226880086,58436.3226880086,"xrt",3.362e-14,3.362e-14,3.362e-14,2.732e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58439.5763789912,58439.5763789912,"xrt",3.237e-14,4.127e-14,4.127e-14,3.215e-13,0.784313725490196,2.37554414234888,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58440.4355368112,58440.4355368112,"xrt",2.244e-14,2.862e-14,2.862e-14,2.229e-13,0.784313725490196,2.37554414234888,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58442.5645944757,58442.5645944757,"xrt",2.062e-14,3.599e-14,3.599e-14,2.697e-13,0.573076923076923,1.86182576360142,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58443.559644965,58443.559644965,"xrt",0,2.794e-14,2.794e-14,8.141e-13,0,1.32938265111523,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58445.4764910602,58445.4764910602,"xrt",0,1.311e-14,1.311e-14,3.897e-13,0,1.33937044284973,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58446.4113202725,58446.4113202725,"xrt",4.605e-14,4.735e-14,4.735e-14,3.093e-13,0.972413793103448,2.29295581409467,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58449.2745537412,58449.2745537412,"xrt",5.144e-14,4.086e-14,4.086e-14,2.809e-13,1.25874125874126,3.24733066090433,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58453.8504855473,58453.8504855473,"xrt",0,0,0,1.862e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58455.7033691977,58455.7033691977,"xrt",1.376e-13,6.881e-14,6.881e-14,4.627e-13,2,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58458.4929298755,58458.4929298755,"xrt",8.329e-14,5.176e-14,5.176e-14,3.447e-13,1.60919540229885,4.02555852566797,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58461.7590045857,58461.7590045857,"xrt",0,0,0,5.731e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58464.3349761547,58464.3349761547,"xrt",3.365e-14,3.365e-14,3.365e-14,2.734e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58467.5309711408,58467.5309711408,"xrt",2.948e-14,2.948e-14,2.948e-14,2.395e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58475.7592966683,58475.7592966683,"xrt",8.462e-14,4.88e-14,4.88e-14,3.325e-13,1.73410404624277,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58481.2897177873,58481.2897177873,"xrt",0,8.073e-15,8.073e-15,1.718e-13,0,0.985668348881128,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58484.6699231426,58484.6699231426,"xrt",2.455e-14,3.149e-14,3.149e-14,2.452e-13,0.779411764705882,2.35847928863629,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58487.6587579873,58487.6587579873,"xrt",3.21e-14,3.21e-14,3.21e-14,2.608e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58490.4365266651,58490.4365266651,"xrt",3.188e-14,3.188e-14,3.188e-14,2.59e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58493.431658732,58493.431658732,"xrt",0,6.106e-15,6.106e-15,1.779e-13,0,1.32938265111523,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58496.6164089169,58496.6164089169,"xrt",4.788e-14,4.256e-14,4.256e-14,2.855e-13,1.125,2.70180297646322,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58499.4104103711,58499.4104103711,"xrt",4.028e-14,4.201e-14,4.201e-14,2.721e-13,0.958904109589041,2.26663252883848,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58501.9981354396,58501.9981354396,"xrt",0,0,0,2.631e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58513.1031655269,58513.1031655269,"xrt",5.89e-14,5.89e-14,5.89e-14,4.786e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58518.5321323889,58518.5321323889,"xrt",0,0,0,2.076e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58521.4646710806,58521.4646710806,"xrt",9.132e-14,9.132e-14,9.132e-14,7.42e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58525.232978972,58525.232978972,"xrt",0,9.018e-15,9.018e-15,1.852e-13,0,0.964049476417023,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58536.537357178,58536.537357178,"xrt",1.98e-14,3.449e-14,3.449e-14,2.585e-13,0.574038461538461,1.86374071591018,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58541.0456323764,58541.0456323764,"xrt",0,0,0,2.597e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58545.4938526901,58545.4938526901,"xrt",0,0,0,1.789e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58549.8153589864,58549.8153589864,"xrt",0,0,0,1.741e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58579.0902962517,58579.0902962517,"xrt",0,0,0,3.631e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58581.5606213748,58581.5606213748,"xrt",4.948e-14,4.453e-14,4.453e-14,2.982e-13,1.11111111111111,2.65976540939174,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58584.2156735447,58584.2156735447,"xrt",4.207e-14,5.364e-14,5.364e-14,4.179e-13,0.784313725490196,2.37554414234888,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58666.0903597369,58666.0903597369,"xrt",3.324e-14,3.324e-14,3.324e-14,2.701e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58672.0652109241,58672.0652109241,"xrt",0,4.832e-15,4.832e-15,1.473e-13,0,1.35210385047984,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58987.746,58988.414,"erass",6.748e-14,3.12473430498284e-14,3.12473430498284e-14,,2.15954360959245,,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58991.2412707223,58991.2412707223,"xrt",0,0,0,7.125e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",58997.0726220917,58997.0726220917,"xrt",1.627e-13,1.627e-13,1.627e-13,1.322e-12,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",59000.4635735952,59000.4635735952,"xrt",6.271e-14,6.271e-14,6.271e-14,5.096e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",59540.1359720062,59540.1359720062,"xrt",4.856e-14,2.8e-14,2.8e-14,1.908e-13,1.73410404624277,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",59586.852680354,59586.852680354,"xrt",0,8.255e-15,8.255e-15,2.517e-13,0,1.35210385047984,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",59657.453381045,59657.453381045,"chandra",8.208304056e-13,2.5979116968e-13,2.984806272e-13,1.8378902952e-12,3.1595777739908,6.15734257959706,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",59684.3245069588,59684.3245069588,"xrt",0,3.661e-15,3.661e-15,1.088e-13,0,1.33937044284973,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",59868.5914535093,59868.5914535093,"xrt",0,0,0,2.634e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",59887.2820208223,59887.2820208223,"xrt",1.287e-14,3.455e-14,3.455e-14,2.499e-13,0.372641509433962,1.54004023909779,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",60361.453128989,60361.453128989,"chandra",2.75378922e-12,6.2526156e-13,7.1838606e-13,5.20826292e-12,4.40421960371273,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",60362.289672591,60362.289672591,"chandra",4.0656778e-13,3.17510066e-13,3.872079e-13,1.98250074e-12,1.28048784443892,3.65140314130698,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",60363.329323989,60363.329323989,"chandra",1.899487337e-12,5.435458292e-13,6.37065363e-13,4.102886876e-12,3.49462222862734,6.98597481286278,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",60364.326522115,60364.326522115,"chandra",1.4083831251e-12,7.73740926e-13,9.823859199e-13,5.085836553e-12,1.82022570834,4.65839465494303,,,,,,,,,,,,,,,,,,,,""
"AT_2018hyz",60491.3815299019,60491.3815299019,"xrt",0,0,0,3.326e-13,0,0,,,,,,,,,,,,,,,,,,,,""
