"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2018jbv",55428.0030837165,55428.0030837165,"xrt",3.323e-14,1.707e-14,1.707e-14,1.091e-13,1.94690265486726,4.11417844287367,,,,,,,,,,,,,,,,,,,,""
"AT_2018jbv",58541.9116454278,58541.9116454278,"xrt",0,9.384e-15,9.384e-15,2.789e-13,0,1.33937044284973,,,,,,,,,,,,,,,,,,,,""
"AT_2018jbv",58554.3424179551,58554.3424179551,"xrt",0,0,0,6.868e-12,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018jbv",58561.3653669836,58561.3653669836,"xrt",0,6.604e-15,6.604e-15,1.953e-13,0,1.33685722108943,,,,,,,,,,,,,,,,,,,,""
"AT_2018jbv",58575.9879690477,58575.9879690477,"xrt",6.013e-14,6.013e-14,6.013e-14,4.886e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018jbv",58582.8994576424,58582.8994576424,"xrt",0,9.643e-15,9.643e-15,2.852e-13,0,1.33685722108943,,,,,,,,,,,,,,,,,,,,""
"AT_2018jbv",58589.8572614084,58589.8572614084,"xrt",3.419e-14,3.419e-14,3.419e-14,2.778e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018jbv",58596.1836661672,58596.1836661672,"xrt",0,0,0,4.267e-12,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018jbv",58603.1504467491,58603.1504467491,"xrt",0,0,0,1.551e-11,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018jbv",58682.2278052081,58682.2278052081,"xrt",1.068e-14,2.788e-14,2.788e-14,2.018e-13,0.383018867924528,1.55506898946339,,,,,,,,,,,,,,,,,,,,""
"AT_2018jbv",58827.1899566577,58827.1899566577,"xrt",9.939e-15,1.681e-14,1.681e-14,1.262e-13,0.591346153846154,1.89891335692215,,,,,,,,,,,,,,,,,,,,""
"AT_2018jbv",58829,59011,"erass",,,,,,,,,,,,,,,,,,,,,,,,,,""
"AT_2018jbv",58830.0285847067,58830.0285847067,"xrt",0,0,0,1.679e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018jbv",58893.5745970364,58893.5745970364,"xrt",6.447e-14,6.447e-14,6.447e-14,5.238e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018jbv",58914.5006845371,58914.5006845371,"xrt",0,0,0,5.432e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018jbv",58920.7258567871,58920.7258567871,"xrt",0,0,0,2.121e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018jbv",58938.388076229,58938.388076229,"xrt",6.874e-14,6.874e-14,6.874e-14,5.586e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018jbv",58941.3146315394,58941.3146315394,"xrt",0,3.241e-14,3.241e-14,9.35e-13,0,1.32445287632554,,,,,,,,,,,,,,,,,,,,""
"AT_2018jbv",58948.949958119,58948.949958119,"xrt",0,0,0,2.825e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018jbv",60537.91154145,60537.91154145,"xrt",0,2.721e-14,2.721e-14,5.728e-13,0,0.97882597234793,,,,,,,,,,,,,,,,,,,,""
"AT_2018jbv",60538.3024489091,60538.3024489091,"xrt",3.352e-14,3.352e-14,3.352e-14,2.724e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
