"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2018zr",58204.5240851577,58204.5240851577,"xrt",7.342e-14,5.46e-14,5.46e-14,3.446e-13,1.34463276836158,2.89507920144479,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58208.8384924704,58208.8384924704,"xrt",6.487e-14,4.573e-14,4.573e-14,3.254e-13,1.41843971631206,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58210.3745683996,58210.3745683996,"xrt",1.433e-13,1.433e-13,1.433e-13,1.164e-12,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58212.6363030294,58212.6363030294,"xrt",0,0,0,6.567e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58213.027257073,58213.027257073,"xrt",3.804e-14,6.571e-14,6.571e-14,4.927e-13,0.578846153846154,1.87337597410445,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58215.0224460234,58215.0224460234,"xrt",6.043e-14,4.26e-14,4.26e-14,3.031e-13,1.41843971631206,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58220.0005787037,58220.0005787037,"xmm",2.20269257417327e-14,2.41327780857526e-15,2.41327780857526e-15,5.391e-14,9.127389173125,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58220.0184259259,58220.0184259259,"xmmcat",2.9690608944957e-14,1.53786537833071e-15,1.53786537833071e-15,,19.3063771142212,,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58221.2096799933,58221.2096799933,"xrt",0,0,0,1.723e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58223.2647981123,58223.2647981123,"xrt",0,0,0,3.611e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58228.5060831674,58228.5060831674,"xrt",5.66e-14,5.66e-14,5.66e-14,4.599e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58234.0166917378,58234.0166917378,"xrt",5.155e-14,4.639e-14,4.639e-14,3.105e-13,1.11111111111111,2.64610090801717,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58237.0700875688,58237.0700875688,"xrt",3.201e-14,3.201e-14,3.201e-14,2.601e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58240.127958132,58240.127958132,"xrt",7.314e-14,4.951e-14,4.951e-14,3.202e-13,1.47727272727273,3.35099234080751,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58241.9338888889,58241.9338888889,"xmm",1.14461554758774e-14,1.97760623077339e-15,1.97760623077339e-15,3.432e-14,5.78788400732391,6.68135437710283,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58242.3164954116,58242.3164954116,"xrt",0,1.078e-14,1.078e-14,2.19e-13,0,0.958767820005413,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58249.3612755461,58249.3612755461,"xrt",0,0,0,2.188e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58252.1432613364,58252.1432613364,"xrt",0,1.818e-14,1.818e-14,3.787e-13,0,0.972062906423472,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58255.7305945487,58255.7305945487,"xrt",0,0,0,2.527e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58261.1134419276,58261.1134419276,"xrt",0,0,0,1.936e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58264.0314260239,58264.0314260239,"xrt",0,0,0,1.772e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58267.8200625359,58267.8200625359,"xrt",0,0,0,2.693e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58381.5908002924,58381.5908002924,"xrt",0,0,0,1.38e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58396.6595920692,58396.6595920692,"xrt",0,0,0,1.873e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58403.5666438614,58403.5666438614,"xrt",4.365e-14,3.077e-14,3.077e-14,2.189e-13,1.41843971631206,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58410.802434574,58410.802434574,"xrt",0,4.527e-15,4.527e-15,1.373e-13,0,1.34953451473741,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58417.712749438,58417.712749438,"xrt",0,4.264e-15,4.264e-15,1.255e-13,0,1.33435491442083,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58424.4189699447,58424.4189699447,"xrt",4.282e-14,3.019e-14,3.019e-14,2.148e-13,1.41843971631206,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58431.1378724088,58431.1378724088,"xrt",7.892e-14,4.551e-14,4.551e-14,3.101e-13,1.73410404624277,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58438.7652012211,58438.7652012211,"xrt",1.713e-14,2.187e-14,2.187e-14,1.704e-13,0.783333333333333,2.37210278292341,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58445.272332813,58445.272332813,"xrt",4.896e-14,4.896e-14,4.896e-14,3.978e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58452.7189486086,58452.7189486086,"xrt",0,4.407e-15,4.407e-15,1.323e-13,0,1.34443003547768,,,,,,,,,,,,,,,,,,,,""
"AT_2018zr",58565.0702239922,58565.0702239922,"xrt",2.874e-14,2.874e-14,2.874e-14,2.335e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
